"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Jason Alexander","Milwaukee Brewers","P",0,1000,0
"Dakota Hudson","St. Louis Cardinals","P",0,1000,0
"Freddy Peralta","Milwaukee Brewers","P",0,1000,0
"Mitch Keller","Pittsburgh Pirates","P",0,1000,0
"Ethan Small","Milwaukee Brewers","P",0,1000,0
"Paul DeJong","St. Louis Cardinals","IF",0,1000,0
"Adrian Morejon","San Diego Padres","P",0,1000,0
"Julio Teheran","","P",0,1000,0
"Max Kranick","Pittsburgh Pirates","P",0,1000,0
"JoJo Romero","St. Louis Cardinals","P",0,1000,0
"Luis Ortiz","Pittsburgh Pirates","P",0,1000,0
"Seth Lugo","San Diego Padres","P",0,1000,0
"Blake Snell","San Diego Padres","P",0,1000,0
"Ray Kerr","San Diego Padres","P",0,1000,0
"Miles Mikolas","St. Louis Cardinals","P",0,1000,0
"Jake Cousins","Milwaukee Brewers","P",0,1000,0
"Lars Nootbaar","St. Louis Cardinals","OF",0,1000,0
"Luis Urías","Milwaukee Brewers","IF",0,1000,0
"Steven Matz","St. Louis Cardinals","P",0,1000,0
"Adam Engel","San Diego Padres","OF",0,1000,0
"Yerry De Los Santos","Pittsburgh Pirates","P",0,1000,0
"Tyson Miller","Milwaukee Brewers","P",0,1000,0
"Eric Lauer","Milwaukee Brewers","P",0,1000,0
"Ryan Weathers","San Diego Padres","P",0,1000,0
"Rob Zastryzny","Pittsburgh Pirates","P",0,1000,0
"Roansy Contreras","Pittsburgh Pirates","P",0,1000,0
"Yu Darvish","San Diego Padres","P",0,1000,0
"Fernando Tatis Jr.","San Diego Padres","IF",0,1000,0
"Janson Junk","Milwaukee Brewers","P",0,1000,0
"Jake Walsh","St. Louis Cardinals","P",0,1000,0
"Yohan Ramirez","Pittsburgh Pirates","P",0,1000,0
"Joe Musgrove","San Diego Padres","P",0,1000,0
"Rich Hill","Pittsburgh Pirates","P",0,1000,0
"Michael Wacha","San Diego Padres","P",0,1000,0
"Matthew Liberatore","St. Louis Cardinals","P",0,1000,0
"David Dahl","San Diego Padres","OF",0,1000,0
"Johan Oviedo","Pittsburgh Pirates","P",0,1000,0
"Adam Wainwright","St. Louis Cardinals","P",0,1000,0
"Jake Woodford","St. Louis Cardinals","P",0,1000,0
"Robert Suarez","San Diego Padres","P",0,1000,0
"Elvis Peguero","Milwaukee Brewers","P",0,1000,0
"Javy Guerra","Milwaukee Brewers","P",0,1000,0
