"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Kyle Hendricks","Chicago Cubs","P",0,1000,0
"José Quintana","New York Mets","P",0,1000,0
"Braxton Garrett","Miami Marlins","P",0,1000,0
"Denyi Reyes","New York Mets","P",0,1000,0
"Max Meyer","Miami Marlins","P",0,1000,0
"Brandon Hughes","Chicago Cubs","P",0,1000,0
"Glenn Otto","Texas Rangers","P",0,1000,0
"Steven Okert","Miami Marlins","P",0,1000,0
"Joey Wendle","Miami Marlins","IF",0,1000,0
"Justin Verlander","New York Mets","P",0,1000,0
"Jacob deGrom","Texas Rangers","P",0,1000,0
"Spencer Howard","Texas Rangers","P",0,1000,0
"Jameson Taillon","Chicago Cubs","P",0,1000,0
"Jeremiah Estrada","Chicago Cubs","P",0,1000,0
"Kodai Senga","New York Mets","P",0,1000,0
"Bryce Montes de Oca","New York Mets","P",0,1000,0
"Caleb Kilian","Chicago Cubs","P",0,1000,0
"Tommy Nance","Miami Marlins","P",0,1000,0
"Andrew Heaney","Texas Rangers","P",0,1000,0
"Sam Coonrod","New York Mets","P",0,1000,0
"Justin Steele","Chicago Cubs","P",0,1000,0
"Johnny Cueto","Miami Marlins","P",0,1000,0
"Jeff Lindgren","","P",0,1000,0
"Ethan Roberts","Chicago Cubs","P",0,1000,0
"John King","Texas Rangers","P",0,1000,0
"Leody Taveras","Texas Rangers","OF",0,1000,0
"Tommy Hunter","New York Mets","P",0,1000,0
"Nic Enright","Miami Marlins","P",0,1000,0
