"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos","Player","ESPN","ESPNID","ESPNNAME"
"38","Julio Urías","LAD","14765",1.56903665354545,1.4939318498259,1.46190921073828,-0.326918874016955,0.409705087319352,-0.825896228817725,3.7817676985943,38,"SP","Julio Urias",50,"33223","Julio Urias"
"39","Alex Cobb","SFG","6562",1.07973208383273,1.05521602202078,1.31711793862818,0.866106399550389,0.173446952452976,-0.825896228817725,3.66572316766734,39,"SP","Alex Cobb",174,"31086","Alex Cobb"
"40","Cristian Javier","HOU","17606",1.12050746464213,1.91175644773553,1.17232666651809,-0.228033934364762,0.498475267151727,-0.825896228817725,3.64913568286498,40,"SP","Cristian Javier",67,"41261","Cristian Javier"
"41","Jordan Montgomery","STL","16511",1.2836089878797,0.929868642647889,1.31711793862818,0.430784170893801,0.49627912989025,-0.825896228817725,3.6317626411221,41,"SP","Jordan Montgomery",126,"38173","Jordan Montgomery"
"42","Triston McKenzie","CLE","18000",1.44671051111727,1.68195291888523,1.31711793862818,-0.478908310866313,0.432244390792418,-0.825896228817725,3.57322121973907,42,"SP","Triston McKenzie",76,"34954","Triston McKenzie"
"43","Pablo López","MIN","17085",1.18167053585622,1.22234586118463,1.31711793862818,0.216020036435655,0.416062326760474,-0.825896228817725,3.52732047004744,43,"SP","Pablo Lopez",92,"39671","Pablo Lopez"
"44","Logan Webb","SFG","17995",1.63019972475954,1.13878094160271,1.60670048284838,0.254109201348104,-0.312246140848643,-0.825896228817725,3.49164798089236,44,"SP","Logan Webb",69,"41216","Logan Webb"
"45","Nestor Cortes","NYY","17874",1.10011977423743,1.34769324055752,1.17232666651809,-0.0951400831383576,0.778424974904353,-0.825896228817725,3.47752834426131,45,"SP","Nestor Cortes Jr.",84,"36480","Nestor Cortes Jr."
"46","Jhoan Duran","MIN","21029",-0.918261575827537,-0.428061300558424,-0.999542415133376,2.60457993937336,1.9686157844538,1.20084298300491,3.42817341531273,46,"SP","Jhoan Duran",204,"41109","Jhoan Duran"
"47","Charlie Morton","ATL","4676",1.07973208383273,1.45214939003493,1.17232666651809,0.168179066044817,0.357228965387193,-0.825896228817725,3.40371994300004,47,"SP","Charlie Morton",99,"29155","Charlie Morton"
"48","Luis Severino","NYY","15890",0.651590585334104,1.0343247921253,0.882744122297892,0.626024293128478,0.981047533818618,-0.825896228817725,3.34983509788666,48,"SP","Luis Severino",114,"33263","Luis Severino"
"49","Ryan Helsley","STL","18138",-0.918261575827537,-0.49073499024487,-0.999542415133376,1.65851199910286,1.4721731771881,2.51822347068962,3.2403696657748,49,"SP","Ryan Helsley",119,"39909","Ryan Helsley"
"50","Brady Singer","KCR","25377",1.44671051111727,1.22234586118463,1.46190921073828,0.0585426588463676,-0.162562048553165,-0.825896228817725,3.20104996451566,50,"SP","Brady Singer",121,"41172","Brady Singer"
"51","George Kirby","SEA","25436",0.61081520452471,0.532935274633736,0.882744122297892,0.59481035509096,1.18343892038957,-0.825896228817725,2.97884764811914,51,"SP","George Kirby",117,"42406","George Kirby"
"52","Jon Gray","TEX","14916",1.24283360707031,1.36858447045301,1.17232666651809,-0.0987715086093895,0.0726558107682986,-0.825896228817725,2.93173281738258,52,"SP","Jon Gray",162,"33203","Jon Gray"
"53","Pete Fairbanks","TBR","17998",-0.979424647041627,-0.574299909826797,-0.999542415133376,1.94745513925017,1.80170935258147,1.70752778596057,2.9034253057904,53,"SP","Pete Fairbanks",224,"42180","Peter Fairbanks"
"54","Kodai Senga","NYM","31838",0.875855179785766,1.38947570034849,0.882744122297892,0.31906683449285,0.0880287715986456,-0.724559268226594,2.83061134029705,54,"SP","Kodai Senga",168,"4142421","Kodak Senga"
"55","Drew Rasmussen","TBR","25385",1.22244591666561,0.929868642647889,1.17232666651809,0.0983863326942596,0.208007217778342,-0.825896228817725,2.80513854748646,55,"SP","Drew Rasmussen",156,"42584","Drew Rasmussen"
"56","Kyle Wright","ATL","19665",1.44671051111727,1.2641283209756,1.46190921073828,-0.0986491010092425,-0.50839587415013,-0.825896228817725,2.73980683885405,56,"SP","Kyle Wright",89,"39652","Kyle Wright"
"57","Ryan Pressly","HOU","7005",-1.04058771825572,-0.824994668572578,-0.999542415133376,1.5910450101551,1.40709816254536,2.51822347068962,2.65124184142841,57,"SP","Ryan Pressly",94,"33072","Ryan Pressly"
"58","Patrick Sandoval","LAA","19447",1.07973208383273,1.13878094160271,1.17232666651809,0.349301511729192,-0.278494978724875,-0.825896228817725,2.63574999614012,58,"SP","Patrick Sandoval",203,"40975","Patrick Sandoval"
"59","Lucas Giolito","CHW","15474",1.2836089878797,1.43125816013945,1.17232666651809,-0.483559799671904,0.00723403761058395,-0.825896228817725,2.58497182365819,59,"SP","Lucas Giolito",95,"32697","Lucas Giolito"
"60","Chris Bassitt","TOR","12304",1.36515974949849,1.01343356222982,1.17232666651809,-0.387837056356845,0.170904056676529,-0.825896228817725,2.50809074974835,60,"SP","Chris Bassitt",97,"33148","Chris Bassitt"
"61","Joe Ryan","MIN","21390",1.07973208383273,1.2641283209756,1.02753539440799,-0.569224718508206,0.526331534521002,-0.825896228817725,2.50260638641139,61,"SP","Joe Ryan",143,"42450","Joe Ryan"
"62","Miles Mikolas","STL","9803",1.58942434395015,0.679173883902108,1.46190921073828,-0.44540943095938,-0.0168078860940163,-0.825896228817725,2.44239389271942,62,"SP","Miles Mikolas",206,"32116","Miles Mikolas"
"63","Félix Bautista","BAL","20666",-0.95903695663693,-0.511626220140351,-0.999542415133376,1.49803563530996,1.0510927538426,2.31554954950736,2.39447234674927,63,"SP","Felix Bautista",105,"4905859","Felix Bautista"
"64","Raisel Iglesias","ATL","17130",-0.95903695663693,-0.720538519095169,-0.999542415133376,0.900421330124969,1.51598033624601,2.41688651009849,2.15417028560399,64,"SP","Raisel Iglesias",85,"33618","Raisel Iglesias"
"65","Merrill Kelly","ARI","11156",1.71175048637833,1.20145463128915,1.46190921073828,-0.826423487684023,-0.676226995395717,-0.825896228817725,2.0465676165083,65,"SP","Merrill Kelly",149,"32968","Merrill Kelly"
"66","Nathan Eovaldi","TEX","9132",0.85546748938107,0.574717734424699,0.882744122297892,-0.0872855954622501,0.584471378864343,-0.825896228817725,1.98421890068803,66,"SP","Nathan Eovaldi",167,"31174","Nate Eovaldi"
"67","Jeffrey Springs","TBR","17677",0.570039823715317,0.595608964320181,0.737952850187794,0.253252348147074,0.545403252844366,-0.825896228817725,1.87636101039701,67,"SP","Jeffrey Springs",161,"35397","Jeffrey Springs"
"68","José Berríos","TOR","14168",1.2836089878797,0.992542332334334,1.02753539440799,-0.703016225469022,0.0965821483012439,-0.825896228817725,1.87135640863652,68,"SP","Jose Berrios",142,"32811","Jose Berrios"
"69","Drew Rucinski","OAK","12499",1.18167053585622,0.82541249317048,0.737952850187794,-0.361172600791461,0.190784878201488,-0.724559268226594,1.85008888839792,69,"SP",NA,NA,NA,NA
"70","Devin Williams","MIL","15816",-0.979424647041627,-0.574299909826797,-0.999542415133376,1.55921903411684,0.684915762034051,2.1128756283251,1.80374345247419,70,"SP","Devin Williams",65,"33224","Devin Williams"
"71","Eduardo Rodriguez","DET","13164",1.14089515504682,0.846303723065962,1.17232666651809,-0.138125552056693,-0.391885013120138,-0.825896228817725,1.80361875063632,71,"SP","Eduardo Rodriguez",333,"32675","Eduardo Rodriguez"
"72","Jordan Romano","TOR","16122",-0.95903695663693,-0.699647289199687,-0.999542415133376,0.882162196436355,0.895629352964287,2.61956043128076,1.7391253197114,72,"SP","Jordan Romano",96,"36380","Jordan Romano"
"73","José Quintana","NYM","11423",0.91663056059516,0.720956343693071,1.02753539440799,0.15451021736172,-0.262544087036246,-0.825896228817725,1.73119220020397,73,"SP","Jose Quintana",264,"32106","Jose Quintana"
"74","Marcus Stroman","CHC","13431",1.32438436868909,0.70006511379759,1.17232666651809,-0.226748654563218,-0.474066781168079,-0.825896228817725,1.67006448445575,74,"SP","Marcus Stroman",239,"32815","Marcus Stroman"
"75","Grayson Rodriguez","BAL","sa3008130",0.529264442905924,0.679173883902108,0.737952850187794,0.0979783073604359,0.340584556668624,-0.825896228817725,1.55905781220716,75,"SP","Grayson Rodriguez",231,"41196","Grayson Rodriguez"
"76","Liam Hendriks","CHW","3548",-1.52989228796844,-1.24281926648221,-0.999542415133376,1.96143000693363,3.07382764060121,0.288810337684725,1.55181401563555,76,"SP","Liam Hendriks",290,"31755","Liam Hendriks"
"77","Luis Garcia","HOU","23735",0.896242870190463,0.950759872543371,0.882744122297892,-0.493025987416616,0.100743250480888,-0.825896228817725,1.51156789927827,77,"SP",NA,NA,NA,NA
"78","Jesús Luzardo","MIA","19959",0.6719782757388,0.908977412752407,0.882744122297892,0.0671927959234322,-0.197353486221843,-0.825896228817725,1.50764289167296,78,"SP","Jesus Luzardo",179,"39667","Jesus Luzardo"
"79","Tyler Mahle","MIN","16358",1.07973208383273,1.05521602202078,1.02753539440799,-0.60945601642323,-0.243472368712884,-0.825896228817725,1.48365888630766,79,"SP","Tyler Mahle",155,"34973","Tyler Mahle"
"80","Alex Wood","SFG","13781",0.304999848454261,0.3449142055744,0.158787761747404,0.64114163174665,0.744211468093957,-0.724559268226594,1.46949564739008,80,"SP",NA,NA,NA,NA
"81","Paul Sewald","SEA","13892",-0.938649266232234,-0.678756059304205,-0.999542415133376,0.700101292484185,1.40952547215015,1.91020170714283,1.40288073110735,81,"SP","Paul Sewald",199,"35009","Paul Sewald"
"82","Dustin May","LAD","19716",0.162286015621384,0.449370355051809,0.303579033857502,0.478951561551697,0.493505061770488,-0.52188534704433,1.36580668080855,82,"SP","Dustin May",205,"40937","Dustin May"
"83","Sean Manaea","SFG","15873",0.875855179785766,0.720956343693071,0.882744122297892,-0.325245970148277,0.0259589974189778,-0.825896228817725,1.3543724442297,83,"SP","Sean Manaea",185,"33244","Sean Manaea"
"84","Jameson Taillon","CHC","11674",1.32438436868909,0.846303723065962,1.02753539440799,-0.992551002350375,-0.0824608315950459,-0.825896228817725,1.2973154233999,84,"SP","Jameson Taillon",209,"31258","Jameson Taillon"
"85","David Bednar","PIT","19569",-0.95903695663693,-0.720538519095169,-0.999542415133376,0.707976181426984,0.705836859103919,2.51822347068962,1.25291862035505,85,"SP","David Bednar",194,"38303","David Bednar"
"86","Ranger Suárez","PHI","17277",1.24283360707031,0.762738803484035,1.17232666651809,-0.0544395560894364,-1.07014466840189,-0.825896228817725,1.22741862376338,86,"SP","Ranger Suarez",198,"39817","Ranger Suarez"
"87","Carlos Carrasco","NYM","6632",0.753529037357587,0.616500194215663,0.737952850187794,-0.143878709263608,0.0756610512313756,-0.825896228817725,1.21386819491109,87,"SP","Carlos Carrasco",262,"28968","Carlos Carrasco"
"88","Tyler Anderson","LAA","12880",1.46709820152197,0.720956343693071,1.17232666651809,-1.05030698835313,-0.270981877567186,-0.825896228817725,1.21319611699508,88,"SP","Tyler Anderson",183,"32151","Tyler Anderson"
"89","Martín Pérez","TEX","6902",1.44671051111727,0.867194952961444,1.31711793862818,-0.52193458231803,-1.22456779373529,-0.825896228817725,1.05862479783586,89,"SP","Martin Perez",228,"31098","Martin Perez"
"90","Camilo Doval","SFG","21992",-0.999812337446323,-0.762320978886132,-0.999542415133376,1.1351379034071,-0.170075149710854,2.82223435246302,1.02562137469343,90,"SP","Camilo Doval",139,"41337","Camilo Doval"
"91","Frankie Montas","NYY","14309",0.284612158049564,0.282240515887955,0.593161578077697,0.191497713872846,0.489921890449129,-0.825896228817725,1.01553762751947,91,"SP","Frankie Montas",278,"33249","Frankie Montas"
"92","Clay Holmes","NYY","13649",-0.999812337446323,-0.908559588154504,-0.999542415133376,1.49238448443651,0.183849707902084,2.21421258891623,0.982532440520615,92,"SP","Clay Holmes",189,"32827","Clay Holmes"
"93","José Alvarado","PHI","17780",-0.979424647041627,-0.469843760349388,-0.999542415133376,2.0927937631582,0.308567187119705,0.998169061822647,0.950719189576156,93,"SP",NA,NA,NA,NA
"94","Steven Matz","STL","13361",0.223449086835474,0.136001906619583,0.303579033857502,0.287261259721286,0.703293963327472,-0.724559268226594,0.929025982134724,94,"SP",NA,NA,NA,NA
"95","Kenta Maeda","MIN","18498",0.753529037357587,0.595608964320181,0.593161578077697,-0.429129220139812,0.0817871183291818,-0.724559268226594,0.87039820971824,95,"SP","Kenta Maeda",378,"34892","Kenta Maeda"
"96","Reid Detmers","LAA","27468",0.753529037357587,0.888086182856925,0.737952850187794,-0.561859861232687,-0.139444814221817,-0.825896228817725,0.852367166130077,96,"SP","Reid Detmers",303,"4326697","Reid Detmers"
"97","Ken Waldichuk","OAK","27681",0.447713681287137,0.532935274633736,0.593161578077697,0.0566657423107787,-0.0750633166090149,-0.724559268226594,0.83085369147374,97,"SP",NA,NA,NA,NA
"98","Matthew Boyd","DET","15440",0.814692108571677,0.616500194215663,0.882744122297892,-0.665171875756866,-0.0435082917467236,-0.825896228817725,0.779360028763916,98,"SP",NA,NA,NA,NA
"99","Lance McCullers Jr.","HOU","14120",0.712753656548193,0.70006511379759,0.882744122297892,0.0128030189247224,-0.725929049208115,-0.825896228817725,0.756540633542558,99,"SP","Lance McCullers Jr.",175,"32764","Lance McCullers"
"100","Sonny Gray","MIN","12768",0.712753656548193,0.658282654006626,0.737952850187794,-0.202063121866879,-0.379170534237895,-0.825896228817725,0.701859275820115,100,"SP","Sonny Gray",252,"32082","Sonny Gray"
"101","Zach Eflin","TBR","13774",0.6719782757388,0.240458056096991,0.737952850187794,-0.367027764331832,0.232973830856197,-0.825896228817725,0.690439019730225,101,"SP","Zach Eflin",369,"32804","Zach Eflin"
"102","A.J. Minter","ATL","18655",-0.918261575827537,-0.595191139722278,-0.999542415133376,1.29424738233168,1.13015369525581,0.694158180049252,0.605564126953551,102,"SP","A.J. Minter",223,"36133","A.J. Minter"
"103","Trevor Rogers","MIA","22286",0.264224467644868,0.365805435469882,0.448370305967599,0.176339572721293,0.0601725042293711,-0.724559268226594,0.590353017806419,103,"SP","Trevor Rogers",422,"39640","Trevor Rogers"
"104","Freddy Peralta","MIL","18679",0.325387538858957,0.616500194215663,0.448370305967599,-0.212936997013283,0.236094657490929,-0.825896228817725,0.58751947070214,104,"SP","Freddy Peralta",157,"39825","Freddy Peralta"
"105","Justin Steele","CHC","17312",0.61081520452471,0.553826504529218,0.737952850187794,0.0802904091391752,-0.743151388784969,-0.825896228817725,0.413837350778203,105,"SP","Justin Steele",324,NA,"Justin Steele"
"106","Jason Adam","TBR","11861",-0.918261575827537,-0.678756059304205,-0.999542415133376,0.756327183485102,1.00797911181464,1.20084298300491,0.368589228039532,106,"SP","Jason Adam",230,NA,"Jason Adam"
"107","Kyle Gibson","BAL","10123",1.20205822626091,0.616500194215663,1.02753539440799,-0.730578336768819,-0.983686212002644,-0.825896228817725,0.305933037295376,107,"SP",NA,NA,NA,NA
"108","Aaron Ashby","MIL","23550",-0.408569315710121,-0.114692852126198,-0.275586054582888,1.34645422379443,0.272041956876174,-0.52188534704433,0.297762611207069,108,"SP","Aaron Ashby",480,"41325","Aaron Ashby"
"109","Garrett Whitlock","BOS","20191",0.468101371691834,0.407587895260845,0.303579033857502,-0.273426752752658,0.0993562164210059,-0.724559268226594,0.280638496251935,109,"SP","Garrett Whitlock",271,"39674","Garrett Whitlock"
"110","JT Brubaker","PIT","17578",1.01856901261864,0.804521263274999,0.882744122297892,-0.865349104530813,-0.82533315683291,-0.825896228817725,0.189255908010085,110,"SP",NA,NA,NA,NA
"111","Taylor Rogers","SFG","13449",-0.95903695663693,-0.762320978886132,-0.999542415133376,1.21119382563185,1.09027646603424,0.59282121945812,0.173391160467768,111,"SP","Taylor Rogers",343,"33671","Taylor Rogers"
"112","Jack Flaherty","STL","17479",0.631202894929407,0.470261584947291,0.593161578077697,-0.509142988102654,-0.350273991323711,-0.724559268226594,0.110649810301436,112,"SP","Jack Flaherty",221,"33837","Jack Flaherty"
"113","Eric Lauer","MIL","19316",0.875855179785766,0.804521263274999,0.737952850187794,-0.840867584501386,-0.678423132657194,-0.825896228817725,0.0731423472722539,113,"SP","Eric Lauer",366,"39915","Eric Lauer"
"114","Jalen Beeks","TBR","17192",-1.02020002785102,-0.845885898468059,-0.999542415133376,1.291187192328,0.738663331854433,0.896832101231515,0.0610542839614937,114,"SP",NA,NA,NA,NA
"115","Kyle Bradish","BAL","24586",0.6719782757388,0.512044044738254,0.737952850187794,-0.513366050307731,-0.602714190222031,-0.825896228817725,-0.0200012986826393,115,"SP",NA,NA,NA,NA
"116","James Paxton","BOS","11828",0.651590585334104,0.70006511379759,0.448370305967599,-0.732128833037349,-0.399513700449481,-0.724559268226594,-0.0561757966141307,116,"SP",NA,NA,NA,NA
"117","Jorge López","MIN","14527",-0.877486195018144,-0.824994668572578,-0.999542415133376,0.623331325925241,0.124207243327206,1.8088647465517,-0.145619962919949,117,"SP","Jorge Lopez",261,"33833","Jorge Lopez"
"118","Garrett Cleavinger","TBR","17897",-1.04058771825572,-0.657864829408724,-0.999542415133376,1.36787555382018,0.591522135335404,0.59282121945812,-0.145776054184112,118,"SP",NA,NA,NA,NA
"119","Ross Stripling","SFG","13273",0.712753656548193,0.240458056096991,0.448370305967599,-0.702077767201227,-0.12730826619786,-0.724559268226594,-0.152363283012896,119,"SP","Ross Stripling",256,"32789","Ross Stripling"
"120","Adbert Alzolay","CHC","17859",-0.979424647041627,-0.866777128363541,-0.999542415133376,0.583059225476835,0.889618872038136,1.20084298300491,-0.172223110018662,120,"SP",NA,NA,NA,NA
"121","Caleb Thielbar","MIN","10078",-0.999812337446323,-0.74142974899065,-0.999542415133376,0.931104835228517,1.13627976235362,0.491484258866988,-0.181915645121228,121,"SP",NA,NA,NA,NA
"122","Aaron Civale","CLE","19479",0.427325990882441,0.156893136515064,0.593161578077697,-0.623349279039929,0.0339344432632912,-0.825896228817725,-0.237930359119161,122,"SP","Aaron Civale",351,"40934","Aaron Civale"
"123","Brock Burke","TEX","17968",-0.89787388542284,-0.74142974899065,-0.999542415133376,0.748431893275612,0.543438287926201,1.09950602241378,-0.247469845931275,123,"SP",NA,NA,NA,NA
"124","Tony Gonsolin","LAD","19388",0.814692108571677,0.741847573588553,0.737952850187794,-1.0207455529176,-0.714023673527472,-0.825896228817725,-0.266172922914771,124,"SP","Tony Gonsolin",137,"38958","Tony Gonsolin"
"125","Michael King","NYY","19853",-1.1221384798745,-0.929450818049986,-0.999542415133376,1.27458056124137,1.11778597488854,0.390147298275856,-0.268617878652095,125,"SP","Michael King",350,"40429","Michael King"
"126","Evan Phillips","LAD","17734",-0.95903695663693,-0.699647289199687,-0.999542415133376,0.67119269758277,0.473046309387245,1.20084298300491,-0.313144670995067,126,"SP","Evan Phillips",238,"37911","Evan Phillips"
"127","Roansy Contreras","PIT","22810",0.814692108571677,0.679173883902108,0.737952850187794,-0.889443000493107,-0.830418948385807,-0.825896228817725,-0.31393933503506,127,"SP","Roansy Contreras",385,NA,"Roansy Contreras"
"128","Aaron Bummer","CHW","16258",-0.95903695663693,-0.845885898468059,-0.999542415133376,1.79399681119904,0.101436767510828,0.59282121945812,-0.316210472070375,128,"SP",NA,NA,NA,NA
"129","Michael Wacha","","14078",0.937018250999856,0.449370355051809,0.737952850187794,-1.12854584611384,-0.490133259028366,-0.825896228817725,-0.320233877720471,129,"SP","Michael Wacha",300,"32640","Michael Wacha"
"130","Giovanny Gallegos","STL","14986",-0.95903695663693,-0.804103438677096,-0.999542415133376,0.606235064438025,1.12576142073285,0.694158180049252,-0.336528145227271,130,"SP","Giovanny Gallegos",237,"36050","Giovanny Gallegos"
"131","Scott Barlow","KCR","14993",-0.83671081420875,-0.783212208781614,-0.999542415133376,0.246642337739129,-0.196197624505276,2.21421258891623,-0.354808135973658,131,"SP","Scott Barlow",163,"32156","Scott Barlow"
