Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Kyle Bradish","BAL",6,8,8,4.25204,25,25,0,0,135,572,127,69,64,18,50,1,5,124,8.26182,3.30797,2.49755,1.2117,0.216107,0.0865274,0.1295793429017067,0.245164,1.30944,0.289415,0.710028,,,4.24445,1.11971,1.15323,345.6300048828125,4.20546,-2.00077,0.760977,"24586"
"Jhoan Duran","MIN",4,3,0,2.73343,61,0,14,16,66,265,50,22,20,5,22,2,3,86,11.7821,3.01015,3.91413,0.68189,0.323765,0.082717,0.24104798585176468,0.209006,1.10063,0.302692,0.77472,,,2.6122,1.11899,1.13532,123.95999908447266,2.55918,-0.256123,1.20687,"21029"
"A.J. Minter","ATL",4,3,0,3.00958,66,0,6,22,63,257,51,23,21,5,20,1,2,79,11.1802,2.85213,3.91995,0.708528,0.306208,0.0781153,0.22809266299009323,0.216993,1.1216,0.30408,0.74959,,,2.69677,1.11864,1.0461,456.19000244140625,1.90277,-0.980421,0.940462,"18655"
"Paul Blackburn","OAK",7,10,8,4.26322,28,28,0,0,152,649,157,78,72,19,43,2,6,112,6.59917,2.55806,2.57976,1.12923,0.172207,0.066753,0.10545352846384048,0.262592,1.31692,0.29513,0.702765,,,4.25272,1.11335,0.85663,559.6199951171875,3.36224,0.0266481,0.931199,"14739"
"Pete Fairbanks","TBR",4,3,0,2.89122,58,0,19,10,58,234,45,20,19,4,20,1,2,77,12.0052,3.10064,3.87184,0.633887,0.328918,0.0849513,0.24396643787622452,0.211228,1.12112,0.310778,0.75494,,,2.49678,1.11276,1.00192,153.52000427246094,1.8871,0.0481561,1.35256,"17998"
"Johnny Cueto","MIA",7,9,10,4.33966,24,24,0,0,146,623,155,76,70,20,39,1,6,102,6.28096,2.42079,2.5946,1.20556,0.163165,0.0628864,0.10027847439050674,0.268562,1.33377,0.297112,0.706359,,,4.39518,1.11009,1.18106,491.5799865722656,3.35585,1.12223,0.958281,"6893"
"Dean Kremer","BAL",8,8,8,4.31872,25,25,0,0,137,583,137,71,66,18,43,1,6,107,7.0589,2.82271,2.50075,1.20751,0.184155,0.0736396,0.11051494628190994,0.257081,1.31716,0.291238,0.704469,,,4.35453,1.0975,1.06987,504.8500061035156,3.51428,1.90379,0.861152,"19350"
"Michael Soroka","ATL",6,5,6,4.08878,26,16,0,1,96,407,95,48,44,11,27,1,5,75,6.97226,2.55573,2.72809,1.00063,0.183611,0.067304,0.11630705744028091,0.253873,1.27071,0.291768,0.696732,,,4.00586,1.06356,1.11553,389.5199890136719,2.68595,0.304571,0.19882,"18383"
"Matthew Boyd","DET",6,10,6,4.26325,25,23,0,1,129,547,124,67,61,18,41,1,6,118,8.22457,2.86,2.87572,1.27133,0.216176,0.0751729,0.14100352674722672,0.248578,1.27729,0.291723,0.706239,,,4.22297,1.05146,0.901193,471.5799865722656,5.84653,-0.110463,0.629949,"15440"
"Rich Hill","PIT",5,6,5,4.3828,20,20,0,0,100,425,97,53,49,13,34,1,6,84,7.59821,3.06921,2.47563,1.21692,0.197846,0.0799176,0.11792869865894318,0.250649,1.31104,0.288803,0.696877,,,4.37321,1.04889,0.867464,579.0599975585938,3.5317,-0.0963745,0.375287,"4806"
"Braxton Garrett","MIA",5,7,6,4.0934,32,18,0,1,107,457,105,53,49,13,36,2,5,99,8.27936,3.03265,2.73008,1.10323,0.215824,0.0790541,0.1367696151137352,0.251516,1.31146,0.30082,0.716841,,,4.02986,1.04712,1.00086,366.19000244140625,1.91673,-1.01811,0.282555,"21844"
"Michael Kopech","CHW",7,8,8,4.32083,31,26,0,1,134,571,118,70,65,20,57,1,6,134,8.93809,3.83263,2.3321,1.35182,0.233779,0.100244,0.13353489339351654,0.232951,1.30657,0.276985,0.715808,,,4.48102,1.03534,1.09276,291.7099914550781,5.72462,-0.0867546,0.895759,"17282"
"Josh Hader","SDP",3,3,0,3.10423,60,0,34,1,58,233,39,22,20,6,23,1,3,88,13.6022,3.53207,3.85105,0.96378,0.376663,0.0978078,0.27885519713163376,0.188276,1.0651,0.289405,0.754161,,,2.80136,1.02622,0.78769,36.25,3.22527,-0.432195,2.03392,"14212"
"Bailey Ober","MIN",4,5,4,3.95502,29,14,0,0,87,359,82,42,38,13,20,1,3,82,8.50938,2.05622,4.13835,1.30086,0.229779,0.0555242,0.1742546185851097,0.245671,1.17477,0.290296,0.716885,,,3.88914,1.01174,0.795737,318.1000061035156,1.83555,0.0151188,0.467217,"21224"
"Wade Miley","MIL",6,6,7,4.10423,21,19,0,0,102,438,104,50,46,12,36,1,4,73,6.46562,3.14545,2.05555,1.07586,0.166781,0.0811369,0.08564411103725433,0.260351,1.37027,0.29234,0.72706,,,4.3897,1.0089,1.2774,528.77001953125,3.82214,1.02304,0.490692,"8779"
"David Bednar","PIT",3,3,0,3.27309,61,0,25,4,64,260,53,25,23,6,20,1,2,78,11.0083,2.864,3.84369,0.785889,0.29964,0.0779564,0.22168345749378204,0.224042,1.1533,0.309392,0.735172,,,2.8655,0.998286,0.842923,102.45999908447266,2.3881,-1.14629,1.62594,"19569"
