playerid,Name,Team,Unnamed: 0,R,HR,RBI,RC,AVG,OPS,pr,pr_pos,weighted_pr,position_1B,position_2B,position_3B,position_C,position_CF,position_DH,position_LF,position_RF,position_SS
10047,Wil Myers,SDP,231,0.814677427353998,0.898611691102383,1.02158743685959,0.823222451857362,0.0015961411885285,0.458898425933281,4.01859357429515,-0.015917771416217162,4.002675802878933,0,0,0,0,0,0,0,1,0
10059,Max Stassi,LAA,134,0.187849168264505,0.391317889537675,0.243090440810084,0.134803978935652,-0.774201028309169,-0.11721613075091,0.0656443184878374,-0.2957413516066344,-0.23009703311879698,0,0,0,1,0,0,0,0,0
10200,Tucker Barnhart,DET,201,-0.125564961280242,-0.217434672339974,0.0661593053442865,-0.0691054738468365,-0.81983615592668,-0.967670952522809,-2.13345291057226,-0.8877264090476602,-3.02117931961992,0,0,0,1,0,0,0,0,0
10243,Randal Grichuk,TOR,648,1.629354854707996,2.40597594408242,2.39703714465078,1.4097083718981,0.003192282377057,0.533720480743768,8.37898907846012,0.3367966690450074,8.715785747505128,0,0,0,0,1,0,0,1,0
10264,Brandon Belt,SFG,83,1.16291534907038,1.50736425298003,1.09235989104591,1.22428813880632,0.32104203451111,1.74829767184552,7.05626733825927,0.5810081681958487,7.637275506455119,1,0,0,0,0,0,0,0,0
10323,Rafael Ortega,CHC,171,0.710206050839083,0.0869416085988508,0.313862894996403,0.510601307607576,0.412312289746134,0.0885390680648723,2.12246321985292,-0.24972480341151215,1.872738416441408,0,0,0,0,1,0,0,0,0
10324,Marcell Ozuna,ATL,130,0.919148803868914,1.40590549266709,1.34006348069803,1.118103555315,1.00556894877379,1.39165532723149,7.18044560855431,0.953825204494634,8.134270813048945,0,0,0,0,0,0,1,0,0
10472,Enrique Hernández,BOS,144,2.88301137288698,2.20305842345654,2.18471978209182,2.42411374067822,0.459543558552174,1.548779461568294,11.70322633923404,1.2842030151240122,12.987429354358053,0,1,0,0,1,0,0,0,0
10556,César Hernández,WSN,146,1.16291534907038,0.289859129224734,0.703111393021157,0.976444838908276,0.686123055451204,0.102256081319258,3.92070984699501,0.010272148701932816,3.9309819956969427,0,1,0,0,0,0,0,0,0
10681,Gio Urshela,NYY,372,1.07217417996178,0.985553299701234,1.406222786042314,1.23284326332728,2.1024081527826,0.478852427726226,7.27805410954142,0.09447991224542021,7.372534021786841,0,0,1,0,0,0,0,0,1
10815,Jurickson Profar,SDP,2004,1.7264628538639,-0.463903648108128,0.972361763240336,1.067957738668156,-1.45393951900626,-1.511357530336936,0.3375816583210628,-4.125519238810546,-3.7879375804894835,1,0,0,0,1,0,1,1,0
10950,Adam Duvall,ATL,504,2.9663891646365728,6.65272672551186,5.18793593616834,2.8301574312748796,-1.501170787812297,2.57007543093138,18.70611390071076,2.137690866421173,20.843804767131935,0,0,0,0,1,0,1,1,0
11038,Kevin Kiermaier,TBR,203,0.327144336951059,-0.420352192965857,0.136931759530605,0.0634182742769633,-0.409120007369075,-0.72076471394387,-1.02274254352017,-1.0963971514504636,-2.1191396949706336,0,0,0,0,1,0,0,0,0
11200,Kole Calhoun,TEX,223,0.501263297809252,0.797152930789441,0.596952711741679,0.437740156043021,-0.54602539022161,0.266860240371884,2.05394394653367,-0.5447908050287232,1.5091531415049468,0,0,0,0,0,0,0,1,0
11265,Jonathan Schoop,DET,280,2.32583069814076,2.20305842345654,2.53858205302342,2.31522923333998,1.828597387077524,0.780626719322706,11.99192451436094,0.8644986380256838,12.856423152386625,1,1,0,0,0,0,0,0,0
11281,Whit Merrifield,KCR,142,3.4401920476332,0.1738832171977016,1.901629965346548,2.58671666678446,3.56273223654296,0.561154507252538,12.2263086407574,1.148392951642419,13.37470159239982,0,1,0,0,0,0,0,1,0
11342,Jesús Aguilar,MIA,227,0.640558466495806,1.00007045141532,1.30467725360487,0.89471518364943,0.549217672598669,0.719521677766605,5.1087607055307,0.056749935950540745,5.165510641481241,1,0,0,0,0,0,0,0,0
11368,Yasmani Grandal,CHW,33,1.09326776472711,1.50736425298003,1.19851857232539,1.23691591533214,-0.317849752134053,1.69342961882797,6.41164637205859,1.4125680130546063,7.824214385113197,0,0,0,1,0,0,0,0,0
11442,Gary Sánchez,NYY,165,0.431615713465975,1.20298797204121,0.703111393021157,0.312664242189143,-1.59563332542438,0.376596346406968,1.43134234170007,0.0718971557020821,1.5032394974021521,0,0,0,1,0,0,0,0,0
11445,Mark Canha,NYM,417,4.01110292978574,2.0870825114294997,2.640127585460865,3.3552080255682,-0.67973849069709,1.664752556141937,13.078535117689139,0.6227771531494667,13.701312270838606,0,0,0,0,1,0,1,1,0
11477,Christian Yelich,MIL,62,1.65044843947332,1.10152921172827,1.23390479941855,1.55848426354532,1.00556894877379,1.58369351279289,8.13362917573213,1.210417055601088,9.344046231333218,0,0,0,0,0,0,1,0,0
11489,Michael A. Taylor,KCR,217,0.396791921294336,0.188400368911792,0.384635349182722,0.262619905022641,-0.22657949689903,-0.542443541636859,0.463424505875603,-0.696329035099127,-0.232904529223524,0,0,0,0,1,0,0,0,0
11609,Willson Contreras,CHC,76,1.02362018038383,1.10152921172827,1.02158743685959,1.01873670377033,0.0928663964235519,0.897842850073616,5.15618277923919,1.074604017061595,6.230786796300785,0,0,0,1,0,0,0,0,0
11680,Elias Díaz,COL,197,0.222672960436144,0.289859129224734,0.313862894996403,0.26063600563591,0.731758183068716,0.445181412678895,2.2639705860408,0.2960361671744109,2.5600067532152107,0,0,0,1,0,0,0,0,0
