ADP,Name,avg_pick
589,Brandon Dixon,259.9
590,Tyler Anderson,259.9
591,Steven Souza Jr.,259.9
592,Dakota Hudson,259.9
593,Jose Peraza,259.9
594,Jahmai Jones,259.9
595,Grayson Greiner,259.9
596,Clarke SchmiTD,259.9
597,Albert Almora Jr.,259.9
598,Mark Zagunis,259.9
599,Jordan Yamamoto,259.9
600,Yoan Aybar,259.9
601,Wander Suero,260
602,Braden Shewmake,260
603,Brent Honeywell Jr.,260
604,Sean Newcomb,260
605,Tim Lopes,260
606,Michael King,260
607,Greg Garcia,260
608,Jose Martinez,260
609,Justin Shafer,260
610,Triston Casas,260
611,Franklin Barreto,260
612,Oswaldo Arcia,260
613,Tim Beckham,260
614,Nivaldo Rodriguez,260
615,Cole Tucker,260
616,Monte Harrison,260
617,Casey Sadler,260
618,Austin Dean,260
619,Francisco Liriano,260
620,Aaron Loup,260
621,Darin Ruf,260
622,Carlos Rodon,260
623,Matt Moore,260
624,Kendall Graveman,260
625,JC Ramirez,260
626,Carlos Garcia,260
627,Santiago Espinal,260
628,Jhonny Peralta,260
629,Walker Lockett,260
630,Mark Mathias,260
631,Braxton Garrett,260
632,Jake Fishman,260
633,Anibal Sanchez,260
634,Luis Ortiz,260
635,Jedd Gyorko,260
636,Jeff Hoffman,260
637,Oneil Cruz,260
638,DJ Peters,260
639,Donovan Walton,260
640,Bobby Bradley,260
641,Aaron Sanchez,260
642,Jacob Nottingham,260
643,Yolmer Sanchez,260
644,Tyler Flowers,260
645,Kean Wong,260
646,Mac Sceroler,260
647,Yonathan Daza,260
648,Reese McGuire,260
649,Chen-Chang Lee,260
650,Buck Farmer,260
