,playerid,Name,Team,pIP,pQS,pSO,pWHIP,pERA,pSVHD,IP,QS,SO,wWHIP,wERA,SVHD,pr,rank,og_rank,rank_dif,pos_SP,pos_RP,adp,rank
602,22276,Dylan Coleman,KCR,46,0,52,1.28,3.8,8,-0.2731723,-0.5710987,-0.1163668,0.06766827,0.46927207,0.38778351,-0.035914,298,223,-75,0,1,NA,147
329,17677,Jeffrey Springs,TBR,43,0,55,1.22,3.75,6,-0.3380268,-0.5710987,-0.0521817,0.32150029,0.47633375,0.12339307,-0.0400801,299,321,22,0,1,NA,148
50,11801,Hansel Robles,,58,0,63,1.38,4.51,14,-0.0137546,-0.5710987,0.11897851,-0.4643955,-0.3321981,1.18095481,-0.0815135,300,745,445,0,1,NA,149
675,5114,Jeurys Familia,PHI,56,0,60,1.4,4.25,13,-0.0569909,-0.5710987,0.05479343,-0.5774347,0.01774677,1.0487596,-0.0842245,301,329,28,0,1,NA,150
364,18323,Josh Sborz,TEX,52,0,58,1.36,4.12,11,-0.1434635,-0.5710987,0.01200338,-0.3330789,0.16228263,0.78436916,-0.0889859,302,322,20,0,1,NA,151
392,18790,Dillon Peters,PIT,86,5,72,1.39,4.59,2,0.59155353,0.6171031,0.31153376,-0.6502516,-0.5569605,-0.4053878,-0.0924095,303,639,336,1,1,NA,152
537,20418,Josh Fleming,TBR,83,1,58,1.35,4.27,4,0.52669909,-0.3334584,0.01200338,-0.2820185,0.08567281,-0.1409974,-0.132099,307,212,-95,0,1,NA,153
121,13549,Richard Rodríguez,,57,0,50,1.25,4.53,10,-0.0353727,-0.5710987,-0.1591568,0.33121246,-0.3570581,0.65217394,-0.1393,308,617,309,0,1,NA,154
34,11384,Tommy Kahnle,LAD,40,0,50,1.2,3.57,5,-0.4028812,-0.5710987,-0.1591568,0.36577522,0.59968747,-0.0088021,-0.1764763,310,357,47,0,1,NA,155
334,17755,Drew Smith,NYM,54,0,52,1.3,4.24,9,-0.1002272,-0.5710987,-0.1163668,0.01090081,0.02261278,0.51997872,-0.2342004,312,411,99,0,1,NA,156
233,15823,Zack Littell,SFG,56,0,56,1.32,4.17,8,-0.0569909,-0.5710987,-0.0307867,-0.0984471,0.12407092,0.38778351,-0.2454689,313,462,149,0,1,NA,157
163,14527,Jorge López,BAL,57,1,55,1.35,4.53,11,-0.0353727,-0.3334584,-0.0521817,-0.2782138,-0.3570581,0.78436916,-0.2719155,315,308,-7,0,1,NA,158
645,27515,Hirokazu Sawamura,BOS,58,0,65,1.45,4.27,13,-0.0137546,-0.5710987,0.16176857,-0.898478,-0.0018337,1.0487596,-0.2746369,316,558,242,0,1,NA,159
403,19200,José Quijada,LAA,49,0,61,1.31,4.18,8,-0.2083179,-0.5710987,0.07618846,-0.067486,0.07132674,0.38778351,-0.3116039,317,225,-92,0,1,NA,160
592,22051,John King,TEX,53,0,45,1.28,4.04,7,-0.1218453,-0.5710987,-0.266132,0.1190332,0.26997106,0.25558829,-0.3144835,318,227,-91,0,1,NA,161
164,14542,Carlos Estévez,COL,63,0,62,1.43,4.97,19,0.09433615,-0.5710987,0.09758348,-0.8179529,-1.0309608,1.8419309,-0.3861619,321,378,57,0,1,NA,162
65,12361,Spencer Patton,TEX,54,0,57,1.41,4.36,13,-0.1002272,-0.5710987,-0.0093917,-0.6241855,-0.1311775,1.0487596,-0.3873209,322,525,203,0,1,NA,163
451,19618,Jordan Hicks,STL,45,0,45,1.37,3.83,10,-0.2947905,-0.5710987,-0.266132,-0.372683,0.42257762,0.65217394,-0.4299526,325,285,-40,0,1,NA,164
744,9460,Dan Straily,ARI,92,5,78,1.35,5.02,2,0.72126241,0.6171031,0.43990392,-0.2833355,-1.5204066,-0.4053878,-0.4308605,326,696,370,1,1,NA,165
652,3192,Will Harris,WSN,52,0,53,1.33,4.34,10,-0.1434635,-0.5710987,-0.0949718,-0.1662885,-0.1092237,0.65217394,-0.4328722,327,320,-7,0,1,NA,166
161,14506,J.B. Wendelken,ARI,56,0,53,1.39,4.35,12,-0.0569909,-0.5710987,-0.0949718,-0.5175613,-0.1151584,0.91656438,-0.4392167,329,396,67,0,1,NA,167
123,13594,Robert Stephenson,COL,62,0,69,1.38,4.81,13,0.07271801,-0.5710987,0.24734867,-0.4778109,-0.7824158,1.0487596,-0.4624992,330,626,296,0,1,NA,168
358,18138,Ryan Helsley,STL,52,0,52,1.39,4.4,13,-0.1434635,-0.5710987,-0.1163668,-0.4998692,-0.1832709,1.0487596,-0.4653095,331,451,120,0,1,NA,169
713,7432,Jay Jackson,ATL,45,0,55,1.31,4.21,9,-0.2947905,-0.5710987,-0.0521817,-0.0840074,0.01674214,0.51997872,-0.4653574,332,495,163,0,1,NA,170
683,5448,Jesse Chavez,,55,1,52,1.32,4.24,6,-0.078609,-0.3334584,-0.1163668,-0.1015083,0.02682504,0.12339307,-0.4797243,333,589,256,0,1,NA,171
472,19848,Darwinzon Hernandez,BOS,46,0,61,1.46,3.98,11,-0.2731723,-0.5710987,0.07618846,-0.8176035,0.27276226,0.78436916,-0.5285547,334,349,15,0,1,NA,172
118,13475,Daniel Norris,CHC,53,0,53,1.34,4.33,9,-0.1218453,-0.5710987,-0.0949718,-0.2209625,-0.0948062,0.51997872,-0.5837058,337,406,69,0,1,NA,173
153,14295,Wandy Peralta,NYY,57,0,51,1.4,4.11,9,-0.0353727,-0.5710987,-0.1377618,-0.5829269,0.21111159,0.51997872,-0.5960699,339,386,47,0,1,NA,174
678,5358,José Álvarez,SFG,52,0,39,1.36,3.99,9,-0.1434635,-0.5710987,-0.3945021,-0.3330789,0.32271817,0.51997872,-0.5994463,340,437,97,0,1,NA,175
630,24937,Austin Warren,LAA,55,0,54,1.42,4.15,10,-0.078609,-0.5710987,-0.0735767,-0.6895511,0.14430373,0.65217394,-0.6163579,342,256,-86,0,1,NA,176
253,16265,Sam Howard,PIT,49,0,58,1.39,4.42,11,-0.2083179,-0.5710987,0.01200338,-0.4866002,-0.2077742,0.78436916,-0.6774184,345,366,21,0,1,NA,177
487,19932,Trevor Stephan,CLE,55,0,62,1.36,4.5,9,-0.078609,-0.5710987,0.09758348,-0.3367254,-0.3125578,0.51997872,-0.6814288,346,494,148,0,1,NA,178
708,7115,Daniel Bard,COL,60,0,68,1.48,4.86,17,0.02948171,-0.5710987,0.22595365,-1.1126045,-0.8349839,1.57754047,-0.6857112,347,298,-49,0,1,NA,179
80,12800,Noé Ramirez,ARI,54,0,48,1.33,4.51,10,-0.1002272,-0.5710987,-0.2019469,-0.1623045,-0.3234154,0.65217394,-0.7068188,348,516,168,0,1,NA,180
285,16977,Trevor Williams,NYM,57,2,51,1.3,4.41,3,-0.0353727,-0.095818,-0.1377618,0.02649934,-0.1947239,-0.2731926,-0.7103697,349,412,63,0,1,NA,181
501,20070,Bailey Falter,PHI,46,1,45,1.24,4.33,5,-0.2731723,-0.3334584,-0.266132,0.26439534,-0.1093402,-0.0088021,-0.7265096,350,230,-120,0,1,NA,182
183,14875,Caleb Smith,ARI,67,1,72,1.36,4.71,6,0.18080874,-0.3334584,0.31153376,-0.3513114,-0.6699823,0.12339307,-0.7390165,351,579,228,0,1,NA,183
113,13424,Drew VerHagen,STL,56,2,47,1.34,4.38,5,-0.0569909,-0.095818,-0.2233419,-0.218194,-0.15503,-0.0088021,-0.7581769,353,400,47,0,1,NA,184
695,6483,Steve Cishek,WSN,55,0,49,1.47,4.68,17,-0.078609,-0.5710987,-0.1805519,-0.9835726,-0.5475152,1.57754047,-0.7838069,355,576,221,0,1,NA,185
357,18088,Cody Stashak,MIN,42,0,48,1.25,4.46,8,-0.3596449,-0.5710987,-0.2019469,0.17303215,-0.2472278,0.38778351,-0.8191027,356,259,-97,0,1,NA,186
192,15015,Alex Reyes,STL,33,0,40,1.36,3.76,10,-0.5542082,-0.5710987,-0.3731071,-0.3099843,0.31008726,0.65217394,-0.8461372,357,379,22,0,1,341,187
660,4020,Yusmeiro Petit,,57,0,37,1.29,4.87,12,-0.0353727,-0.5710987,-0.4372922,0.08744196,-0.817005,0.91656438,-0.8567623,358,806,448,0,1,NA,188
508,20185,Zach Pop,MIA,54,0,50,1.38,4.13,7,-0.1002272,-0.5710987,-0.1591568,-0.4509801,0.16358721,0.25558829,-0.8622874,359,415,56,0,1,NA,189
90,12918,Archie Bradley,LAA,52,0,45,1.39,4.4,11,-0.1434635,-0.5710987,-0.266132,-0.4998692,-0.1832709,0.78436916,-0.8794651,360,403,43,0,1,NA,190
22,10745,Trevor Rosenthal,,41,0,52,1.29,3.87,4,-0.3812631,-0.5710987,-0.1163668,-0.0128569,0.32788414,-0.1409974,-0.8946987,361,336,-25,0,1,NA,191
629,24933,Andrew Wantz,,53,0,58,1.31,4.59,7,-0.1218453,-0.5710987,0.01200338,-0.0509647,-0.4218479,0.25558829,-0.8981649,362,292,-70,0,1,NA,192
272,16587,Erik Swanson,SEA,42,1,43,1.25,4.28,5,-0.3596449,-0.3334584,-0.308922,0.17303215,-0.0678058,-0.0088021,-0.9056011,363,341,-22,0,1,NA,193
473,19853,Michael King,NYY,49,1,48,1.28,4.11,2,-0.2083179,-0.3334584,-0.2019469,0.08968181,0.15273116,-0.4053878,-0.906698,364,234,-130,0,1,NA,194
181,14857,Joe Mantiply,ARI,50,0,47,1.39,4.43,11,-0.1866998,-0.5710987,-0.2233419,-0.4910232,-0.2197004,0.78436916,-0.9074948,365,402,37,0,1,NA,195
424,19349,Caleb Ferguson,LAD,33,0,41,1.24,3.43,4,-0.5542082,-0.5710987,-0.3517121,0.11340655,0.56854038,-0.1409974,-0.9360695,367,304,-63,0,1,NA,196
682,5420,Pedro Báez,HOU,51,0,46,1.35,4.54,10,-0.1650816,-0.5710987,-0.244737,-0.2773358,-0.3531399,0.65217394,-0.9592191,369,803,434,0,1,NA,197
139,13799,Matt Strahm,BOS,46,1,42,1.27,4.35,5,-0.2731723,-0.3334584,-0.3303171,0.11685003,-0.1311746,-0.0088021,-0.9600745,370,393,23,0,1,NA,198
101,13259,Louis Head,MIA,49,0,49,1.31,4.18,5,-0.2083179,-0.5710987,-0.1805519,-0.067486,0.07132674,-0.0088021,-0.9649299,371,345,-26,0,1,NA,199
746,9784,Garrett Richards,TEX,60,1,54,1.39,4.49,7,0.02948171,-0.3334584,-0.0735767,-0.5352533,-0.3081097,0.25558829,-0.9653281,372,288,-84,0,1,NA,200
655,3281,Joe Smith,MIN,49,0,42,1.27,4.48,7,-0.2083179,-0.5710987,-0.3303171,0.14207108,-0.2775494,0.25558829,-0.9896237,373,426,53,0,1,NA,201
103,13287,Jesse Hahn,,45,0,46,1.42,4.4,12,-0.2947905,-0.5710987,-0.244737,-0.6132459,-0.1861756,0.91656438,-0.9934833,374,795,421,0,1,NA,202
171,14677,Duane Underwood Jr.,PIT,61,0,54,1.42,4.67,11,0.05109986,-0.5710987,-0.0735767,-0.7353342,-0.5704198,0.78436916,-1.1149605,377,539,162,0,1,NA,203
70,12580,Adam Morgan,,39,0,40,1.33,4.28,9,-0.4244994,-0.5710987,-0.3731071,-0.1921846,-0.0775946,0.51997872,-1.1185057,378,538,160,0,1,NA,204
562,21101,Dauri Moreta,CIN,50,0,49,1.28,4.6,6,-0.1866998,-0.5710987,-0.1805519,0.09701966,-0.4214315,0.12339307,-1.1393691,379,453,74,0,1,NA,205
405,19225,Mitch White,LAD,44,1,43,1.27,4.13,2,-0.3164086,-0.3334584,-0.308922,0.100036,0.0953583,-0.4053878,-1.1687825,380,254,-126,0,1,NA,206
512,20203,Eli Morgan,CLE,63,3,57,1.31,4.94,2,0.09433615,0.14182236,-0.0093917,-0.0096612,-0.9861053,-0.4053878,-1.1743874,381,394,13,1,1,NA,207
174,14706,Anthony Banda,PIT,61,0,52,1.46,4.61,12,0.05109986,-0.5710987,-0.1163668,-0.9962114,-0.4835568,0.91656438,-1.1995695,382,790,408,0,1,NA,208
438,19456,Kyle Funkhouser,DET,63,0,59,1.51,4.52,12,0.09433615,-0.5710987,0.0333984,-1.356814,-0.3581283,0.91656438,-1.2417421,386,480,94,0,1,NA,209
400,19179,Kirby Snead,OAK,33,0,35,1.31,3.53,5,-0.5542082,-0.5710987,-0.4800822,-0.1335715,0.49022126,-0.0088021,-1.2575416,387,284,-103,0,1,NA,210
125,13619,Jakob Junis,SFG,58,1,54,1.32,4.52,2,-0.0137546,-0.3334584,-0.0735767,-0.0923247,-0.3459632,-0.4053878,-1.2644655,388,408,20,0,1,NA,211
458,19712,Patrick Murphy,WSN,49,0,49,1.39,4.42,8,-0.2083179,-0.5710987,-0.1805519,-0.4866002,-0.2077742,0.38778351,-1.2665593,389,303,-86,0,1,NA,212
263,16418,Blake Taylor,HOU,49,0,47,1.44,4.28,9,-0.2083179,-0.5710987,-0.2233419,-0.7485466,-0.0449653,0.51997872,-1.2762917,392,441,49,0,1,NA,213
389,18694,Kolby Allard,TEX,51,2,46,1.32,4.57,3,-0.1650816,-0.095818,-0.244737,-0.1137529,-0.3894515,-0.2731926,-1.2820336,393,342,-51,0,1,NA,214
231,1581,Sean Doolittle,WSN,45,0,45,1.32,4.74,9,-0.2947905,-0.5710987,-0.266132,-0.13212,-0.5492915,0.51997872,-1.293454,394,506,112,0,1,NA,215
409,19249,Seranthony Domínguez,PHI,46,0,47,1.35,4.54,8,-0.2731723,-0.5710987,-0.2233419,-0.2766041,-0.3386016,0.38778351,-1.2950352,395,367,-28,0,1,NA,216
729,8246,Paolo Espino,WSN,87,4,69,1.38,5.08,2,0.61317167,0.37946273,0.24734867,-0.5616569,-1.5727955,-0.4053878,-1.2998571,396,420,24,1,1,NA,217
162,14524,José Leclerc,TEX,31,0,39,1.32,3.9,7,-0.5974445,-0.5710987,-0.3945021,-0.1749764,0.17587749,0.25558829,-1.306556,397,419,22,0,1,NA,218
165,14552,José Ruiz,CHW,45,0,45,1.38,4.16,6,-0.2947905,-0.5710987,-0.266132,-0.4207956,0.07014155,0.12339307,-1.3592821,398,417,19,0,1,NA,219
197,15047,Austin Voth,WSN,57,0,55,1.38,4.84,9,-0.0353727,-0.5710987,-0.0521817,-0.4610417,-0.7764214,0.51997872,-1.3761375,399,568,169,0,1,NA,220
383,18548,Sam Hentges,CLE,65,0,64,1.41,4.62,6,0.13757245,-0.5710987,0.14037354,-0.6963603,-0.5172592,0.12339307,-1.3833792,400,350,-50,0,1,NA,221
230,15761,Joe Jiménez,DET,52,0,58,1.37,4.7,7,-0.1434635,-0.5710987,0.01200338,-0.3886757,-0.5535067,0.25558829,-1.3891529,401,374,-27,0,1,NA,222
686,5640,Tyler Clippard,WSN,38,0,36,1.29,4.56,8,-0.4461175,-0.5710987,-0.4586872,-0.0316629,-0.3333774,0.38778351,-1.4531603,402,801,399,0,1,NA,223
312,17432,Jeff Hoffman,CIN,60,0,64,1.42,4.78,8,0.02948171,-0.5710987,0.14037354,-0.7277037,-0.7210651,0.38778351,-1.4622288,403,652,249,0,1,NA,224
36,11426,Drew Pomeranz,SDP,28,0,33,1.31,3.63,6,-0.662299,-0.5710987,-0.5228723,-0.1542232,0.318455,0.12339307,-1.4686451,404,471,67,0,1,NA,225
375,18384,Scott Effross,CHC,41,0,38,1.29,4.44,6,-0.3812631,-0.5710987,-0.4158972,-0.0128569,-0.2267577,0.12339307,-1.4844805,405,385,-20,0,1,NA,226
460,19731,Kodi Whitley,STL,39,0,39,1.32,4.16,5,-0.4244994,-0.5710987,-0.3945021,-0.150487,0.03347615,-0.0088021,-1.5159132,406,423,17,0,1,NA,227
750,9866,Chaz Roe,,41,0,46,1.38,4.25,6,-0.3812631,-0.5710987,-0.244737,-0.4073802,-0.0418771,0.12339307,-1.522963,407,621,214,0,1,NA,228
735,8823,Oliver Drake,TBR,41,0,41,1.28,4.19,3,-0.3812631,-0.5710987,-0.3517121,0.03097903,0.01650627,-0.2731926,-1.5297812,408,447,39,0,1,NA,229
677,5224,Blake Parker,STL,46,0,42,1.33,4.29,4,-0.2731723,-0.5710987,-0.3303171,-0.1782406,-0.0656713,-0.1409974,-1.5594974,409,521,112,0,1,NA,230
77,12760,Rafael Montero,HOU,43,0,40,1.33,4.3,5,-0.3380268,-0.5710987,-0.3731071,-0.1842166,-0.0849533,-0.0088021,-1.5602047,410,492,82,0,1,NA,231
666,4301,Justin Wilson,CIN,54,0,53,1.43,4.72,9,-0.1002272,-0.5710987,-0.0949718,-0.7396557,-0.5925484,0.51997872,-1.578523,411,473,62,0,1,NA,232
182,14874,Sam Moll,OAK,52,0,50,1.42,4.23,4,-0.1434635,-0.5710987,-0.1591568,-0.6666596,0.02652947,-0.1409974,-1.6548465,414,591,177,0,1,NA,233
299,17192,Jalen Beeks,TBR,41,0,40,1.35,3.99,3,-0.3812631,-0.5710987,-0.3731071,-0.2758724,0.21111744,-0.2731926,-1.6634165,415,399,-16,0,1,NA,234
235,15855,Wander Suero,,37,0,37,1.31,4.46,6,-0.4677357,-0.5710987,-0.4372922,-0.1170501,-0.2421827,0.12339307,-1.7119663,417,370,-47,0,1,NA,235
59,12178,Domingo Tapia,KCR,51,0,42,1.5,4.53,11,-0.1650816,-0.5710987,-0.3303171,-1.0952499,-0.3410361,0.78436916,-1.7184142,418,755,337,0,1,NA,236
155,14332,Joel Payamps,KCR,45,0,37,1.33,4.34,4,-0.2947905,-0.5710987,-0.4372922,-0.1802326,-0.1220963,-0.1409974,-1.7465077,420,347,-73,0,1,NA,237
538,20422,Jovani Moran,MIN,43,0,52,1.39,4.21,3,-0.3380268,-0.5710987,-0.1163668,-0.4600621,0.00689365,-0.2731926,-1.7518534,421,311,-110,0,1,NA,238
79,12777,John Brebbia,SFG,36,0,39,1.27,4.25,3,-0.4893538,-0.5710987,-0.3945021,0.03277988,-0.0617517,-0.2731926,-1.7571191,422,465,43,0,1,NA,239
257,16350,Ryan Borucki,TOR,39,0,38,1.38,4.13,5,-0.4244994,-0.5710987,-0.4158972,-0.4006725,0.06124384,-0.0088021,-1.7597261,423,431,8,0,1,NA,240
169,14665,Jandel Gustave,MIL,42,0,37,1.35,4.34,5,-0.3596449,-0.5710987,-0.4372922,-0.2760188,-0.1276132,-0.0088021,-1.7804699,424,463,39,0,1,NA,241
721,7836,Hunter Strickland,CIN,51,0,49,1.39,4.78,7,-0.1650816,-0.5710987,-0.1805519,-0.4954462,-0.6436327,0.25558829,-1.8002228,426,757,331,0,1,NA,242
726,8110,Bryan Shaw,CLE,46,0,42,1.46,4.67,10,-0.2731723,-0.5710987,-0.3303171,-0.8176035,-0.4805253,0.65217394,-1.8205431,427,765,338,0,1,NA,243
411,19266,Taylor Widener,ARI,52,1,52,1.39,4.84,5,-0.1434635,-0.3334584,-0.1163668,-0.4998692,-0.7262835,-0.0088021,-1.8282435,428,686,258,0,1,NA,244
283,16943,Sean Newcomb,ATL,36,0,39,1.39,4.17,5,-0.4893538,-0.5710987,-0.3945021,-0.4291011,0.00659955,-0.0088021,-1.8862583,430,486,56,0,1,NA,245
61,12249,Ryan Sherriff,PHI,42,0,38,1.41,4.33,6,-0.3596449,-0.5710987,-0.4158972,-0.5454493,-0.1176453,0.12339307,-1.8863423,431,467,36,0,1,NA,246
199,15071,Kyle McGowin,,38,0,40,1.29,4.33,2,-0.4461175,-0.5710987,-0.3731071,-0.0316629,-0.1259504,-0.4053878,-1.9533245,433,373,-60,0,1,NA,247
292,17117,Austin Davis,BOS,43,0,45,1.39,4.65,6,-0.3380268,-0.5710987,-0.266132,-0.4600621,-0.442136,0.12339307,-1.9540626,434,359,-75,0,1,NA,248
710,7196,Greg Holland,TEX,37,0,37,1.44,4.47,8,-0.4677357,-0.5710987,-0.4372922,-0.6313203,-0.2509639,0.38778351,-1.9706273,436,687,251,0,1,NA,249
646,2859,Ross Detwiler,,46,0,44,1.36,4.45,3,-0.2731723,-0.5710987,-0.287527,-0.3257859,-0.2403467,-0.2731926,-1.9711232,437,706,269,0,1,NA,250
196,15046,Trevor Gott,MIL,42,0,42,1.36,4.88,7,-0.3596449,-0.5710987,-0.3303171,-0.3209239,-0.6658792,0.25558829,-1.9922754,439,713,274,0,1,NA,251
318,17536,Ryan Burr,CHW,40,0,37,1.45,4.24,6,-0.4028812,-0.5710987,-0.4372922,-0.7033936,-0.0363588,0.12339307,-2.0276315,441,572,131,0,1,NA,252
331,17732,Nabil Crismatt,SDP,43,0,38,1.32,4.38,2,-0.3380268,-0.5710987,-0.4158972,-0.1382423,-0.1665951,-0.4053878,-2.0352479,442,560,118,0,1,NA,253
266,16466,Brent Honeywell Jr.,OAK,50,1,43,1.35,4.7,2,-0.1866998,-0.3334584,-0.308922,-0.2771894,-0.5400968,-0.4053878,-2.0517542,444,542,98,0,1,NA,254
127,13654,Jharel Cotton,MIN,38,0,38,1.39,4.43,5,-0.4461175,-0.5710987,-0.4158972,-0.4379471,-0.216136,-0.0088021,-2.0959987,446,444,-2,0,1,NA,255
259,16390,Brad Wieck,CHC,25,0,33,1.32,3.76,3,-0.7271534,-0.5710987,-0.5228723,-0.1933434,0.18525425,-0.2731926,-2.1024062,447,445,-2,0,1,NA,256
701,6785,Andrew Miller,,41,0,41,1.36,4.56,4,-0.3812631,-0.5710987,-0.3517121,-0.3197083,-0.3435244,-0.1409974,-2.108304,448,776,328,0,1,NA,257
104,13293,Danny Coulombe,MIN,33,0,33,1.33,3.97,2,-0.5542082,-0.5710987,-0.5228723,-0.2041366,0.1456171,-0.4053878,-2.1120866,449,508,59,0,1,NA,258
327,17611,Taylor Clarke,KCR,46,0,39,1.39,4.71,6,-0.2731723,-0.5710987,-0.3945021,-0.4733312,-0.5241942,0.12339307,-2.1129055,450,682,232,0,1,NA,259
362,18297,Tyler Kinley,COL,58,0,57,1.46,5.26,11,-0.0137546,-0.5710987,-0.0093917,-0.9604898,-1.3645866,0.78436916,-2.1349522,453,544,91,0,1,NA,260
481,19883,Alex Lange,DET,45,0,45,1.47,4.51,6,-0.2947905,-0.5710987,-0.266132,-0.8538089,-0.3036543,0.12339307,-2.1660914,454,443,-11,0,1,NA,261
313,17464,Jonathan Hernández,TEX,25,0,25,1.33,4.21,6,-0.7271534,-0.5710987,-0.6940325,-0.2200726,-0.0817428,0.12339307,-2.170707,455,448,-7,0,1,NA,262
618,23493,Nick Snyder,TEX,25,0,25,1.35,4.36,7,-0.7271534,-0.5710987,-0.6940325,-0.2735311,-0.1707418,0.25558829,-2.1809692,458,493,35,0,1,NA,263
475,19866,Brandon Bielak,HOU,36,0,34,1.37,4.34,4,-0.4893538,-0.5710987,-0.5014773,-0.3521209,-0.1386468,-0.1409974,-2.1936949,459,438,-21,0,1,NA,264
278,16794,Josh James,,31,0,37,1.34,4.25,3,-0.5974445,-0.5710987,-0.4372922,-0.2412648,-0.0816263,-0.2731926,-2.2019192,460,368,-92,0,1,NA,265
664,4185,Rafael Dolis,,41,0,44,1.49,4.42,6,-0.3812631,-0.5710987,-0.287527,-0.8895753,-0.2072966,0.12339307,-2.2133676,462,553,91,0,1,NA,266
297,17181,Yoan López,,30,0,28,1.36,4.43,6,-0.6190627,-0.5710987,-0.6298474,-0.3063378,-0.2137598,0.12339307,-2.2167134,463,615,152,0,1,NA,267
41,1157,Tommy Hunter,,32,0,27,1.29,4.26,3,-0.5758264,-0.5710987,-0.6512425,-0.069275,-0.085246,-0.2731926,-2.2258811,465,575,110,0,1,NA,268
690,6316,David Phelps,TOR,23,0,27,1.28,4.03,4,-0.7703897,-0.5710987,-0.6512425,-0.1011022,0.00666364,-0.1409974,-2.2281669,466,490,24,0,1,NA,269
622,23779,Justin Bruihl,LAD,24,0,22,1.27,3.96,4,-0.7487716,-0.5710987,-0.7582176,-0.0681043,0.05573139,-0.1409974,-2.2314582,467,410,-57,0,1,NA,270
548,20617,J.C. Mejía,MIL,57,1,53,1.42,4.85,3,-0.0353727,-0.3334584,-0.0949718,-0.7048122,-0.7899493,-0.2731926,-2.2317568,468,674,206,0,1,NA,271
638,2608,Jhoulys Chacín,COL,62,1,51,1.49,5.24,11,0.07271801,-0.3334584,-0.1377618,-1.206984,-1.4151395,0.78436916,-2.2362565,469,810,341,0,1,NA,272
468,19795,Keegan Thompson,CHC,60,1,57,1.44,4.79,2,0.02948171,-0.3334584,-0.0093917,-0.856004,-0.735305,-0.4053878,-2.310065,471,555,84,0,1,NA,273
319,17556,Jimmy Herget,LAA,37,0,36,1.39,4.62,5,-0.4677357,-0.5710987,-0.4586872,-0.4335241,-0.3826825,-0.0088021,-2.3225303,473,635,162,0,1,NA,274
688,6216,Dellin Betances,,33,0,36,1.35,4.4,3,-0.5542082,-0.5710987,-0.4586872,-0.2747017,-0.1911552,-0.2731926,-2.3230437,474,688,214,0,1,NA,275
332,17734,Evan Phillips,LAD,33,0,35,1.38,4.24,3,-0.5542082,-0.5710987,-0.4800822,-0.3805495,-0.0658445,-0.2731926,-2.3249758,475,496,21,0,1,NA,276
789,sa828669,Grant Holmes,OAK,44,0,40,1.43,4.61,5,-0.3164086,-0.5710987,-0.3731071,-0.6526589,-0.4058841,-0.0088021,-2.3279596,476,739,263,0,1,NA,277
657,3321,Darren O'Day,ATL,21,0,23,1.3,4.1,5,-0.813626,-0.5710987,-0.7368226,-0.160683,-0.0466164,-0.0088021,-2.3376488,477,599,122,0,1,NA,278
15,10341,Juan Minaya,,39,0,40,1.42,4.49,4,-0.4244994,-0.5710987,-0.3731071,-0.5674628,-0.2719684,-0.1409974,-2.3491339,480,513,33,0,1,NA,279
296,17170,Gabe Speier,KCR,35,0,32,1.35,4.23,2,-0.510972,-0.5710987,-0.5442673,-0.2749944,-0.0491135,-0.4053878,-2.3558337,481,361,-120,0,1,NA,280
450,19614,Cionel Pérez,BAL,44,0,46,1.45,4.58,4,-0.3164086,-0.5710987,-0.244737,-0.7467457,-0.3745565,-0.1409974,-2.3945439,483,255,-228,0,1,NA,281
343,17878,Dennis Santana,TEX,47,0,45,1.46,4.67,5,-0.2515542,-0.5710987,-0.266132,-0.8295107,-0.4865183,-0.0088021,-2.4136161,484,629,145,0,1,NA,282
315,17485,Albert Abreu,NYY,47,0,50,1.49,4.75,6,-0.2515542,-0.5710987,-0.1591568,-0.9802635,-0.5757547,0.12339307,-2.4144349,485,747,262,0,1,NA,283
452,19647,Matt Foster,CHW,31,0,31,1.31,4.51,3,-0.5974445,-0.5710987,-0.5656624,-0.1418321,-0.2729148,-0.2731926,-2.4221452,486,452,-34,0,1,NA,284
449,19583,Sean Poppen,ARI,34,0,34,1.37,4.41,3,-0.5325901,-0.5710987,-0.5014773,-0.3475516,-0.1988094,-0.2731926,-2.4247197,487,344,-143,0,1,NA,285
87,12890,Alex Claudio,NYM,34,0,27,1.38,4.2,3,-0.5325901,-0.5710987,-0.6512425,-0.3839033,-0.0293553,-0.2731926,-2.4413825,488,556,68,0,1,NA,286
555,21018,Francisco Perez,WSN,28,0,30,1.35,4.27,3,-0.662299,-0.5710987,-0.5870574,-0.2739701,-0.1068416,-0.2731926,-2.4744593,489,442,-47,0,1,NA,287
434,19444,Yohan Ramirez,SEA,31,0,38,1.43,4.25,3,-0.5974445,-0.5710987,-0.4158972,-0.5395629,-0.0816263,-0.2731926,-2.4788223,490,515,25,0,1,NA,288
289,17034,Sean Reid-Foley,NYM,34,0,38,1.41,4.31,2,-0.5325901,-0.5710987,-0.4158972,-0.4929585,-0.118117,-0.4053878,-2.5360493,494,533,39,0,1,NA,289
553,20794,Manuel Rodríguez,CHC,38,0,37,1.46,4.59,5,-0.4461175,-0.5710987,-0.4372922,-0.722346,-0.3604331,-0.0088021,-2.5460897,495,436,-59,0,1,NA,290
203,1514,Oliver Pérez,ARI,26,0,24,1.32,4.02,2,-0.7055353,-0.5710987,-0.7154275,-0.1902822,0.04042283,-0.4053878,-2.5473088,496,641,145,0,1,NA,291
