,playerid,Name,Team,pIP,pQS,pSO,pWHIP,pERA,pSVHD,IP,QS,SO,wWHIP,wERA,SVHD,pr,rank,og_rank,rank_dif,pos_SP,pos_RP,adp,rank
589,21992,Camilo Doval,SFG,59,0,74,1.29,3.61,26,0.00786357,-0.5710987,0.35432381,0.09997932,0.92583222,2.76729743,3.58419761,137,238,101,0,1,213,35
317,17496,Diego Castillo,SEA,60,0,69,1.17,3.4,18,0.02948171,-0.5710987,0.24734867,0.87604956,1.24403298,1.70973569,3.53554988,140,200,60,0,1,343,36
117,13470,Lucas Sims,CIN,56,0,78,1.19,3.78,23,-0.0569909,-0.5710987,0.43990392,0.67990783,0.64240115,2.37071178,3.50483507,141,194,53,0,1,324,37
724,8048,Will Smith,ATL,65,0,77,1.17,3.75,18,0.13757245,-0.5710987,0.41850889,0.97154308,0.82484582,1.70973569,3.49110719,142,248,106,0,1,198,38
725,8048,Will Smith,ATL,65,0,77,1.17,3.75,18,0.13757245,-0.5710987,0.41850889,0.97154308,0.82484582,1.70973569,3.49110719,142,248,106,0,1,66,39
440,19459,Jorge Alcala,MIN,64,0,69,1.21,3.94,23,0.1159543,-0.5710987,0.24734867,0.67873715,0.52041025,2.37071178,3.36206341,148,220,72,0,1,NA,40
709,7146,Daniel Hudson,LAD,58,0,73,1.21,3.91,24,-0.0137546,-0.5710987,0.33292878,0.58980498,0.49371274,2.50290699,3.33450018,149,235,86,0,1,NA,41
222,15541,Tyler Rogers,SFG,71,0,50,1.28,3.7,24,0.26728133,-0.5710987,-0.1591568,0.25111444,1.00414696,2.50290699,3.29519414,150,239,89,0,1,308,42
454,19677,Gregory Soto,DET,65,0,76,1.36,3.76,26,0.13757245,-0.5710987,0.39711386,-0.3488804,0.80941933,2.76729743,3.19142389,154,244,90,0,1,237,43
220,15514,Kendall Graveman,CHW,58,0,60,1.2,3.48,20,-0.0137546,-0.5710987,0.05479343,0.65181677,1.08561548,1.97412612,3.18149849,155,261,106,0,1,323,44
93,12988,Andrew Chafin,DET,62,0,60,1.22,3.57,20,0.07271801,-0.5710987,0.05479343,0.58280463,1.0421825,1.97412612,3.15552595,156,215,59,0,1,NA,45
66,12447,Seth Lugo,NYM,62,1,68,1.2,3.85,19,0.07271801,-0.3334584,0.22595365,0.71538156,0.63017642,1.8419309,3.15270217,157,267,110,0,1,NA,46
81,12804,Matt Wisler,TBR,62,0,73,1.17,3.93,19,0.07271801,-0.5710987,0.33292878,0.91424697,0.5124604,1.8419309,3.10318633,158,299,141,0,1,NA,47
