"","Name","Team","playerid","IP","QS","SO","WHIP","ERA","SVHD","pr","rank","position"
"1","José Berríos","TOR","14168",2.75545507890763,3.10302838887843,2.84228300205311,2.53574626096004,2.47688925758424,-0.674113734802185,5.59849408224537,3,"SP"
"2","Luis Castillo","CIN","15689",2.66984419250671,3.10302838887843,2.77876508547468,2.74271719909437,2.36709070267152,-0.674113734802185,5.54653766248757,4,"SP"
"3","Zack Wheeler","PHI","10310",2.88387140850901,3.33385334938826,2.99049147406946,2.35458217296715,2.09831460785452,-0.674113734802185,5.54620510665027,5,"SP"
"4","Robbie Ray","SEA","11486",2.54142786290533,3.10302838887843,3.60449800099431,2.2047303964792,2.0501192025628,-0.674113734802185,5.38889594568197,6,"SP"
"5","Sandy Alcantara","MIA","18684",2.75545507890763,3.56467830989809,2.5670386968799,2.43716409341975,2.13082450530157,-0.674113734802185,5.34025277826887,7,"SP"
"6","Germán Márquez","COL","15038",2.58423330610579,2.8722034283686,2.33413966942565,2.74839470612549,2.91220092578842,-0.674113734802185,5.33626412967587,8,"SP"
"7","Shane Bieber","CLE","19427",2.41301153330395,3.56467830989809,3.30808105696162,1.90433866083286,1.63748163480735,-0.674113734802185,4.71268328966577,9,"SP"
"8","Lucas Giolito","CHW","15474",2.5200251413051,2.8722034283686,3.09635466836684,2.15380487886676,2.11503546275165,-0.674113734802185,4.64251567352087,10,"SP"
"9","Lance Lynn","CHW","2520",2.56283058450556,2.8722034283686,2.86345564091259,2.2873123169318,2.12559600268668,-0.674113734802185,4.59649006726707,11,"SP"
"10","Aaron Nola","PHI","16149",2.56283058450556,2.64137846785877,3.15987258494528,2.16206307091202,2.12559600268668,-0.674113734802185,4.53683280477017,12,"SP"
"11","Brandon Woodruff","MIL","16162",2.54142786290533,3.33385334938826,3.01166411292893,1.98674853561785,1.75965258699689,-0.674113734802185,4.51843854169917,13,"SP"
"12","Frankie Montas","OAK","14309",2.47721969810464,3.10302838887843,2.7575924466152,2.26735501948909,1.96563488308257,-0.674113734802185,4.45592253003177,14,"SP"
"13","Kevin Gausman","TOR","14107",2.49862241970487,2.8722034283686,2.90580091863154,2.13401962709166,2.07708999327922,-0.674113734802185,4.37282848093777,15,"SP"
"14","Kyle Gibson","PHI","10123",2.45581697650441,2.64137846785877,1.93185953109557,2.76439495321318,2.66154340438937,-0.674113734802185,4.34008542692317,17,"SP"
"15","Kyle Hendricks","CHC","12049",2.5200251413051,2.8722034283686,1.44488883732758,2.58735996124291,2.86048534051836,-0.674113734802185,4.17005480262447,18,"SP"
"16","Max Fried","ATL","13743",2.47721969810464,3.33385334938826,2.39765758600408,2.26735501948909,1.79977228527948,-0.674113734802185,4.16095003212747,19,"SP"
"17","Eduardo Rodriguez","DET","13164",2.5200251413051,2.41055350734894,2.71524716889625,2.46348708056401,2.15230795663998,-0.674113734802185,4.14671294861617,20,"SP"
"18","Patrick Corbin","WSN","9323",2.39160881170372,2.41055350734894,1.97420480881453,2.66374823766157,2.76419806464016,-0.674113734802185,4.08940552403077,21,"SP"
"19","Joe Musgrove","SDP","12970",2.47721969810464,2.64137846785877,2.84228300205311,2.17548263298557,1.96563488308257,-0.674113734802185,3.98709077794657,22,"SP"
"20","Yu Darvish","SDP","13074",2.34880336850326,2.64137846785877,2.79993772433416,1.99552286466594,2.15562106720784,-0.674113734802185,3.82635558643187,23,"SP"
"21","Framber Valdez","HOU","17295",2.39160881170372,2.8722034283686,2.14358591969035,2.51406850684123,1.95352132256886,-0.674113734802185,3.76008008303467,24,"SP"
"22","Dylan Cease","CHW","18525",2.24178976050211,2.17972854683911,3.05400939064789,2.18391287069844,1.91454050604398,-0.674113734802185,3.45907316859337,26,"SP"
"23","Tyler Mahle","CIN","16358",2.22038703890188,2.17972854683911,2.48234814144199,2.24808590471681,2.32448617146305,-0.674113734802185,3.34012789722477,27,"SP"
"24","Zac Gallen","ARI","19291",2.22038703890188,2.41055350734894,2.48234814144199,2.19096674307043,2.10105827754352,-0.674113734802185,3.29040580216867,28,"SP"
"25","Chris Flexen","SEA","13896",2.39160881170372,2.41055350734894,1.6142699482034,2.51406850684123,2.44893488716799,-0.674113734802185,3.26452775512717,29,"SP"
"26","Marcus Stroman","CHC","13431",2.39160881170372,2.64137846785877,1.72013314250079,2.42426066834903,2.1877168258339,-0.674113734802185,3.25019001010807,30,"SP"
"27","Nathan Eovaldi","BOS","9132",2.3059979253028,2.41055350734894,2.3764849471446,2.10219117858388,2.05291463960442,-0.674113734802185,3.13323429184657,31,"SP"
"28","Julio Urías","LAD","14765",2.43441425490418,2.41055350734894,2.41883022486356,2.07466387176635,1.88249651477053,-0.674113734802185,3.10605046751547,32,"SP"
"29","Merrill Kelly","ARI","11156",2.28459520370257,2.17972854683911,1.57192467048445,2.45953003020899,2.72387129694709,-0.674113734802185,3.10474184204407,33,"SP"
"30","Marco Gonzales","SEA","15467",2.34880336850326,2.41055350734894,1.57192467048445,2.38021697744097,2.48506849929862,-0.674113734802185,3.08165911693817,34,"SP"
"31","Jon Gray","TEX","14916",2.24178976050211,2.17972854683911,2.1859311974093,2.27010775017084,2.2084755342356,-0.674113734802185,2.97112488301887,35,"SP"
"32","Freddy Peralta","MIL","18679",2.11337343090073,2.41055350734894,3.09635466836684,1.75018574265467,1.68785126890923,-0.674113734802185,2.94341071204227,36,"SP"
"33","Sean Manaea","OAK","15873",2.28459520370257,2.64137846785877,2.22827647512826,1.99431854499267,1.90149513318306,-0.674113734802185,2.93515591872717,37,"SP"
"34","Logan Webb","SFG","17995",2.32740064690303,2.64137846785877,2.20710383626878,2.15225646785827,1.7101629978896,-0.674113734802185,2.92339451064037,38,"SP"
"35","Chris Bassitt","NYM","12304",2.28459520370257,2.64137846785877,2.10124064197139,2.05246998064471,1.89274645058983,-0.674113734802185,2.85752283862917,39,"SP"
"36","Madison Bumgarner","ARI","5524",2.19898431730165,1.94890358632928,1.55075203162497,2.25445159441837,2.93425381800569,-0.674113734802185,2.77243744154187,40,"SP"
"37","Adam Wainwright","STL","2233",2.28459520370257,2.64137846785877,1.57192467048445,2.22692428760083,2.13770956320039,-0.674113734802185,2.74762428670887,41,"SP"
"38","Antonio Senzatela","COL","15488",2.17758159570142,2.17972854683911,0.957918143559596,2.62727455612834,2.85717222995051,-0.674113734802185,2.68476716604087,42,"SP"
"39","Sonny Gray","MIN","12768",2.0919707093005,2.17972854683911,2.31296703056617,2.11595483199265,2.04152582202743,-0.674113734802185,2.62723903458777,43,"SP"
"40","Mike Minor","KCR","10021",2.19898431730165,1.94890358632928,1.86834161451714,2.1976765241072,2.43029864022382,-0.674113734802185,2.52929677634098,44,"SP"
"41","Jack Flaherty","STL","17479",2.0919707093005,2.64137846785877,2.35531230828512,1.78562715018225,1.68536643598334,-0.674113734802185,2.44474716547187,45,"SP"
"42","Charlie Morton","ATL","4676",2.07056798770027,2.64137846785877,2.41883022486356,1.79302511388946,1.58390242484287,-0.674113734802185,2.39279631301681,46,"SP"
"43","Aaron Civale","CLE","19479",2.17758159570142,2.17972854683911,1.57192467048445,2.17582672432079,2.38174086346374,-0.674113734802185,2.37189449467139,47,"SP"
"44","Anthony DeSclafani","SFG","13050",2.13477615250096,2.41055350734894,1.69896050364132,2.1042557265952,2.11783089979327,-0.674113734802185,2.35146888374158,48,"SP"
"45","Alek Manoah","TOR","26410",2.02776254449981,2.41055350734894,2.44000286372303,1.77977759748352,1.73356184127506,-0.674113734802185,2.27675044819226,50,"SP"
"46","John Means","BAL","16269",2.19898431730165,2.17972854683911,1.84716897565766,1.88541363739581,2.16550863155877,-0.674113734802185,2.16189620261488,51,"SP"
"47","Jordan Montgomery","NYY","16511",2.0919707093005,1.94890358632928,2.10124064197139,2.06090021835758,1.99182916350965,-0.674113734802185,2.0799364133303,52,"SP"
"48","Hyun Jin Ryu","TOR","14444",2.11337343090073,2.41055350734894,1.67778786478184,1.99947991502096,1.95455666962132,-0.674113734802185,2.04084348153567,53,"SP"
"49","Ian Anderson","ATL","19951",2.00635982289958,2.17972854683911,1.97420480881453,2.10838482261783,1.85102196437594,-0.674113734802185,2.00479205940887,55,"SP"
"50","Kyle Freeland","COL","16256",1.92074893649866,1.94890358632928,1.19081717101385,2.43664795641692,2.59440114803774,-0.674113734802185,1.97661089215834,56,"SP"
"51","Wade Miley","CHC","8779",2.07056798770027,2.17972854683911,1.16964453215437,2.42219612033771,2.18476608673441,-0.674113734802185,1.91199536762777,57,"SP"
"52","Chris Sale","BOS","10603",2.04916526610004,1.94890358632928,2.84228300205311,1.66416290884988,1.50801148589801,-0.674113734802185,1.89761834309221,58,"SP"
"53","Luis Garcia","HOU","23735",2.07056798770027,1.71807862581946,2.24944911398774,1.957156680789,1.85552572405411,-0.546207404235361,1.86377655677929,59,"SP"
"54","Nick Pivetta","BOS","15454",1.89934621489843,1.48725366530963,2.08006800311191,2.12558938937879,2.3024850465984,-0.674113734802185,1.77983441315905,60,"SP"
"55","Yusei Kikuchi","SEA","20633",1.92074893649866,1.71807862581946,1.86834161451714,2.04438383426706,2.04359651613234,-0.418301073668537,1.73605428223019,61,"SP"
"56","Zach Plesac","CLE","19979",2.11337343090073,1.94890358632928,1.36019828188967,2.05487861999125,2.35461477068945,-0.674113734802185,1.71706078366227,62,"SP"
"57","Jordan Lyles","BAL","7593",1.83513805009774,1.71807862581946,1.21198980987333,2.20817130983139,2.72733970957281,-0.674113734802185,1.5858095990566,63,"SP"
"58","Casey Mize","DET","20492",2.02776254449981,1.94890358632928,1.36019828188967,2.02287812581587,2.13993555936316,-0.674113734802185,1.38477019175968,64,"SP"
