"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos","Player","ESPN","ESPNID","ESPNNAME"
"30","Joe Musgrove","SDP","12970",1.13923778965995,1.18282093102503,1.44951063503552,0.679846389005618,1.16830545918354,-0.825458431404487,4.79426277250517,30,"SP","Joe Musgrove",116,"34848","Joe Musgrove"
"31","Logan Webb","SFG","17995",1.80737162683605,1.29111142153635,1.82118002863437,0.474552543157533,0.0939803844800439,-0.825458431404487,4.66273757323987,31,"SP","Logan Webb",67,"41216","Logan Webb"
"32","Hunter Greene","CIN","22182",1.18099615448346,2.09246105132016,1.07784124143667,0.160330567853271,0.73857542930214,-0.825458431404487,4.42474601299121,32,"SP","Hunter Greene",110,"39635","Hunter Greene"
"33","George Kirby","SEA","25436",1.09747942483645,1.09618853861597,1.26367593823609,0.807133191965645,0.911253968763632,-0.825458431404487,4.3502726310133,33,"SP","George Kirby",115,"42406","George Kirby"
"34","Logan Gilbert","SEA","22250",1.55682143789502,1.48603430445674,1.44951063503552,0.0364614802121999,0.57614558162373,-0.825458431404487,4.27951500781872,34,"SP","Logan Gilbert",79,"41221","Logan Gilbert"
"35","Luis Severino","NYY","15890",0.909566783130669,1.20447902912729,0.892006544637242,0.642667188576437,1.26542968945346,-0.825458431404487,4.08869080352061,35,"SP","Luis Severino",112,"33263","Luis Severino"
"36","Nestor Cortes","NYY","17874",1.05572106001294,1.22613712722956,1.07784124143667,0.222057277634141,1.16759043417542,-0.825458431404487,3.92388870908424,36,"SP","Nestor Cortes Jr.",82,"36480","Nestor Cortes Jr."
"37","Josh Hader","SDP","14212",-0.948680451515358,-0.354904034235782,-0.966340423357016,1.57540326592739,1.986770751814,2.57882810816626,3.87107721679949,37,"SP","Josh Hader",66,"32760","Josh Hader"
"38","Chris Bassitt","TOR","12304",1.51506307307151,1.1395047348205,1.63534533183495,-0.140012712135502,0.413119879771884,-0.825458431404487,3.73756187595885,38,"SP","Chris Bassitt",100,"33148","Chris Bassitt"
"39","Jhoan Duran","MIN","21029",-0.802526174633086,-0.398220230440312,-0.966340423357016,2.40526149364356,1.58087488887,1.89797080025211,3.71702035433526,39,"SP","Jhoan Duran",199,"41109","Jhoan Duran"
"40","Clayton Kershaw","LAD","2036",0.429345587660348,0.598052282263875,0.892006544637242,1.01838494695083,1.59231528899996,-0.825458431404487,3.70464621910776,40,"SP","Clayton Kershaw",111,"28963","Clayton Kershaw"
"41","Jordan Montgomery","STL","16511",1.4315463434245,1.11784663671823,1.26367593823609,0.224412730083691,0.476161251321318,-0.825458431404487,3.68818446837935,41,"SP","Jordan Montgomery",128,"38173","Jordan Montgomery"
"42","Lance Lynn","CHW","2520",1.26451288413047,1.26945332343409,1.26367593823609,-0.0700650114522792,0.714026237356614,-0.825458431404487,3.6161449403005,42,"SP","Lance Lynn",103,"30820","Lance Lynn"
"43","Pablo López","MIN","17085",1.30627124895398,1.31276951963862,1.26367593823609,0.0413802191509667,0.465793388703548,-0.825458431404487,3.56443188327872,43,"SP","Pablo Lopez",89,"39671","Pablo Lopez"
"44","Raisel Iglesias","ATL","17130",-0.823405357044839,-0.571485015258432,-0.966340423357016,1.60262952512367,1.87391597136539,2.38429744876222,3.49961214959099,44,"SP","Raisel Iglesias",84,"33618","Raisel Iglesias"
"45","Charlie Morton","ATL","4676",1.30627124895398,1.76758957978618,1.07784124143667,-0.0983997188601083,0.265705557264039,-0.825458431404487,3.49354947717627,45,"SP","Charlie Morton",98,"29155","Charlie Morton"
