playerid,me,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,QS,SO,ERA,WHIP,SVHD,Year
4949,Giancarlo Stanton,10.18069365,97,1.376199028,2.329980293,2.032194769,1.733487113,0.872143768,1.836688682,,,,,,,2022
2520,Lance Lynn,10.17707064,69,,,,,,,2.537186723,2.7558664,2.814751929,1.239295266,1.499748561,-0.669778238,2022
13624,Corey Seager,10.12757746,37,1.445066828,1.324638434,1.613277671,1.739637,2.046517005,1.958440519,,,,,,,2022
16556,Ozzie Albies,10.12106269,26,2.099310931,1.726775178,1.82273622,1.771677281,1.323825782,1.3767373,,,,,,,2022
15429,Kris Bryant,10.09897898,53,1.78940583,1.525706806,1.578367913,1.918647871,1.368993983,1.917856573,,,,,,,2022
14765,Julio Urías,10.03376635,23,,,,,,,2.472332283,2.518226033,2.451036468,1.495391627,1.766558172,-0.669778238,2022
18360,Austin Riley,10.02537799,73,1.548368529,1.927843549,1.927465494,1.731745586,1.323825782,1.566129046,,,,,,,2022
15676,José Abreu,9.963201222,65,1.651670229,1.927843549,2.241653317,1.811760382,1.007648372,1.322625373,,,,,,,2022
13613,Ketel Marte,9.817805976,46,1.548368529,1.123570062,1.43872888,1.832651758,2.22718981,1.647296937,,,,,,,2022
13145,Josh Bell,9.717018448,76,1.479500728,1.827309364,1.927465494,1.76910137,1.052816573,1.660824918,,,,,,,2022
16472,Rhys Hoskins,9.6594019,120,1.651670229,2.430514479,1.82273622,1.791261024,-0.076388462,2.03960841,,,,,,,2022
15873,Sean Maea,9.631932697,100,,,,,,,2.36424155,2.7558664,2.301271278,1.202710072,1.677621635,-0.669778238,2022
17995,Logan Webb,9.626303223,58,,,,,,,2.342623403,2.7558664,2.215691169,1.660025002,1.321875486,-0.669778238,2022
13074,Yu Darvish,9.603833668,56,,,,,,,2.36424155,2.518226033,2.771961875,0.763687739,1.855494709,-0.669778238,2022
16478,Kyle Schwarber,9.558140151,105,1.686104129,2.531048665,1.648187429,1.706883486,0.013947941,1.9719685,,,,,,,2022
14566,Franmil Reyes,9.474212683,145,1.307331227,2.430514479,2.102014285,1.579897198,0.555966358,1.498489136,,,,,,,2022
12546,C.J. Cron,9.456765957,144,1.169595627,1.827309364,1.752916704,1.614294495,1.188321178,1.904328591,,,,,,,2022
17484,Eloy Jiménez,9.443994702,92,1.238463427,2.028377735,1.927465494,1.567237202,1.27865758,1.403793264,,,,,,,2022
13590,Jesse Winker,9.354501079,87,1.445066828,1.525706806,1.299089848,1.725562876,1.414162185,1.944912537,,,,,,,2022
23667,Wander Franco,9.341401644,19,1.78940583,0.721433318,1.508548397,1.749727209,2.182021609,1.390265282,,,,,,,2022
14162,Carlos Correa,9.325981121,52,1.651670229,1.42517262,1.683097187,1.752669892,1.368993983,1.444377209,,,,,,,2022
5417,Jose Altuve,9.260996426,33,2.030443131,1.42517262,1.368909364,1.67698726,1.504498588,1.254985463,,,,,,,2022
7304,Salvador Perez,9.244379011,49,1.238463427,2.329980293,2.136924043,1.434353724,0.917311969,1.187345554,,,,,,,2022
12533,Marcus Semien,9.222998313,30,1.961575331,1.927843549,1.613277671,1.782789063,0.736639163,1.200873536,,,,,,,2022
8700,Justin Verlander,9.185026894,115,,,,,,,1.672460858,2.280585666,2.108716034,1.403928641,2.389113933,-0.669778238,2022
4676,Charlie Morton,9.182079043,67,,,,,,,2.018351204,2.518226033,2.322666305,1.403928641,1.588685098,-0.669778238,2022
19197,Will Smith,9.153512942,66,1.204029527,1.726775178,1.543458155,1.460713793,0.96248017,2.256056119,,,,,,,2022
19197,Will Smith,9.153512942,198,1.204029527,1.726775178,1.543458155,1.460713793,0.96248017,2.256056119,,,,,,,2022
19197,Will Smith,9.153512942,198,1.204029527,1.726775178,1.543458155,1.460713793,0.96248017,2.256056119,,,,,,,2022
19197,Will Smith,9.153512942,66,1.204029527,1.726775178,1.543458155,1.460713793,0.96248017,2.256056119,,,,,,,2022
26410,Alek Manoah,9.150355841,79,,,,,,,2.126441937,2.518226033,2.493826522,1.092954489,1.588685098,-0.669778238,2022
18525,Dylan Cease,9.123471417,72,,,,,,,2.321005257,2.280585666,3.114282309,1.111247086,0.966129337,-0.669778238,2022
13164,Eduardo Rodriguez,9.118436392,95,,,,,,,2.537186723,2.518226033,2.707776793,1.14783228,0.8771928,-0.669778238,2022
21032,Emmanuel Clase,9.098046949,63,,,,,,,0.137572447,-0.571098736,0.332928782,3.25148096,2.122304321,3.824859175,2022
13301,Max Muncy,9.056023792,60,1.479500728,1.927843549,1.613277671,1.525804008,0.375293552,2.134304282,,,,,,,2022
17678,Alex Bregman,9.044039734,31,1.548368529,1.324638434,1.613277671,1.767305188,1.143152976,1.647296937,,,,,,,2022
16137,Carlos Rodón,9.040676464,86,,,,,,,1.758933444,2.042945299,2.429641441,1.623439808,1.855494709,-0.669778238,2022
22286,Trevor Rogers,9.017609805,128,,,,,,,2.148060084,2.280585666,2.493826522,1.531976822,1.232938949,-0.669778238,2022
9777,Nolan Aredo,8.940589589,27,1.479500728,2.028377735,2.067104527,1.635597883,0.691470962,1.038537754,,,,,,,2022
9132,than Eovaldi,8.92559479,77,,,,,,,2.29938711,2.518226033,2.365456359,1.001491503,1.410812023,-0.669778238,2022
12564,Trevor Story,8.888378707,81,1.85827363,1.726775178,1.578367913,1.647585213,0.781807365,1.295569409,,,,,,,2022
14161,Byron Buxton,8.886342122,109,1.513934628,1.827309364,1.229270331,1.218593773,1.233489379,1.863744646,,,,,,,2022
15172,Tim Anderson,8.877272779,108,2.064877031,0.92250169,1.124541057,1.49940065,2.362694415,0.903257936,,,,,,,2022
17295,Framber Valdez,8.789987396,118,,,,,,,2.450714136,2.993506766,2.215691169,1.367343447,0.432510114,-0.669778238,2022
4314,Joey Votto,8.787290356,124,1.410632928,1.827309364,1.613277671,1.678695172,0.555966358,1.701408864,,,,,,,2022
18607,Jared Walsh,8.756383159,142,1.376199028,1.827309364,1.892555736,1.497190111,0.826975566,1.336153354,,,,,,,2022
12861,Anthony Rendon,8.698835964,61,1.307331227,1.224104248,1.578367913,1.636022095,1.27865758,1.6743529,,,,,,,2022
17130,Raisel Iglesias,8.685679353,74,,,,,,,0.137572447,-0.571098736,0.632459162,2.227095516,2.566987007,3.692663957,2022
12304,Chris Bassitt,8.683790633,98,,,,,,,2.29938711,2.518226033,2.194296142,1.0197841,1.321875486,-0.669778238,2022
7005,Ryan Pressly,8.599691782,80,,,,,,,0.072718007,-0.571098736,0.354323809,2.794166029,2.389113933,3.560468739,2022
5235,Justin Turner,8.479535193,101,1.341765128,1.123570062,1.43872888,1.455091033,1.59483499,1.5255451,,,,,,,2022
