id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek
3e7ea3ea-9cd4-4f07-a16c-ca8395a817d9,Robbie,Ray,,0.0,,P,Seattle Mariners,,
2e067899-4ab4-4802-99d1-1b6d7c6c616a,Michael,Grove,,0.0,,P,Los Angeles Dodgers,,
c4bb7876-02c7-4328-8391-aee2d6fefa24,Victor,González,,0.0,,P,Los Angeles Dodgers,,
2dcedc09-19d1-4e76-a252-581df2a731c2,Cody,Morris,,0.0,,P,Cleveland Guardians,OUT,
2b25e323-4572-4ecd-84df-68230df9d6b5,Zach,Plesac,,0.0,,P,Cleveland Guardians,,
2b1ba657-decb-44ed-9f29-08885ae0c095,George,Kirby,,0.0,,P,Seattle Mariners,,
2aecb9a0-548d-4db2-a886-283df130c36e,Daniel,Hudson,,0.0,,P,Los Angeles Dodgers,OUT,
294187a5-8ada-4fb4-8320-4fdaf8afa097,Noah,Syndergaard,,0.0,,P,Los Angeles Dodgers,,
d5c1fbee-a241-47dc-9080-e1206b6659c9,Zac,Gallen,,0.0,,P,Arizona Diamondbacks,,
29286308-d965-44a1-9014-0bfb3d274b58,Luis,Castillo,,0.0,,P,Seattle Mariners,,
28a488e5-1d3d-4d72-a3b3-e42c45a8878f,Ryan,Pepiot,,0.0,,P,Los Angeles Dodgers,OUT,
27c62f77-ec22-437e-a7f2-f65bc6b9421d,Marco,Gonzales,,0.0,,P,Seattle Mariners,,
deed84c9-125e-43e2-9ddc-9e6f04cbe0df,Tayler,Saucedo,,0.0,,P,Seattle Mariners,,
225482b7-2a08-488b-ab83-90e21625e6ee,Carson,Kelly,,0.0,,IF,Arizona Diamondbacks,OUT,
2218b9b4-7ce8-4d05-b6f4-d24556b17027,Merrill,Kelly,,0.0,,P,Arizona Diamondbacks,,
20aafa49-e85d-4922-affc-7d7ed94eeb21,Julio,Urías,,0.0,,P,Los Angeles Dodgers,,
e471f842-63ef-4be1-8ade-4baac6f8cef2,Tommy,Henry,,0.0,,P,Arizona Diamondbacks,,
209e5875-8eac-4166-b703-0a5af284061a,Brennan,Bernardino,,0.0,,P,Seattle Mariners,,
f1592c9c-becb-42c8-93f1-44b3b2ea90e7,Jimmy,Nelson,,0.0,,P,Los Angeles Dodgers,OUT,
1e89bf06-e520-4aca-b965-3a619c4daf4f,Konnor,Pilkington,,0.0,,P,Cleveland Guardians,,
1d1f3432-25c4-44a1-9dc1-597a5bef99be,Sam,Hentges,,0.0,,P,Cleveland Guardians,OUT,
81e45143-6336-4238-8ca4-a6837fc6a98b,Walker,Buehler,,0.0,,P,Los Angeles Dodgers,OUT,
7f91dd05-ef66-4946-89c8-9ab8607a248d,Mark,Melancon,,0.0,,P,Arizona Diamondbacks,OUT,
8811e998-330c-44b5-b2bf-3ebcf4c4d58b,Triston,McKenzie,,0.0,,P,Cleveland Guardians,OUT,
8fcec814-9d2d-4a9f-8297-a56eaaaa5415,Cal,Quantrill,,0.0,,P,Cleveland Guardians,,
92346f90-b1fa-4034-8999-9b99a036dd8f,Alex,Reyes,,0.0,,P,Los Angeles Dodgers,OUT,
6e6074d7-c1fb-48f0-ba1c-c266b139e2e8,Gavin,Lux,,0.0,,IF,Los Angeles Dodgers,OUT,
6df2029e-bde6-4d43-9449-0b4ca94457c4,Justin,Bruihl,,0.0,,P,Los Angeles Dodgers,,
696740a7-8a04-4bd2-b958-ff019fd2387f,Ryne,Nelson,,0.0,,P,Arizona Diamondbacks,,
9d96c2be-6853-4504-9e38-26cd5fad3b83,Dustin,May,,0.0,,P,Los Angeles Dodgers,,
84644b3f-b889-4a87-b678-e340d4710b3e,Corbin,Martin,,0.0,,P,Arizona Diamondbacks,OUT,
a04d47d5-1275-4665-9bc3-ceef40dc470e,Xzavion,Curry,,0.0,,P,Cleveland Guardians,,
