"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"b02a9dce-a6c6-449e-93a4-259b8e63342f","Mookie","Betts",,"12.4",,"OF","Los Angeles Dodgers",,
"4d3f14a3-3408-43b7-a383-23acd089247a","Freddie","Freeman",,"11.6",,"IF","Los Angeles Dodgers",,
"6b723612-7e36-4348-b8c8-aa7d49a7124c","Clayton","Kershaw",,"11.6",,"P","Los Angeles Dodgers",,
"af6dc91c-b0f9-446c-a2bd-62d9bfa5d0de","Mike","Trout",,"11.4",,"OF","Los Angeles Angels",,
"d5cae855-8132-4b43-bdd0-393741d8523f","J.D.","Martinez",,"10.6",,"OF","Los Angeles Dodgers",,
"2dcab961-bc3d-497f-bbe3-d0353f990101","Shohei","Ohtani",,"10.3",,"OF","Los Angeles Angels",,
"5e06590a-2b9a-48f2-9138-f6da2b7d8791","Trayce","Thompson",,"10.3",,"OF","Los Angeles Dodgers",,
"fa313ffd-ad5c-4295-9c4c-f7242af0dfc9","George","Springer",,"10.3",,"OF","Toronto Blue Jays",,
"b2ccb670-24a2-44e1-a73e-1075816be514","Will","Smith",,"10.0",,"IF","Los Angeles Dodgers",,
"62f33e91-35e2-4329-8414-06bef905516d","Max","Muncy",,"9.9",,"IF","Los Angeles Dodgers",,
"60ec5cb2-f831-4c31-9b29-761583b055f0","Bo","Bichette",,"9.9",,"IF","Toronto Blue Jays",,
"a72fe67e-3891-48c3-bed3-7603d05908c4","Taylor","Ward",,"9.6",,"OF","Los Angeles Angels",,
"c4e91629-d923-4417-8a3f-09812934aa0d","Vladimir","Guerrero Jr.",,"9.5",,"IF","Toronto Blue Jays",,
"46e2cf0c-2a47-4211-9055-7fa22eb513a6","Chris","Taylor",,"9.5",,"IF","Los Angeles Dodgers",,
"a762d3a4-d34b-4277-b7fa-632c783bb176","Chris","Bassitt",,"9.4",,"P","Toronto Blue Jays",,
"30010ba9-bb0a-44a4-9efe-b3a4c1c6fc8e","Miguel","Vargas",,"9.2",,"IF","Los Angeles Dodgers","QUESTIONABLE",
"bdadcc7f-d3e3-473b-a44a-38db3c685a78","Matt","Chapman",,"8.6",,"IF","Toronto Blue Jays",,
"5e6d6117-b304-4875-a3ad-780ee7531267","Danny","Jansen",,"8.6",,"IF","Toronto Blue Jays",,
"0a6c0bad-ecd8-41f9-beb5-ccd38f30fd25","Alejandro","Kirk",,"8.5",,"IF","Toronto Blue Jays",,
"c8675c78-b1a0-4415-a9ff-cf00e0415a85","Brandon","Drury",,"8.5",,"IF","Los Angeles Angels",,
"2089714f-6ec9-485e-8503-502fc5ff178f","Patrick","Sandoval",,"8.2",,"P","Los Angeles Angels",,
"c45db99e-1252-4c70-bf97-ba6a8f74c380","Whit","Merrifield",,"8.1",,"IF","Toronto Blue Jays",,
"de05be4a-d423-4f33-9dfd-27c4497a7fa6","Miguel","Rojas",,"8.0",,"IF","Los Angeles Dodgers","QUESTIONABLE",
"e314126b-5a73-45eb-a012-463264763144","Hunter","Renfroe",,"8.0",,"OF","Los Angeles Angels",,
"a220da4b-1b4e-4ecc-a2dc-f0af26e28f1e","Corbin","Carroll",,"7.9",,"OF","Arizona Diamondbacks",,
"22a25ecc-cb4d-4741-a41a-b350acce1739","Gio","Urshela",,"7.7",,"IF","Los Angeles Angels",,
"d3e90f0c-24a0-49ef-887e-1f0bca7df180","Jake","Lamb",,"7.5",,"OF","Los Angeles Angels",,
"d71b98e1-b977-4ee9-96c6-170f97b996f6","Daulton","Varsho",,"7.4",,"OF","Toronto Blue Jays",,
"ed1fae67-3f62-47c7-b14a-e13a68b78035","Ketel","Marte",,"7.3",,"IF","Arizona Diamondbacks",,
"da3d3b1d-0ad8-4c67-994b-b3d0e12a373f","Evan","Longoria",,"7.1",,"IF","Arizona Diamondbacks",,
"63faf116-c9ef-47be-9ad7-75d186b3bdf1","Jake","McCarthy",,"7.0",,"OF","Arizona Diamondbacks",,
"4a37b9ec-4507-45d1-bcd8-d577682349bc","Logan","O'Hoppe",,"6.9",,"IF","Los Angeles Angels",,
"adffc1e8-bc3f-4488-951e-2df608cc8459","Kevin","Kiermaier",,"6.8",,"OF","Toronto Blue Jays",,
"3d8b35c6-4004-4205-9805-c4ab33b8a631","Christian","Walker",,"6.6",,"IF","Arizona Diamondbacks",,
"e01bee6c-2b16-4135-a758-6e5c80416561","Luis","Rengifo",,"6.6",,"IF","Los Angeles Angels",,
"c3f556be-3957-425f-81fa-6284e63d2c15","Kyle","Lewis",,"6.6",,"OF","Arizona Diamondbacks",,
"1e6c29de-ed00-4160-8122-d4d6ce63ca5d","Lourdes","Gurriel Jr.",,"6.4",,"OF","Arizona Diamondbacks",,
"e12b0463-9c7d-4c90-b29f-b3f0443c077e","Nick","Ahmed",,"6.3",,"IF","Arizona Diamondbacks",,
"72f37fe4-d848-4a75-b94a-6ae065be559b","Madison","Bumgarner",,"6.1",,"P","Arizona Diamondbacks","IN",
"d845f11a-0984-4755-b0fa-868dcd0ec018","Gabriel","Moreno",,"5.5",,"IF","Arizona Diamondbacks",,
"d27f2699-66ce-4791-9301-63c9c062d4cc","James","Outman",,"3.5",,"OF","Los Angeles Dodgers",,
"e7b1092c-cab2-486a-aab2-3341a07dee77","Jared","Walsh",,"2.9",,"IF","Los Angeles Angels","OUT",
"78e58aa4-7120-4c29-aac5-d011ccfa82c0","Austin","Barnes",,"2.8",,"IF","Los Angeles Dodgers",,
"aadb86a7-cdd1-4ddd-8ac1-360a8cdc2ba1","Brandon","Belt",,"2.7",,"IF","Toronto Blue Jays",,
"0f02a8ae-e98d-45cf-b4d9-3b8c4ff03b97","David","Peralta",,"2.7",,"OF","Los Angeles Dodgers",,
"a2c66f28-fd57-49fc-923e-c4a62bd99e18","Brett","Phillips",,"2.6",,"OF","Los Angeles Angels",,
"8ff6a8e4-f857-4393-ab37-1c458c1f54d8","Cavan","Biggio",,"2.6",,"IF","Toronto Blue Jays",,
"22e96ddd-54d0-4dae-9798-98782f4bea5f","Santiago","Espinal",,"2.5",,"IF","Toronto Blue Jays",,
"e15ca498-203a-45f9-8509-ee2724727748","Jason","Heyward",,"2.5",,"OF","Los Angeles Dodgers",,
"0406cf54-fd90-4fa3-a582-a4be0d226593","Josh","Rojas",,"2.3",,"IF","Arizona Diamondbacks",,
"2e30b8c4-fad0-460e-82e3-a7c9382cfbf9","David","Fletcher",,"2.1",,"IF","Los Angeles Angels","OUT",
"1bc347cf-96fb-4fc9-a3a9-4219ac313790","Matt","Thaiss",,"2.1",,"IF","Los Angeles Angels",,
"363701f9-f09e-431a-aa1d-370d16aed1f0","Geraldo","Perdomo",,"1.7",,"IF","Arizona Diamondbacks",,
"8078d8f4-e73f-4dee-b00b-d7430130e38d","Alek","Thomas",,"1.6",,"OF","Arizona Diamondbacks",,
"0ec66ee3-efbc-4434-80ac-75fe0c928a56","Jose","Herrera",,"1.3",,"IF","Arizona Diamondbacks",,
"a2b715f4-b5e9-40bf-af54-6e79b67ff1b5","Jordan","Romano",,"0.8",,"P","Toronto Blue Jays",,
"8825ee10-a985-4acf-9186-ee9a5f076183","Evan","Phillips",,"0.8",,"P","Los Angeles Dodgers",,
"83921f47-4111-48cc-bc58-581de7ad89a0","Drey","Jameson",,"0.7",,"P","Arizona Diamondbacks",,
"d06d823f-7b84-43b7-a91c-a52e65b379d4","Anthony","Bass",,"0.7",,"P","Toronto Blue Jays",,
"e98b198c-473f-4c62-9ed7-f8911ccc14ad","Trevor","Richards",,"0.7",,"P","Toronto Blue Jays",,
"3045ef9e-8750-4ce8-aeeb-5082981bf081","Yimi","García",,"0.6",,"P","Toronto Blue Jays",,
"1b61c17c-bccb-4797-a231-d9183f861d8d","Adam","Cimber",,"0.6",,"P","Toronto Blue Jays",,
"058201cf-5ef3-45a0-93cc-2c14c1ec8b2d","Ryan","Tepera",,"0.6",,"P","Los Angeles Angels",,
"3e29b297-483c-47c1-aac9-5bb17607c719","Andrew","Chafin",,"0.6",,"P","Arizona Diamondbacks",,
"fe51dd0b-4a13-4eb4-921e-93d5017849f4","Carlos","Vargas",,"0.6",,"P","Arizona Diamondbacks",,
"15716597-7703-4df1-ba8b-c0de190f9bca","Matt","Moore",,"0.5",,"P","Los Angeles Angels",,
"c68d09ca-fd3b-45cc-8e66-a61d869c6215","Aaron","Loup",,"0.5",,"P","Los Angeles Angels",,
"a09b1b37-3d25-4014-bf8d-d77fb7d49068","Jaime","Barría",,"0.5",,"P","Los Angeles Angels",,
"56bbeb1d-26ac-40d6-86a7-be8e9ab9bde3","Brusdar","Graterol",,"0.5",,"P","Los Angeles Dodgers","QUESTIONABLE",
"46bf18b0-b9b0-4cde-9129-b5fbc9a0439d","Carlos","Estévez",,"0.5",,"P","Los Angeles Angels",,
"564c2318-0c4d-4c54-a478-3aaae93fc897","Alex","Vesia",,"0.4",,"P","Los Angeles Dodgers",,
"0f5c664a-95eb-4d3f-b6db-3f8dc17d5cd8","Erik","Swanson",,"0.3",,"P","Toronto Blue Jays",,
"9b51cf04-1cbf-43cf-955d-e7195d2aae23","Tim","Mayza",,"0.2",,"P","Toronto Blue Jays",,
"f6a405f5-d21c-4742-a33e-0857f2d84a3d","Miguel","Castro",,"0.2",,"P","Arizona Diamondbacks",,
"e0b75cc8-faa4-487c-ab47-8427f981ad9c","Phil","Bickford",,"0.2",,"P","Los Angeles Dodgers",,
"ccbe652d-ffcd-436a-8170-eac22ec264f5","Scott","McGough",,"0.2",,"P","Arizona Diamondbacks",,
"49db2e3e-82b1-4082-bae6-68a145ef55d5","Jimmy","Herget",,"0.2",,"P","Los Angeles Angels",,
"586f27ab-f5b8-4f64-a3e0-f62c0cf0abbd","Yency","Almonte",,"0.2",,"P","Los Angeles Dodgers",,
"2c910ddc-7fe1-404a-b855-8653542cdccc","Cole","Sulser",,"0.2",,"P","Arizona Diamondbacks",,
"bef48b82-c20b-44d9-a5a9-387f3356afb0","Caleb","Ferguson",,"0.2",,"P","Los Angeles Dodgers",,
"029f514c-4981-4076-9115-1cfe54814654","Andrew","Wantz",,"0.1",,"P","Los Angeles Angels",,
"9c699a0f-b15c-43c1-bfa6-e4bb6ebc94ba","Zach","Pop",,"0.1",,"P","Toronto Blue Jays",,
"193aa53b-ac3e-4922-8a68-0b1d869b5f6c","José","Quijada",,"0.1",,"P","Los Angeles Angels",,
"5c666b73-b163-489d-902b-61ab06a82bd3","Kyle","Nelson",,"0.1",,"P","Arizona Diamondbacks",,
"4d0ab1a3-d140-4281-9912-87bdaf50febd","Kevin","Ginkel",,"0.1",,"P","Arizona Diamondbacks",,
"fbed0efa-1850-4e55-93a9-0792c30ba72c","Andre","Jackson",,"0.0",,"P","Los Angeles Dodgers",,
"72931bc6-f643-4179-9184-fe28d9ecd3df","Shelby","Miller",,"0.0",,"P","Los Angeles Dodgers",,
"d6a77fff-a5a6-4a10-9e40-10216c828d4d","Jimmy","Nelson",,"0.0",,"P","Los Angeles Dodgers","OUT",
"d7c4f1cb-962c-4f34-8515-65d50679a0e0","Zack","Weiss",,"0.0",,"P","Los Angeles Angels",,
"d8603b7c-0c4a-40ac-8ff8-9a0e97734d36","Tucker","Davidson",,"0.0",,"P","Los Angeles Angels",,
"12d2f49c-1a51-4e03-baf5-c0581d6b5693","Griffin","Canning",,"0.0",,"P","Los Angeles Angels","OUT",
"11a83508-abad-4900-aced-c5d83a545b10","Max","Stassi",,"0.0",,"IF","Los Angeles Angels","OUT",
"e0f67405-fab4-46d4-9b9b-cb2242fea345","Reid","Detmers",,"0.0",,"P","Los Angeles Angels",,
"ea44d7fc-7b82-48b8-a15b-3043c0aec9db","Nathan","Lukes",,"0.0",,"OF","Toronto Blue Jays",,
"0363794d-6efe-4e4d-934d-2e47b0306912","Trent","Thornton",,"0.0",,"P","Toronto Blue Jays",,
"f2b0c316-13a0-4a10-b534-06d5ee31b8f5","Hyun Jin","Ryu",,"0.0",,"P","Toronto Blue Jays","OUT",
"f48f448d-5203-4ff9-af42-d4de933f1032","Yusei","Kikuchi",,"0.0",,"P","Toronto Blue Jays",,
"fcde8fc2-8ffd-4709-b735-3e04dde17c54","Luis","Frías",,"0.0",,"P","Arizona Diamondbacks",,
"34b096a7-ae81-41a9-b1ad-e95b3d5505ff","Mark","Melancon",,"0.0",,"P","Arizona Diamondbacks","OUT",
"614f70b0-cd86-4b30-9067-fff50efbcf71","Thomas","Hatch",,"0.0",,"P","Toronto Blue Jays",,
"6001605e-ea33-4a85-a4ee-6e42efd1ce58","J.P.","Feyereisen",,"0.0",,"P","Los Angeles Dodgers","OUT",
"63daff5d-42de-4323-8652-6f1145d8e6b8","Chase","Silseth",,"0.0",,"P","Los Angeles Angels",,
"5f7687d3-a385-4135-96a3-499d540f2035","Corbin","Martin",,"0.0",,"P","Arizona Diamondbacks","OUT",
"64cf67af-5678-4b90-9eff-b98596223233","Daniel","Hudson",,"0.0",,"P","Los Angeles Dodgers","OUT",
"653b7964-b369-4abd-bf30-c87103833ed6","Zach","Davies",,"0.0",,"P","Arizona Diamondbacks",,
"6bb7029c-612c-442f-9547-d5ba324d683b","Noah","Syndergaard",,"0.0",,"P","Los Angeles Dodgers",,
"6beae20d-59d0-425a-a70c-b97a0e99bf2a","Zach","Thompson",,"0.0",,"P","Toronto Blue Jays",,
"72e0655c-2ddc-4cda-a116-e0f0e5b1c136","Chris","Rodriguez",,"0.0",,"P","Los Angeles Angels","OUT",
"5c3b78c7-6f1b-4bdf-bcca-5c5172fad6c2","Justin","Bruihl",,"0.0",,"P","Los Angeles Dodgers",,
"7a84d7b4-9a0a-44e8-9771-0aee64ae86b2","Mitch","White",,"0.0",,"P","Toronto Blue Jays","OUT",
"7e19b4e4-aac3-4217-b338-2ac7656532f5","Anthony","Misiewicz",,"0.0",,"P","Arizona Diamondbacks",,
"8295f4bc-3727-4986-b81c-8bfc1522e75c","José","Berríos",,"0.0",,"P","Toronto Blue Jays",,
"894cc8d7-33c9-4629-a66c-34e6f37092ae","Michael","Grove",,"0.0",,"P","Los Angeles Dodgers",,
"8d99fab1-70be-48c6-8677-bd359e85a550","Tyler","Anderson",,"0.0",,"P","Los Angeles Angels",,
"97b718d1-3a5e-4cec-af51-1a1aa246948d","Joe","Mantiply",,"0.0",,"P","Arizona Diamondbacks","OUT",
"9c3df622-383f-4298-bd91-ef3ccc436df9","Chad","Green",,"0.0",,"P","Toronto Blue Jays","OUT",
"9e2812a7-183b-4048-b565-922358ec2bc6","Kevin","Gausman",,"0.0",,"P","Toronto Blue Jays",,
"9f105e06-c079-40f2-9743-1a8fe3dfe259","Julio","Urías",,"0.0",,"P","Los Angeles Dodgers",,
"4e821a73-b477-497c-bb3a-07c22421bc85","Nate","Pearson",,"0.0",,"P","Toronto Blue Jays",,
"a3f22fac-c804-4139-9432-9b81a3baa745","Ryan","Pepiot",,"0.0",,"P","Los Angeles Dodgers","OUT",
"a6c44a44-1f74-47b2-8889-ec351a28d605","Gavin","Lux",,"0.0",,"IF","Los Angeles Dodgers","OUT",
"abc79163-a2cf-44ad-bbd6-92fd3307b4e5","Alek","Manoah",,"0.0",,"P","Toronto Blue Jays",,
"ad4e749e-71a7-4b9f-ac49-cd33e8e38e42","Walker","Buehler",,"0.0",,"P","Los Angeles Dodgers","OUT",
"45664958-e5c5-429f-b335-95d5e17b6fe9","José","Marte",,"0.0",,"P","Los Angeles Angels","OUT",
"af74029f-bbae-4e24-bcbd-a6391890b5d4","Justin","Garza",,"0.0",,"P","Los Angeles Angels",,
"b18e4e49-a7c7-4efc-aa8e-e1da1a319eae","Alex","Reyes",,"0.0",,"P","Los Angeles Dodgers","OUT",
"b642370f-e097-4dbf-9173-85f34b2f7dfd","José","Suarez",,"0.0",,"P","Los Angeles Angels",,
"c23e2499-1906-4da1-9210-1580baa29d87","Dustin","May",,"0.0",,"P","Los Angeles Dodgers",,
"c2873ae8-a675-422f-97bb-46d9eb5556f2","Carson","Kelly",,"0.0",,"IF","Arizona Diamondbacks","OUT",
"c36a5ca8-e2d5-428e-9127-d8ed3492ab51","Tony","Gonsolin",,"0.0",,"P","Los Angeles Dodgers","OUT",
"2eba0be4-31e9-4c80-8fb1-b27235fef5aa","Blake","Treinen",,"0.0",,"P","Los Angeles Dodgers","OUT",
"c49fcfb9-ce0e-4f21-8a75-2e3c26c41f6e","Victor","González",,"0.0",,"P","Los Angeles Dodgers",,
"2df7489f-57ac-4566-8425-6176c9fcb48c","Merrill","Kelly",,"0.0",,"P","Arizona Diamondbacks",,
"c7495107-af86-4149-920d-45c7cb30cac8","Jay","Jackson",,"0.0",,"P","Toronto Blue Jays",,
"cae3bea6-02c7-4e3b-bed2-28897ff73124","Tommy","Henry",,"0.0",,"P","Arizona Diamondbacks",,
"d1a3959d-2666-4fc4-b080-ff91fb2b7bac","Zac","Gallen",,"0.0",,"P","Arizona Diamondbacks",,
"25f95a96-a9fc-48e4-9cd6-0ee491f1d659","Ryne","Nelson",,"0.0",,"P","Arizona Diamondbacks",,
