"","Name","Team","PlayerId","IP","SO","QS","wERA","wWHIP","ERA","WHIP","SVHD","pr","rank","pos"
"1","Gerrit Cole","NYY","13125",2.06735848582112,2.69809592242116,2.37248036970592,1.3458498745215,1.46781696414147,1.03593907147399,1.88251789935679,-0.767347169231472,12.1027114182105,1,"SP"
"2","Spencer Strider","ATL","27498",1.69466996780072,3.45351921023332,1.9301586669304,0.92822754628115,1.10421665665552,1.30241720105859,2.02283867523827,-0.767347169231472,11.6687007549665,2,"SP"
"3","Corbin Burnes","BAL","19361",1.90890666538466,2.31184544425429,2.19903828608862,1.23423469521144,1.48424847814057,1.00427321724128,1.3821287174398,-0.767347169231472,10.7573283345292,3,"SP"
"4","Zack Wheeler","PHI","10310",1.88335946858487,2.12930882817737,2.26132489755054,1.20238967147567,1.38728423873102,1.02837707643334,1.62438062297104,-0.767347169231472,10.7490776346924,4,"SP"
"6","Kevin Gausman","TOR","14107",1.76124751097592,2.53418310123401,2.09189805062936,1.02989839409114,1.38301629487269,1.1920696103839,1.27446120387037,-0.767347169231472,10.4994269968259,5,"SP"
"7","Luis Castillo","SEA","15689",1.91423469038568,2.25948798314906,2.04930425834037,1.24642927102352,1.53415208457392,0.987566961893323,1.23540966718637,-0.767347169231472,10.4592377473208,6,"SP"
"5","Logan Webb","SFG","17995",2.02518967256515,1.62128918543557,2.2768007093391,1.2181181504714,1.66340791092141,1.22932476529884,1.14649571643128,-0.767347169231472,10.4132789412313,7,"SP"
"8","Pablo López","MIN","17085",1.8310355307543,2.3602907371248,1.96169542550344,1.15908632117047,1.41792156881022,1.03150050916753,1.36922185362052,-0.767347169231472,10.3634047769198,8,"SP"
"10","Zac Gallen","ARI","19291",1.90847404797005,2.10248587830467,1.96328941394059,1.35720671493171,1.53052246875836,0.743754268531109,1.2301145435682,-0.767347169231472,10.0685001667732,9,"SP"
"9","Framber Valdez","HOU","17295",1.88101422681092,1.93152178383221,2.28119931034289,1.08217079938742,1.6711702488843,1.27999835163101,0.686812797328968,-0.767347169231472,10.0465403489862,10,"SP"
"12","George Kirby","SEA","25436",1.75637487272712,1.58205037230302,1.99329271528295,1.14934955691012,1.18579366771024,0.922077618973359,1.9256510938298,-0.767347169231472,9.74724272850512,11,"SP"
"11","Aaron Nola","PHI","16149",1.8647341504189,2.14657390595569,1.74091793842335,1.54854597332156,1.3923985364513,0.257752244872472,1.55333771442727,-0.767347169231472,9.73691329463906,12,"SP"
"13","Logan Gilbert","SEA","22250",1.81817085500396,1.87258157258356,1.77429081025944,1.43516713458131,1.40190062811664,0.413492354690611,1.38389375864586,-0.767347169231472,9.3321499446499,13,"SP"
"16","Freddy Peralta","MIL","18679",1.30882077264103,2.13450943505225,1.47236115236632,0.894285521971965,0.950802491191444,0.656298151974043,1.35311585261525,-0.767347169231472,8.00284620858083,14,"SP"
"17","Zach Eflin","TBR","13774",1.39682426250838,1.34333783151454,1.56283512897637,0.911296815505554,0.921487341367143,0.79307162749186,1.75587619282225,-0.767064998701451,7.91766420148464,15,"SP"
"14","Chris Bassitt","TOR","12304",1.73139690936761,1.36631889162381,1.94646173854077,1.54362453248284,1.5821306353674,0.00851464202457536,0.505565128482054,-0.767347169231472,7.9166653086576,16,"SP"
"15","Jesús Luzardo","MIA","19959",1.45547807619488,2.04961304174337,1.61095743812332,1.0842477732243,1.28452063392393,0.498893581290979,0.620182491800339,-0.767347169231472,7.83654586706965,17,"SP"
"24","Yoshinobu Yamamoto","LAD","sa3023345",1.44896604563807,1.74134824054263,1.10358486545691,1.02107579990644,1.0399530448681,0.635173883219187,1.49001686116,-0.767347169231472,7.71277157155987,18,"SP"
"19","Max Fried","ATL","13743",1.35911823942421,1.26507104066328,1.67148864459749,0.684462689479194,1.09626079105674,1.26738132729689,0.979368377232815,-0.767347169231472,7.55580394051914,19,"SP"
"25","Tarik Skubal","DET","22267",1.14870679055895,1.72108461465627,1.34825200202547,0.550374769668824,0.73961322625624,1.19379571794753,1.61643793754379,-0.767347169231472,7.5509178894256,20,"SP"
"18","Merrill Kelly","ARI","11156",1.70851372506834,1.56647197783547,1.68942605878266,1.5004299418647,1.71058432104993,0.0579552943827276,-0.00883406800800388,-0.767347169231472,7.45720008174435,21,"SP"
"20","Justin Steele","CHC","17312",1.51595343689027,1.46684053171443,1.64035542740094,1.04017265704827,1.41602104790595,0.722157375086213,0.355977886268775,-0.767347169231472,7.39013119308338,22,"SP"
"21","Blake Snell","","13543",1.25597314004539,2.30971366395873,1.55924361072557,0.676367643012673,1.25618745521684,1.088708645562,-0.0043111499174866,-0.754713327542609,7.3871696810611,23,"SP"
"22","Dylan Cease","CHW","18525",1.58330513754425,2.28403859578364,1.4126773827828,1.40692694728231,1.6821246271103,0.0120285038505273,-0.350590171530672,-0.767347169231472,7.26316385359168,24,"SP"
"27","Joe Ryan","MIN","21390",1.33985537980512,1.81795177424021,1.2846135269523,1.1757455847559,0.963171254550038,0.0341596686841661,1.41202410286739,-0.767347169231472,7.26017412262364,25,"SP"
"23","Mitch Keller","PIT","17594",1.74633359484057,1.66198042030795,1.56622487653892,1.69403042587511,1.84369353043175,-0.291807525146834,-0.331285033339431,-0.767347169231472,7.12182312027656,26,"SP"
"26","Shane Bieber","CLE","19427",1.41151048526762,1.25448241765677,1.72959860281268,1.05487834189647,1.21520442661557,0.47887895311274,0.720679525470174,-0.767347169231472,7.09788558360055,27,"SP"
"29","Joe Musgrove","SDP","12970",1.19399500306766,1.23004893580766,1.64124321842923,0.715584972122671,0.8625952445874,0.864581797984949,1.29222193100631,-0.767347169231472,7.03292393377441,28,"SP"
"28","José Berríos","TOR","14168",1.59079624961834,1.40286369669055,1.49154954481863,1.5439621189501,1.48434636750265,-0.285088034988432,0.372414832500175,-0.767347169231472,6.83349760586054,29,"SP"
"30","Tanner Bibee","CLE","30134",1.37218783921305,1.51371627205964,1.29542843584235,0.997332496870225,1.19991753549208,0.536128187306345,0.638605109388553,-0.767347169231472,6.78596870694077,30,"SP"
"31","Jordan Montgomery","","16511",1.4675002864536,1.16436199131592,1.44613096289418,1.16836033548359,1.35500400598527,0.325090988753464,0.405950615415245,-0.76662734325271,6.56577184304855,31,"SP"
"32","Sonny Gray","STL","12768",1.34317970309636,1.22426267500543,1.43769694812545,0.873433657543936,1.23019920263703,0.777392817122254,0.420953465666725,-0.767347169231472,6.53977129996571,32,"SP"
"33","Grayson Rodriguez","BAL","24492",1.24395092978667,1.58045739362062,1.12380228841928,0.870827731094925,1.03219229232585,0.578520567113025,0.813123558637378,-0.767347169231472,6.47552759176627,33,"SP"
"34","Tyler Glasnow","LAD","14374",0.780344446684677,1.68013569205585,1.13235736560096,0.304350762934747,0.390459170249621,1.07366685107897,1.71903095764582,-0.767347169231472,6.31299807701917,34,"SP"
"35","Eduardo Rodriguez","ARI","13164",1.33357104262442,1.18047918739663,1.41427137121995,1.10251547484918,1.36330766814338,0.198920745412208,-0.115067485597523,-0.767347169231472,5.71065083481678,35,"SP"
"38","Bobby Miller","LAD","27483",1.09192006255657,1.08246414611508,1.03219839595505,0.812700251934158,0.775813427720424,0.393046199621466,1.26839387472455,-0.767347169231472,5.68918918939583,36,"SP"
"36","Cole Ragans","KCR","21846",1.25287651013027,1.58228463387396,1.17928922768726,0.999712315674848,1.29670195472093,0.275896923190115,-0.172100379568221,-0.765982301073887,5.64867888463527,37,"SP"
"39","Nick Pivetta","BOS","15454",1.21389540413986,1.80277162444326,0.826077531669233,1.26800396681592,1.12711667906401,-0.487535793522316,0.333804556117691,-0.698845523777619,5.38528844495004,38,"SP"
"43","Bailey Ober","MIN","21224",1.11102353681238,1.0705636583113,1.01833674967246,1.02404346619412,0.844663007066829,-0.112538925324502,1.06232531391747,-0.767347169231472,5.25106963741858,39,"SP"
"40","Braxton Garrett","MIA","21844",1.17031489195199,1.13737505834356,1.04606004223763,0.903975143243603,1.09507814367482,0.334173602362069,0.292326087775366,-0.767347169231472,5.21195580035757,40,"SP"
"37","Lucas Giolito","BOS","15474",1.46192179873885,1.69550325110955,1.23489722936819,1.80316001115882,1.65451597499779,-1.18377360865072,-0.703157152440435,-0.767347169231472,5.19572033505058,41,"SP"
"41","Hunter Greene","CIN","22182",1.02144896264986,1.95122318194832,1.04182285778444,1.03248395005542,0.955835383743467,-0.356105031891914,0.265078264156871,-0.767347169231472,5.14444039921498,42,"SP"
"45","Justin Verlander","HOU","8700",1.04688231276159,0.846703301120458,1.29746631979364,0.859001922057514,0.849829291014186,0.166905559886854,0.799334174215063,-0.767347169231472,5.09877571161783,43,"SP"
"44","Kodai Senga","NYM","31838",0.917210935065704,1.49333551538781,1.21453856692404,0.558963069142348,0.899385882606176,0.67271672272806,0.0704824711891529,-0.767347169231472,5.05928599381182,44,"SP"
"47","Cristian Javier","HOU","17606",1.20481043843299,1.48143502758403,0.927836542872945,1.30086657614521,1.13006856107918,-0.592848903803086,0.287692854609467,-0.751222709978462,4.98863838694227,45,"SP"
"42","Miles Mikolas","STL","9803",1.53507968048369,0.385301710995842,1.30119907752622,1.7568296971975,1.53914614369111,-0.899664523237662,-0.0168870685106375,-0.767347169231472,4.83365754891459,46,"SP"
"48","Hunter Brown","HOU","25880",1.05781159481497,1.38131163216401,1.10979940265492,0.911624664079321,1.08345880637605,0.0539482589671667,-0.108669211225568,-0.745587650811223,4.74369749701965,47,"SP"
"49","Yu Darvish","SDP","13074",0.912497682180182,0.988970353152687,1.22634215218651,0.861552606031499,0.677151615122443,-0.171349875885198,0.994150597333536,-0.767347169231472,4.72196796089018,48,"SP"
"46","Kyle Gibson","STL","10123",1.50500138549928,0.756489170151231,1.44068315431151,1.74852127683295,1.75341809180766,-0.951365554548182,-0.895987904202097,-0.767347169231472,4.58941245062087,49,"SP"
"51","JP Sears","OAK","23429",1.29973580693415,1.01949463584625,0.829265508543538,1.42853440863023,1.27417981708462,-0.678352874901289,0.0937589520940221,-0.767347169231472,4.49926908500004,50,"SP"
"50","Lance Lynn","STL","2520",1.26929320254796,1.12882451100423,1.10895196576428,1.51409863355408,1.30368591891206,-0.965605941948098,-0.135144829316416,-0.767347169231472,4.45675629128662,51,"SP"
"57","Carlos Rodón","NYY","16137",0.773058258649088,1.26122915089986,0.938909718243952,0.71502148681697,0.57957877926245,-0.12392301568461,0.852064780245997,-0.767347169231472,4.22859198920223,52,"SP"
"52","Jon Gray","TEX","14916",1.16785580348998,1.07222691546498,1.04535384482876,1.25898552021247,1.21467403493894,-0.578300282909666,-0.188316695648863,-0.767347169231472,4.22513197114513,53,"SP"
"55","Nathan Eovaldi","TEX","9132",1.02192711873969,0.803763155167045,1.14617865774589,0.928084509757685,0.976332927165561,-0.0767016444796902,0.182783217924491,-0.767347169231472,4.2150207727892,54,"SP"
"60","Shota Imanaga","CHC","sa3023346",0.92461096978935,0.991312968862093,0.629722368694584,0.701828207131484,0.788208480084882,0.297822599028082,0.571974803859924,-0.767347169231472,4.13813322821893,55,"SP"
"53","Marcus Stroman","NYY","13431",1.07584491020305,0.589038999242886,1.33279636730573,0.929246176421994,1.12679498572188,0.0506604350364503,-0.210379710724568,-0.767347169231472,4.12665499397596,56,"SP"
"62","Michael King","SDP","19853",0.719186005860947,1.07941874569285,0.533560476382849,0.322089472453466,0.572182830600884,0.87954139686971,0.657027726976767,-0.671619100889853,4.09138755394763,57,"SP"
"56","Reid Detmers","LAA","27468",1.06257038637571,1.35912706139594,0.880491050875739,1.13070315309515,1.11586246586558,-0.511536908216548,-0.220749327810151,-0.767347169231472,4.04912071234995,58,"SP"
"66","Eury Pérez","MIA","27768",0.680637517285157,1.13854636619826,0.685191148600623,0.489629972488731,0.466794375976961,0.289931821594362,0.970543171202532,-0.767347169231472,3.95392720411516,59,"SP"
"54","Brayan Bello","BOS","23920",1.26867843043245,0.8268144937476,1.22309364410573,1.34713458891394,1.51267197086168,-0.552429218354838,-0.938017947921313,-0.767347169231472,3.92059879255377,60,"SP"
"58","Charlie Morton","ATL","4676",1.04007428081583,1.3916191412854,0.975460478419932,1.01596645747621,1.21779645689193,-0.265278895805864,-0.730846236360445,-0.767347169231472,3.87744451349153,61,"SP"
"63","Triston McKenzie","CLE","18000",0.845988447017816,0.877578976170429,0.994911172766963,0.817982093230628,0.705718435959069,-0.223215298392255,0.602421764664398,-0.767347169231472,3.85403842218558,62,"SP"
"65","Gavin Williams","CLE","30122",0.905712419572039,1.0165195138953,0.793445158259013,0.75084884267049,0.887442907040885,0.116642951546022,0.0725784576213463,-0.767347169231472,3.77584308137363,63,"SP"
"64","Yusei Kikuchi","TOR","20633",0.99776885153419,1.26237703259747,0.755017930682333,1.00370674994496,1.04027560714615,-0.339439874343093,-0.180594640372367,-0.767159651405474,3.77195200578417,64,"SP"
"68","Aaron Civale","TBR","19479",0.859217432169933,0.696096537162742,0.737974360646091,0.768621605260599,0.6784887060439,-0.0503168574356888,0.774623597330273,-0.767347169231472,3.69735821194638,65,"SP"
"61","Dean Kremer","BAL","19350",1.20385412625332,0.739153813901626,0.990290624006102,1.3156686809945,1.32748023172127,-0.632652122264326,-0.485836453944744,-0.767347169231472,3.69061173143627,66,"SP"
"59","Brady Singer","KCR","25377",1.29704902509603,0.773402855573142,1.06867853639014,1.55535279322168,1.50544752207607,-0.997477285176483,-0.795380555456883,-0.767347169231472,3.63972572249222,67,"SP"
"70","Bryce Miller","SEA","29837",0.837950870841057,0.585173683322366,0.744126348930749,0.832641414877303,0.643937924445902,-0.285766148674143,0.837392875220653,-0.767347169231472,3.42810979973241,68,"SP"
"67","Ranger Suárez","PHI","17277",1.03761519235382,0.668922194933632,1.05156838202678,0.909733059764239,1.22658824209368,0.0103434940860367,-0.777399198170183,-0.748391761799943,3.37897960528806,69,"SP"
"74","Bryan Woo","SEA","30279",0.670915010125167,0.920823662166065,0.508230184180295,0.522264649632045,0.502966562096386,0.167460380175163,0.763261144566287,-0.74392111762648,3.31200047531493,70,"SP"
"71","Griffin Canning","LAA","19867",0.80136054529983,1.05350941594682,0.712970936958498,0.802135844783558,0.747096214474187,-0.297396825829053,0.232755947070962,-0.767347169231472,3.28508490947333,71,"SP"
"78","Chris Sale","ATL","10603",0.449847511257859,1.01846388493411,0.654421118642924,0.283632056604185,0.226250727733314,0.298089734722452,1.09718487773708,-0.767347169231472,3.26054274240045,72,"SP"
