"","name","team","position","points"
"529","Hector Neris","","P",-4.36436623086436
"530","Brock Stewart","MIN","P",-4.37484099062364
"531","JoJo Romero","STL",NA,-4.41287562353319
"532","Trevor Stephan","CLE","P",-4.41559247108324
"533","Joe Jiménez","ATL","P",-4.43763078027229
"534","Andrew Kittredge","STL","P",-4.43857255870496
"535","Jeff Hoffman","PHI","P",-4.45522802477187
"536","Caleb Ferguson","LAD","P",-4.52015364561353
"537","Max Meyer","MIA","P",-4.54988364384088
"538","Taylor Rogers","SFG","P",-4.58344066657029
"539","Luis L. Ortiz","PIT","P",-4.58658791670073
"540","Orion Kerkering","PHI",NA,-4.59335032875119
"541","Brock Burke","TEX","P",-4.65137077137908
"542","Tyler Holton","DET",NA,-4.6725165368013
"543","Alex Wood","","P",-4.6828295733529
"544","Yariel Rodriguez","",NA,-4.68633473702984
"545","Alex Vesia","LAD","P",-4.75774411132392
"546","Mark Leiter Jr.","CHC","P",-4.78618149148415
"547","Carlos Estévez","LAA","P",-4.78800186151411
"548","John Schreiber","BOS","P",-4.79945967075514
"549","Ryan Yarbrough","LAD","P",-4.79992513248691
"550","David Robertson","","P",-4.80054576454652
"551","Roansy Contreras","PIT","P",-4.82204495999714
"552","Daniel Lynch IV","KCR","P",-4.82433158784152
"553","Tylor Megill","NYM","P",-4.84009540674577
"554","Danny Coulombe","BAL","P",-4.86288938870426
"555","Gregory Soto","PHI","P",-4.89293072972849
"556","Sawyer Gipson-Long","DET",NA,-4.93524435135277
"557","Sam Hentges","CLE","P",-4.94013801276637
"558","Chad Green","TOR","P",-4.963591396821
"559","David Peterson","NYM","P",-4.97471416910647
"560","Joe Kelly","LAD","P",-4.98535236960507
"561","Gabe Speier","SEA",NA,-4.98932169313705
"562","Drew Smyly","CHC","P",-4.990130263973
"563","Woo Suk Go","SDP",NA,-4.99447107460545
"564","Jason Foley","DET","P",-5.01067898719183
"565","Dakota Hudson","COL","P",-5.01925949192648
"566","Dauri Moreta","PIT",NA,-5.05905891943177
"567","Seranthony Domínguez","PHI","P",-5.07856590932809
"568","Hoby Milner","MIL",NA,-5.11154861538164
"569","Justin Topa","SEA",NA,-5.13961660205239
"570","Enyel De Los Santos","SDP","P",-5.17765515285658
"571","Ryan Walker","SFG",NA,-5.17805517830928
"572","Brooks Raley","NYM","P",-5.20108347487209
"573","Will Vest","DET","P",-5.20133351730527
"574","Chris Flexen","CHW","P",-5.20200354317135
"575","Tommy Kahnle","NYY","P",-5.23267946782909
"576","Josh Sborz","TEX","P",-5.24746691390549
"577","Emilio Pagán","CIN","P",-5.26403921955777
"578","Kody Funderburk","MIN",NA,-5.32502119193821
"579","Aaron Bummer","ATL","P",-5.35089836692862
"580","Touki Toussaint","CHW","P",-5.35452192455543
"581","Jakob Junis","","P",-5.45081852827713
"582","Pierce Johnson","ATL","P",-5.45194987907623
"583","Tyler Rogers","SFG","P",-5.4998731340385
"584","Eli Morgan","CLE","P",-5.50058992966155
"585","Cody Bradford","TEX",NA,-5.52540104370342
"586","Abner Uribe","MIL",NA,-5.52586402834888
"587","Peter Lambert","COL","P",-5.56936247084789
"588","Corey Kluber","","P",-5.58716683448439
"589","Hayden Wesneski","CHC","P",-5.60344545801117
"590","Garrett Crochet","CHW","P",-5.61430056686572
"591","Kirby Yates","TEX","P",-5.68867873506075
"592","Joe Ross","MIL","P",-5.71335738842837
"593","Josh Winckowski","BOS","P",-5.76532933286805
"594","Adam Ottavino","","P",-5.86834027601374
"595","Drew Rucinski","","P",-5.89741685795257
"596","Ryan Feltner","COL","P",-5.9016893746625
"597","Jake Odorizzi","TEX","P",-6.01961884616173
"598","Lucas Erceg","OAK",NA,-6.19270457925509
"599","Justin Lawrence","COL",NA,-6.62841266043425
