"","name","team","position","points"
"106","Lourdes Gurriel Jr.","ARI","OF",2.0203063056619
"107","Zack Gelof","OAK","2B",1.99874380383403
"108","Ryan Mountcastle","BAL","1B",1.95325998548123
"109","Jung Hoo Lee","SFG",NA,1.92633947724798
"110","Cedric Mullins","BAL","OF",1.7207043609836
"111","J.T. Realmuto","PHI","C",1.70020368866141
"112","Josh Lowe","TBR","OF",1.6525575023888
"113","Bryson Stott","PHI","SS",1.59559610679458
"114","Daulton Varsho","TOR","C",1.58283394655545
"115","MJ Melendez","KCR","C",1.54198381341367
"116","Evan Carter","TEX","OF",1.52915904869491
"117","Jordan Walker","STL","3B",1.50819201087134
"118","Anthony Volpe","NYY","SS",1.41139620712807
"119","Jake Cronenworth","SDP","2B",1.37436819096089
"120","Austin Hays","BAL","OF",1.31226850632277
"121","J.D. Martinez","","DH",1.30064968498148
"122","Jorge Polanco","SEA","2B",1.26744219624722
"123","Tyler O'Neill","BOS","OF",1.23772375231094
"124","Ha-Seong Kim","SDP","SS",1.14329392937273
"125","Thairo Estrada","SFG","SS",1.05369228331436
"126","Chas McCormick","HOU","OF",1.01938213796651
"127","Steven Kwan","CLE","OF",0.976177519608291
"128","Cal Raleigh","SEA","C",0.948566327400841
"129","Jack Suwinski","PIT","OF",0.947549663320868
"130","Max Kepler","MIN","OF",0.827392618138843
"131","Brent Rooker","OAK","OF",0.633449741267723
"132","Jonathan India","CIN","2B",0.633439965614501
"133","Joey Meneses","WSN","OF",0.587699072708673
"134","TJ Friedl","CIN","OF",0.580004202845334
"135","Christian Encarnacion-Strand","CIN","IF",0.528887027162888
"136","Zach Neto","LAA",NA,0.450447665057814
"137","Yainer Diaz","HOU","DH",0.319129869189589
"138","James Outman","LAD","OF",0.302246800147271
"139","Sean Murphy","ATL","C",0.294748016263298
"140","Luis Rengifo","LAA","2B",0.288771775653758
"141","Edouard Julien","MIN","2B",0.282007485880506
"142","Lars Nootbaar","STL","OF",0.279624399660258
"143","Brendan Rodgers","COL","2B",0.189910006985529
"144","Willson Contreras","STL","C",0.186407557787036
"145","Yoán Moncada","CHW","3B",0.176746853869118
"146","Anthony Rizzo","NYY","1B",0.0758002651734302
"147","Jeff McNeil","NYM","2B",0.0234792468567908
"148","Alex Verdugo","NYY","OF",0.00106578545136568
"149","Tommy Edman","STL","SS",-0.0341037048325367
"150","Vaughn Grissom","BOS","2B",-0.071991432399108
"151","Jarren Duran","BOS","OF",-0.104121754941005
"152","Justin Turner","TOR","3B",-0.112743901638905
"153","Brandon Lowe","TBR","2B",-0.15559932623694
"154","Trevor Story","BOS","2B",-0.227957213192914
"155","Byron Buxton","MIN","OF",-0.270952474214834
"156","Jarred Kelenic","ATL","OF",-0.287861167586467
"157","Francisco Alvarez","NYM","DH",-0.568436073401782
"158","Kris Bryant","COL","OF",-0.574686691087121
"159","Sal Frelick","MIL",NA,-0.580911675683032
"160","Andrew Benintendi","CHW","OF",-0.582831234778833
"161","Orlando Arcia","ATL","2B",-0.661812855508583
"162","Jackson Chourio","MIL",NA,-0.711089057539083
"163","Hunter Renfroe","KCR","OF",-0.85058712705318
"164","Javier Báez","DET","SS",-0.903844802686169
"165","Logan O'Hoppe","LAA","C",-1.03840486045432
"166","Keibert Ruiz","WSN","C",-1.11873412133886
"167","Giancarlo Stanton","NYY","OF",-1.20665859637646
"168","Jonah Heim","TEX","C",-1.2505378829399
"169","Noelvi Marte","CIN",NA,-1.3608710927853
"170","Colt Keith","DET",NA,-1.43227081383217
"171","Maikel Garcia","KCR","SS",-1.49848666498143
"172","Wilmer Flores","SFG","2B",-1.56803164520958
"173","Mark Canha","DET","OF",-1.59042014727569
"174","Joc Pederson","ARI","OF",-1.6496033508057
"175","Tim Anderson","MIA","SS",-1.68686963732163
"176","Ryan Noda","OAK",NA,-1.79428539711798
"177","Brandon Marsh","PHI","OF",-1.98366791374328
"178","Tommy Pham","","OF",-2.02623598972812
"179","Seth Brown","OAK","OF",-2.05795187352503
"180","Matt Wallner","MIN","OF",-2.09392489024275
"181","Gabriel Moreno","ARI","C",-2.17024579938808
"182","Mike Yastrzemski","SFG","OF",-2.25254631701296
"183","Charlie Blackmon","COL","OF",-2.28297013912401
"184","LaMonte Wade Jr.","SFG","OF",-2.30636715165387
"185","Michael Conforto","SFG","OF",-2.31722429769733
"186","Jose Siri","TBR","OF",-2.32933270496324
"187","Nelson Velázquez","KCR","OF",-2.36276864665334
"188","Jesús Sánchez","MIA","OF",-2.3632084832949
"189","Leody Taveras","TEX","OF",-2.39080963425688
"190","DJ LeMahieu","NYY","2B",-2.48798849340416
"191","Mitch Haniger","SEA","OF",-2.54692583887771
"192","Alek Thomas","ARI","OF",-2.60756187873525
"193","Shea Langeliers","OAK","DH",-2.67939060325282
"194","Brendan Donovan","STL","2B",-2.69277239777511
"195","Wyatt Langford","TEX",NA,-2.73717778805045
"196","Parker Meadows","DET",NA,-2.74534279547262
"197","Luis García Jr.","WSN","SS",-2.81335047634075
"198","Jackson Holliday","BAL",NA,-2.8572328076758
"199","Carlos Santana","MIN","1B",-2.86016366504569
"200","Nolan Schanuel","LAA",NA,-2.93836716779873
"201","Mitch Garver","SEA","DH",-2.99985302305606
"202","Luis Campusano","SDP","C",-3.11296872728815
"203","Starling Marte","NYM","OF",-3.13314741203703
"204","Brenton Doyle","COL",NA,-3.24789299709781
"205","Gavin Lux","LAD","2B",-3.52380811797025
"206","Rowdy Tellez","PIT","1B",-3.56976414522466
"207","Bo Naylor","CLE","C",-3.573411887239
"208","Michael Massey","KCR","2B",-3.62678565625399
"209","Elehuris Montero","COL","3B",-3.63801951888455
"210","Masyn Winn","STL",NA,-3.64057310339176
"211","Henry Davis","PIT",NA,-3.64108834769545
"212","Andrew McCutchen","PIT","OF",-3.68233703280806
