playerid,Name,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,SO,QS,ERA,WHIP,SVHD,Year
16472,Rhys Hoskins,8.76467504,130,1.665196153,2.004689663,1.821235767,1.68627682,-0.2235404073,1.810817045,,,,,,,2021
9218,Paul Goldschmidt,8.733429844,68,1.592232103,1.466534284,1.374923185,1.796571448,0.9960022516,1.507166572,,,,,,,2021
12155,Eddie Rosario,8.549977172,73,1.212819043,1.652818839,1.658296253,1.268455627,1.489405007,1.268182404,,,,,,,2021
13145,Josh Bell,8.483465032,128,1.300375903,1.632120555,1.764561153,1.520536825,0.7446461311,1.521224464,,,,,,,2021
15362,Jeff McNeil,8.409733327,72,1.453600408,0.6179046487,1.162393384,1.655557052,2.215544911,1.304732924,,,,,,,2021
14162,Carlos Correa,8.310668644,107,1.293079498,1.466534284,1.714970866,1.511294018,1.042549681,1.282240296,,,,,,,2021
15172,Tim Anderson,8.187922063,49,1.752753013,1.135361744,1.176562037,1.409766685,1.91764136,0.7958372242,,,,,,,2021
12979,Javier Baez,8.037890551,65,1.533860863,1.797706825,1.849573074,1.335260059,0.7818840748,0.7396056552,,,,,,,2021
12164,Miguel Sano,8.016200298,159,1.555750078,2.625638177,1.799982787,1.399055335,-0.7448716203,1.380645542,,,,,,,2021
12546,C.J. Cron,7.909529765,204,0.877184413,1.694215406,1.403260491,1.159164848,1.023930709,1.751773897,,,,,,,2021
15429,Kris Bryant,7.78365364,106,1.701678178,1.363042865,1.204899344,1.582491283,0.5677658981,1.363776071,,,,,,,2021
14221,Jorge Soler,7.777510081,171,1.198226233,2.066784514,1.608705966,1.439100544,0.0278157132,1.436877111,,,,,,,2021
14551,Anthony Santander,7.713646972,126,1.220115448,1.673517122,1.629958946,1.340173027,0.8656694484,0.9842129804,,,,,,,2021
13066,Teoscar Hernandez,7.597259102,79,1.417118383,2.211672501,1.693717886,1.258473329,-0.04666017437,1.062937177,,,,,,,2021
4106,Michael Brantley,7.590072565,97,1.190929828,0.4937149459,1.162393384,1.398636612,2.168997481,1.175400315,,,,,,,2021
12533,Marcus Semien,7.496711206,108,1.789235038,1.300948014,1.318248571,1.507184725,0.6980987013,0.8829961562,,,,,,,2021
13301,Max Muncy,7.48661228,81,1.490082433,1.756310258,1.559115679,1.370236712,-0.2328498933,1.543717092,,,,,,,2021
12144,Max Kepler,7.451257568,153,1.665196153,1.673517122,1.275742611,1.448958109,0.1674580024,1.22038557,,,,,,,2021
16478,Kyle Schwarber,7.403700723,172,1.154447803,2.046086231,1.410344818,1.246844159,-0.2142309214,1.760208633,,,,,,,2021
19238,Lourdes Gurriel Jr.,7.396342609,85,1.132558588,1.507930852,1.459935105,1.153942569,1.191501456,0.950474039,,,,,,,2021
20043,Luis Robert,7.36319168,45,1.482786028,1.632120555,1.537862699,1.216111819,0.6422417857,0.8520687932,,,,,,,2021
11739,J.T. Realmuto,7.340678787,53,1.198226233,1.259551446,1.424513471,1.148030204,1.098406597,1.211950835,,,,,,,2021
14128,Joey Gallo,7.299792679,129,1.497378838,2.708431312,1.7503925,1.404778149,-1.489630496,1.428442376,,,,,,,2021
5235,Justin Turner,7.185654036,157,1.081483753,0.6799995,0.9711165626,1.203877116,1.694213698,1.554963406,,,,,,,2021
19290,Randy Arozarena,7.176396095,63,1.358747143,1.28024973,1.134056077,1.208198547,0.9494548219,1.245689776,,,,,,,2021
20003,Keston Hiura,7.138525743,96,1.336857928,1.673517122,1.537862699,1.24436721,0.409504637,0.9364161467,,,,,,,2021
21618,Alec Bohm,7.135801591,111,1.110669373,0.7627926352,1.219067997,1.296304947,1.675594726,1.071371912,,,,,,,2021
17232,Yoan Moncada,6.901403703,110,1.497378838,1.218154879,1.296995591,1.404560726,0.5956943559,0.8886193131,,,,,,,2021
5038,Josh Donaldson,6.812402306,184,1.242004663,1.54932742,1.134056077,1.331101409,-0.01873171653,1.574644455,,,,,,,2021
18373,Ryan Mountcastle,6.804060954,158,0.847998793,1.073266892,1.282826937,1.126912324,1.57319038,0.8998656269,,,,,,,2021
6012,Didi Gregorius,6.792010066,124,1.147151398,1.197456595,1.566200006,1.079178355,1.014621223,0.7874024888,,,,,,,2021
15149,Trey Mancini,6.749265559,150,0.957444868,1.238853163,1.098634443,1.167530358,1.117025569,1.169777158,,,,,,,2021
