,Unnamed: 0,Name,Team,playerid,IP,QS,SO,WHIP,ERA,SVHD,pr,rank,position,IDFANGRAPHS
1,23,José Berríos,TOR,14168,2.75545507890763,3.10302838887843,2.84228300205311,2.53574626096004,2.47688925758424,-0.674113734802185,13.0392882535813,3,SP,14168
2,17,Luis Castillo,CIN,15689,2.66984419250671,3.10302838887843,2.77876508547468,2.74271719909437,2.36709070267152,-0.674113734802185,12.9873318338235,4,SP,15689
3,2,Zack Wheeler,PHI,10310,2.88387140850901,3.33385334938826,2.99049147406946,2.35458217296715,2.09831460785452,-0.674113734802185,12.9869992779862,5,SP,10310
4,29,Robbie Ray,SEA,11486,2.54142786290533,3.10302838887843,3.60449800099431,2.2047303964792,2.0501192025628,-0.674113734802185,12.8296901170179,6,SP,11486
5,19,Sandy Alcantara,MIA,18684,2.75545507890763,3.56467830989809,2.5670386968799,2.43716409341975,2.13082450530157,-0.674113734802185,12.7810469496048,7,SP,18684
6,31,Germán Márquez,COL,15038,2.58423330610579,2.8722034283686,2.33413966942565,2.74839470612549,2.91220092578842,-0.674113734802185,12.7770583010118,8,SP,15038
7,5,Shane Bieber,CLE,19427,2.41301153330395,3.56467830989809,3.30808105696162,1.90433866083286,1.63748163480735,-0.674113734802185,12.1534774610017,9,SP,19427
8,11,Lucas Giolito,CHW,15474,2.5200251413051,2.8722034283686,3.09635466836684,2.15380487886676,2.11503546275165,-0.674113734802185,12.0833098448568,10,SP,15474
9,18,Lance Lynn,CHW,2520,2.56283058450556,2.8722034283686,2.86345564091259,2.2873123169318,2.12559600268668,-0.674113734802185,12.037284238603,11,SP,2520
10,6,Aaron Nola,PHI,16149,2.56283058450556,2.64137846785877,3.15987258494528,2.16206307091202,2.12559600268668,-0.674113734802185,11.9776269761061,12,SP,16149
11,7,Brandon Woodruff,MIL,16162,2.54142786290533,3.33385334938826,3.01166411292893,1.98674853561785,1.75965258699689,-0.674113734802185,11.9592327130351,13,SP,16162
12,20,Frankie Montas,OAK,14309,2.47721969810464,3.10302838887843,2.7575924466152,2.26735501948909,1.96563488308257,-0.674113734802185,11.8967167013677,14,SP,14309
13,24,Kevin Gausman,TOR,14107,2.49862241970487,2.8722034283686,2.90580091863154,2.13401962709166,2.07708999327922,-0.674113734802185,11.8136226522737,15,SP,14107
14,72,Kyle Gibson,PHI,10123,2.45581697650441,2.64137846785877,1.93185953109557,2.76439495321318,2.66154340438937,-0.674113734802185,11.7808795982591,17,SP,10123
15,80,Kyle Hendricks,CHC,12049,2.5200251413051,2.8722034283686,1.44488883732758,2.58735996124291,2.86048534051836,-0.674113734802185,11.6108489739604,18,SP,12049
16,15,Max Fried,ATL,13743,2.47721969810464,3.33385334938826,2.39765758600408,2.26735501948909,1.79977228527948,-0.674113734802185,11.6017442034634,19,SP,13743
17,14,Eduardo Rodriguez,DET,13164,2.5200251413051,2.41055350734894,2.71524716889625,2.46348708056401,2.15230795663998,-0.674113734802185,11.5875071199521,20,SP,13164
18,88,Patrick Corbin,WSN,9323,2.39160881170372,2.41055350734894,1.97420480881453,2.66374823766157,2.76419806464016,-0.674113734802185,11.5301996953667,21,SP,9323
19,21,Joe Musgrove,SDP,12970,2.47721969810464,2.64137846785877,2.84228300205311,2.17548263298557,1.96563488308257,-0.674113734802185,11.4278849492825,22,SP,12970
20,33,Yu Darvish,SDP,13074,2.34880336850326,2.64137846785877,2.79993772433416,1.99552286466594,2.15562106720784,-0.674113734802185,11.2671497577678,23,SP,13074
21,27,Framber Valdez,HOU,17295,2.39160881170372,2.8722034283686,2.14358591969035,2.51406850684123,1.95352132256886,-0.674113734802185,11.2008742543706,24,SP,17295
22,22,Dylan Cease,CHW,18525,2.24178976050211,2.17972854683911,3.05400939064789,2.18391287069844,1.91454050604398,-0.674113734802185,10.8998673399293,26,SP,18525
23,43,Tyler Mahle,CIN,16358,2.22038703890188,2.17972854683911,2.48234814144199,2.24808590471681,2.32448617146305,-0.674113734802185,10.7809220685607,27,SP,16358
24,52,Zac Gallen,ARI,19291,2.22038703890188,2.41055350734894,2.48234814144199,2.19096674307043,2.10105827754352,-0.674113734802185,10.7311999735046,28,SP,19291
25,76,Chris Flexen,SEA,13896,2.39160881170372,2.41055350734894,1.6142699482034,2.51406850684123,2.44893488716799,-0.674113734802185,10.7053219264631,29,SP,13896
26,42,Marcus Stroman,CHC,13431,2.39160881170372,2.64137846785877,1.72013314250079,2.42426066834903,2.1877168258339,-0.674113734802185,10.690984181444,30,SP,13431
27,13,Nathan Eovaldi,BOS,9132,2.3059979253028,2.41055350734894,2.3764849471446,2.10219117858388,2.05291463960442,-0.674113734802185,10.5740284631825,31,SP,9132
28,16,Julio Urías,LAD,14765,2.43441425490418,2.41055350734894,2.41883022486356,2.07466387176635,1.88249651477053,-0.674113734802185,10.5468446388514,32,SP,14765
29,81,Merrill Kelly,ARI,11156,2.28459520370257,2.17972854683911,1.57192467048445,2.45953003020899,2.72387129694709,-0.674113734802185,10.54553601338,33,SP,11156
30,84,Marco Gonzales,SEA,15467,2.34880336850326,2.41055350734894,1.57192467048445,2.38021697744097,2.48506849929862,-0.674113734802185,10.5224532882741,34,SP,15467
31,55,Jon Gray,TEX,14916,2.24178976050211,2.17972854683911,2.1859311974093,2.27010775017084,2.2084755342356,-0.674113734802185,10.4119190543548,35,SP,14916
32,12,Freddy Peralta,MIL,18679,2.11337343090073,2.41055350734894,3.09635466836684,1.75018574265467,1.68785126890923,-0.674113734802185,10.3842048833782,36,SP,18679
33,34,Sean Manaea,OAK,15873,2.28459520370257,2.64137846785877,2.22827647512826,1.99431854499267,1.90149513318306,-0.674113734802185,10.3759500900631,37,SP,15873
34,10,Logan Webb,SFG,17995,2.32740064690303,2.64137846785877,2.20710383626878,2.15225646785827,1.7101629978896,-0.674113734802185,10.3641886819763,38,SP,17995
35,41,Chris Bassitt,NYM,12304,2.28459520370257,2.64137846785877,2.10124064197139,2.05246998064471,1.89274645058983,-0.674113734802185,10.2983170099651,39,SP,12304
