"","Name","Team","PlayerId","AB","wAVG","wOPS","AVG","OPS","R","HR","RBI","RC","pr","rank"
"1","Aaron Judge","NYY","15640",545,1.79628449197152,2.22354403007056,1.74702353053502,3.68158419379493,2.52607779404349,3.48087482684294,2.69262923042829,3.17593371758785,17.3041232932325,1
"2","Yordan Alvarez","HOU","19556",526,1.7173437302144,2.07265644636551,1.90745206241773,3.57074195784157,2.00650667772465,2.817008044864,2.69262923042829,2.84551216309918,15.8398501363754,2
"3","Vladimir Guerrero Jr.","TOR","19611",582,2.07891430218222,2.21929855327166,2.01233169695604,2.61021917434283,2.06423680176007,2.41868797567663,2.51804769398384,2.65264215300974,14.2761654957291,3
"5","Mike Trout","LAA","10155",514,1.43493949066352,1.94002213932157,0.896171949942599,3.31689483901634,2.17969704983093,3.08255475765557,2.16888462109493,2.5416076451903,14.1858108627307,4
"7","Juan Soto","SDP","20123",521,1.60837059475108,2.01210720093707,1.53301518535556,3.44131030210962,2.52607779404349,1.75482119369768,1.76152770272454,3.15338157421848,14.1701337521494,5
"6","Freddie Freeman","LAD","5361",581,2.21424959397998,2.190617250476,2.61409414551997,2.51482472886841,2.58380791807891,1.09095441171874,1.87791539368751,2.79387989021025,13.4754764880838,6
"4","Pete Alonso","NYM","19251",572,1.72423482585652,2.04542472783615,0.740977036186551,2.12949782029268,1.66012593351209,2.94978140125979,2.98359845783572,2.28420282511679,12.7481834742036,7
"9","Paul Goldschmidt","STL","9218",567,1.89416080414217,2.01217917756345,1.60291766904735,2.11693130309409,1.94877655368922,1.75482119369768,2.16888462109493,2.2861070202197,11.878438360843,8
"8","Austin Riley","ATL","18360",580,1.88508816527656,2.03036972210929,1.23765257820716,1.85818949110587,1.66012593351209,2.15314126288505,2.22707846657642,2.1165882864434,11.25277601873,9
"12","Rafael Devers","BOS","17350",576,1.91683687939342,2.01977488063186,1.47259539589327,1.91510331692658,1.60239580947666,1.88759455009347,2.16888462109493,2.04730566229417,11.0938793557791,10
"13","Kyle Tucker","HOU","18345",564,1.79080549716006,1.97973970373572,1.22728897795634,2.054515286732,1.42920543737038,2.15314126288505,2.2852723120579,1.92197768391367,11.0714009609153,11
"10","José Ramírez","CLE","13510",569,1.746915993422,1.97854713372482,0.911820986321337,1.91803666141079,1.94877655368922,1.75482119369768,2.51804769398384,1.98503986400405,11.0365429531069,12
