,Unnamed: 0,Name,Team,playerid,R,HR,RBI,RC,AVG,OPS,pr,position,IDFANGRAPHS,pr_pos,weighted_pr
49,37,Jonathan India,CIN,21523,2.03351015336135,1.10152921172827,1.19851857232539,1.73306956183991,0.823028438303739,1.30935324770518,8.19900918526383,2B,21523,1.1619671470160595,9.36097633227989
215,62,Christian Yelich,MIL,11477,1.65044843947332,1.10152921172827,1.23390479941855,1.55848426354532,1.00556894877379,1.58369351279289,8.13362917573213,LF,11477,1.210417055601088,9.344046231333218
274,87,Mitch Haniger,SEA,14274,1.7200960238166,2.01465805454474,1.69392575162962,1.53605964651661,0.229771779276087,0.993861942854315,8.18837319863797,RF,14274,1.128886766153424,9.317259964791395
134,29,Francisco Lindor,NYM,12916,1.7200960238166,1.50736425298003,1.55238084325698,1.51111430574415,0.59485280021618,0.938993889836773,7.82480211585072,SS,12916,1.1739465898003687,8.998748705651089
216,42,Joey Gallo,NYY,14128,1.68527223164496,2.72486937673533,1.8000844329091,1.55209467776841,-1.54999819780687,1.5699764995385,7.78229902078944,LF,14128,1.1158408817029446,8.898139902492384
173,41,J.T. Realmuto,PHI,11739,1.33703430992858,1.10152921172827,1.48160838907067,1.32298415730402,0.868663565921251,0.911559863328002,7.02337949728078,C,11739,1.6283066225680978,8.651686119848879
95,48,Josh Donaldson,MIN,5038,1.30221051775694,1.71028177360591,1.30467725360487,1.47355995936795,0.184136651658575,1.58369351279289,7.55855966878713,3B,5038,1.0667582310145927,8.625317899801724
386,153,Nelson Cruz,,2434,1.09326776472711,1.71028177360591,1.55238084325698,1.28908514917411,0.823028438303739,1.46024039350342,7.92828436257128,DH,2434,0.5233287151346807,8.45161307770596
217,84,Alex Verdugo,BOS,17027,1.47632947861513,0.391317889537675,0.986201209766433,1.49837257792655,2.00954175635904,0.993861942854315,7.35562485505914,LF,17027,1.0009825083801747,8.356607363439315
278,189,Jorge Soler,,14221,1.23256293341366,2.01465805454474,1.55238084325698,1.3742555674376,-0.180944369281518,1.28191922119641,7.27483225056787,RF,14221,0.8829664932925699,8.15779874386044
219,130,Marcell Ozuna,ATL,10324,0.919148803868914,1.40590549266709,1.34006348069803,1.118103555315,1.00556894877379,1.39165532723149,7.18044560855431,LF,10324,0.953825204494634,8.134270813048945
331,57,Starling Marte,NYM,9241,1.75491981598824,0.594235410163558,0.986201209766433,1.28998197175413,1.59882560780144,0.788106744038532,7.01227075951233,CF,9241,1.066584889033528,8.078855648545858
220,112,Randy Arozarena,TBR,19290,1.58080085513005,1.20298797204121,1.16313234523223,1.35421648989157,0.777393310686227,1.03501298261747,7.11354395559875,LF,19290,0.9358156420503561,8.049359597649106
10,169,Trey Mancini,BAL,15149,1.33703430992858,1.30444673235415,1.37544970779119,1.49625412803134,0.914298693538762,0.911559863328002,7.33904343497201,1B,15149,0.6571299611040172,7.996173396076027
279,147,Hunter Renfroe,MIL,15464,1.30221051775694,2.11611681485768,1.69392575162962,1.15393399295691,-0.135309241664006,0.993861942854315,7.12473977839146,RF,15464,0.8425624131142715,7.967302191505731
281,79,Michael Conforto,,16376,1.2673867255853,1.20298797204121,1.34006348069803,1.45242502129372,0.549217672598669,1.28191922119641,7.09400009341333,RF,16376,0.834287456492515,7.9282875499058445
174,33,Yasmani Grandal,CHW,11368,1.09326776472711,1.50736425298003,1.19851857232539,1.23691591533214,-0.317849752134053,1.69342961882797,6.41164637205859,C,11368,1.463631380160551,7.875277752219141
50,121,Ryan McMahon,COL,15112,1.30221051775694,1.40590549266709,1.51699461616383,1.3156986353347,0.503582544981157,0.966427916345544,7.01081972324926,2B,15112,0.842112982485941,7.852932705735201
135,47,Willy Adames,MIL,15986,1.44150568644349,1.40590549266709,1.23390479941855,1.3156923671042,0.549217672598669,0.966427916345544,6.91265393457755,SS,15986,0.9284012422140259,7.841055176791576
221,170,Austin Meadows,TBR,15672,1.30221051775694,1.50736425298003,1.69392575162962,1.24237783940912,0.184136651658575,0.993861942854315,6.9238769562886,LF,15672,0.884758313616872,7.808635269905472
282,288,Charlie Blackmon,COL,7859,1.2673867255853,0.594235410163558,1.16313234523223,1.24729991713406,1.59882560780144,1.06244700912624,6.93332701504283,RF,7859,0.7910351344616972,7.724362149504527
51,68,Javier Báez,DET,12979,1.44150568644349,1.71028177360591,1.58776707035014,1.08837207744866,0.503582544981157,0.554917518713979,6.88642667154334,2B,12979,0.8086270470364807,7.695053718579821
11,83,Brandon Belt,SFG,10264,1.16291534907038,1.50736425298003,1.09235989104591,1.22428813880632,0.32104203451111,1.74829767184552,7.05626733825927,1B,10264,0.5810081681958487,7.637275506455119
332,46,Cedric Mullins,BAL,17929,1.61562464730168,1.20298797204121,0.809270074300636,1.39480282833999,0.823028438303739,0.788106744038532,6.63382070432579,CF,17929,0.9647081849489535,7.598528889274744
222,185,Lourdes Gurriel Jr.,TOR,19238,0.988796388212191,1.10152921172827,1.37544970779119,1.08105894999147,1.23374458686134,0.842974797056074,6.62355364164054,LF,19238,0.8039129047266075,7.427466546367148
12,55,Jake Cronenworth,SDP,18036,1.47632947861513,0.594235410163558,1.09235989104591,1.37841986436985,1.37064996971388,0.952710903091158,6.86470551699949,1B,18036,0.5294407639613179,7.394146280960808
138,74,Dansby Swanson,ATL,18314,1.44150568644349,1.40590549266709,1.44622216197751,1.32600759021239,0.366677162128622,0.568634531968364,6.55495262539747,SS,18314,0.8321099881196335,7.387062613517103
13,111,Anthony Rizzo,,3473,1.2673867255853,1.20298797204121,1.26929102651171,1.40101369555711,0.59485280021618,1.11731506214378,6.85284728205529,1B,3473,0.5262485913725725,7.379095873427863
98,45,Yoán Moncada,CHW,17232,1.51115327078677,0.797152930789441,1.12774611813907,1.445801710336,0.777393310686227,0.897842850073616,6.55709019081112,3B,17232,0.7971680743763384,7.354258265187458
14,91,Ty France,SEA,17982,1.16291534907038,0.797152930789441,1.23390479941855,1.37968141878819,1.32501484209637,0.884125836819231,6.78279517698216,1B,17982,0.507390944290135,7.290186121272295
283,110,Avisaíl García,MIA,5760,1.09326776472711,1.20298797204121,1.34006348069803,1.12339202996496,0.959933821156274,0.73323869102099,6.45288375960857,RF,5760,0.6617024135583269,7.114586173166897
223,168,Adam Duvall,ATL,10950,0.988796388212191,2.21757557517062,1.72931197872278,0.94338581042496,-0.500390262604099,0.85669181031046,6.23537130023692,LF,10950,0.6994163219303887,6.934787622167309
15,70,DJ LeMahieu,NYY,9874,1.65044843947332,0.289859129224734,0.915428755580114,1.41545824222534,1.73573099065397,0.486332452442052,6.49325800959954,1B,9874,0.4294491077949974,6.922707117394538
55,160,Brendan Rodgers,COL,17907,0.953972596040552,0.6956941704765,0.986201209766433,1.08018211087564,1.59882560780144,0.870408823564845,6.18528451852541,2B,17907,0.619883378842217,6.805167897367627
100,52,Jeimer Candelario,DET,13621,1.16291534907038,0.898611691102383,1.12774611813907,1.4066515756772,0.640487927833692,0.884125836819231,6.12053849864196,3B,13621,0.6796507244612588,6.800189223103219
56,71,Whit Merrifield,KCR,11281,1.7200960238166,0.0869416085988508,0.950814982673274,1.29335833339223,1.78136611827148,0.280577253626269,6.1131543203787,2B,11281,0.6004663203652878,6.713620640743988
16,276,Miguel Sanó,MIN,12164,1.2673867255853,2.21757557517062,1.55238084325698,1.16550613663727,-0.865471283544192,0.980144929599929,6.31752292670592,1B,12164,0.3821421757655997,6.69966510247152
224,133,AJ Pollock,LAD,9256,0.640558466495806,1.00007045141532,0.986201209766433,0.785697395024842,1.23374458686134,1.36422130072272,6.01049341028647,LF,9256,0.638880412539774,6.649373822826244
17,158,Luke Voit,NYY,14811,0.884325011697275,1.50736425298003,1.19851857232539,1.03251476535939,0.32104203451111,1.32307026095957,6.26683489783276,1B,14811,0.36849723306478294,6.6353321308975435
57,94,Jean Segura,PHI,5933,1.30221051775694,0.391317889537675,0.844656301393795,1.16237060484637,1.73573099065397,0.58235154522275,6.0186378494115,2B,5933,0.5750229985533845,6.593660847964885
225,124,Andrew Benintendi,KCR,17901,1.02362018038383,0.594235410163558,1.12774611813907,1.11379180852371,1.23374458686134,0.85669181031046,5.94982991438197,LF,17901,0.6225501281698794,6.57238004255185
226,108,Ian Happ,CHC,17919,1.12809155689874,1.50736425298003,1.23390479941855,1.18819068625257,-0.135309241664006,1.0075789561087,5.92982100999459,LF,17919,0.6171638395344478,6.5469848495290375
286,104,Dylan Carlson,STL,20126,1.33703430992858,0.898611691102383,1.16313234523223,1.3431569811911,0.59485280021618,0.637219598240292,5.97400772591076,RF,20126,0.5327915802538387,6.506799306164599
140,81,Gleyber Torres,NYY,16997,1.05844397255547,0.898611691102383,1.09235989104591,1.14504769167686,0.914298693538762,0.692087651257834,5.80084959117722,SS,16997,0.6291095376938345,6.4299591288710545
59,72,Enrique Hernández,BOS,10472,1.44150568644349,1.10152921172827,1.09235989104591,1.21205687033911,0.229771779276087,0.774389730784147,5.85161316961702,2B,10472,0.5300608598377333,6.381674029454754
101,176,Eugenio Suárez,CIN,12552,1.05844397255547,2.01465805454474,1.48160838907067,1.026660970472,-0.728565900691657,0.897842850073616,5.75064833602483,3B,12552,0.5800782970714247,6.330726633096255
18,135,Nathaniel Lowe,TEX,19566,1.19773914124202,0.797152930789441,1.19851857232539,1.32327243049309,0.686123055451204,0.801823757292918,6.00462988759407,1B,19566,0.2979130651633854,6.302542952757455
60,95,Chris Taylor,LAD,13757,1.37185810210021,0.797152930789441,1.19851857232539,1.10157814220411,0.503582544981157,0.815540770547303,5.78823106294761,2B,13757,0.5129987401817231,6.301229803129333
19,140,Jonathan Schoop,DET,11265,1.16291534907038,1.10152921172827,1.26929102651171,1.15761461666999,0.914298693538762,0.390313359661353,5.99596225718047,1B,11265,0.2955797860248066,6.291542043205277
228,118,Michael Brantley,HOU,4106,0.919148803868914,0.0869416085988508,0.596952711741679,1.00625938023612,2.19208226682909,0.925276876582387,5.72666164785704,LF,4106,0.5624744401411875,6.289136087998227
175,76,Willson Contreras,CHC,11609,1.02362018038383,1.10152921172827,1.02158743685959,1.01873670377033,0.0928663964235519,0.897842850073616,5.15618277923919,C,11609,1.1256673841675393,6.281850163406729
102,35,Matt Chapman,OAK,16505,1.33703430992858,1.9131992942318,1.44622216197751,1.24789899255537,-0.865471283544192,0.623502584985906,5.70238606013497,3B,16505,0.5670863539288721,6.269472414063841
20,164,Bobby Dalbec,BOS,19966,0.814677427353998,1.81174053391886,1.26929102651171,0.972339123936526,-0.22657949689903,1.33678727421395,5.97825588903601,1B,19966,0.2908133276688247,6.2690692167048345
21,182,Yuli Gurriel,HOU,19198,1.02362018038383,0.391317889537675,1.12774611813907,1.08753066670563,1.64446073541895,0.664653624749063,5.93932921493422,1B,19198,0.28033447793920835,6.219663692873428
229,127,Jesús Sánchez,MIA,19913,0.849501219525637,1.20298797204121,1.23390479941855,1.0301039014487,0.549217672598669,0.760672717529761,5.62638828256252,LF,19913,0.5354813935722317,6.161869676134752
230,263,Eddie Rosario,,12155,0.77985363518236,1.10152921172827,1.26929102651171,0.753921938633694,0.868663565921251,0.678370638003448,5.45163001598073,LF,12155,0.48843741520073786,5.940067431181468
289,191,Anthony Santander,BAL,14551,0.953972596040552,1.40590549266709,1.23390479941855,0.951510766947548,0.32104203451111,0.58235154522275,5.4486872348076,RF,14551,0.3913781506923057,5.840065385499905
103,50,Ke'Bryan Hayes,PIT,18577,1.33703430992858,0.391317889537675,0.844656301393795,1.18698300343167,1.0512040763913,0.458898425933281,5.2700940066163,3B,18577,0.4507156756560765,5.720809682272376
290,109,Mike Yastrzemski,SFG,14854,1.09326776472711,1.20298797204121,1.09235989104591,1.04195544465598,-0.0440389864289831,0.897842850073616,5.28437493611484,RF,14854,0.34714617027119726,5.631521106386038
231,148,Austin Hays,BAL,19363,1.09326776472711,1.00007045141532,1.05697366395275,0.933014223598913,0.640487927833692,0.472615439187666,5.19642947071545,LF,19363,0.41973881131389734,5.6161682820293475
22,216,Alex Kirilloff,MIN,20325,0.640558466495806,0.797152930789441,0.986201209766433,0.890415609025881,1.27937971447886,0.85669181031046,5.45039974086688,1B,20325,0.14871731296552865,5.599117053832408
339,75,Brandon Nimmo,NYM,12927,1.16291534907038,0.289859129224734,0.384635349182722,1.1184498841281,0.868663565921251,1.1996171416701,5.02414041919729,CF,12927,0.5313909748405321,5.555531394037822
144,88,Amed Rosario,CLE,15518,1.23256293341366,0.188400368911792,0.809270074300636,1.00441385982437,1.59882560780144,0.253143227117498,5.0866160713694,SS,15518,0.43684174450014684,5.5234578158695475
61,132,Eduardo Escobar,NYM,6153,1.02362018038383,1.30444673235415,1.44622216197751,1.02708958002665,0.0015961411885285,0.294294266880655,5.09726906281132,2B,6153,0.3269955139782721,5.424264576789593
176,119,Keibert Ruiz,WSN,19610,0.396791921294336,0.594235410163558,0.738497620114317,0.675878168259992,1.23374458686134,0.788106744038532,4.42725445073208,C,19610,0.9294438281012605,5.35669827883334
341,59,Trent Grisham,SDP,18564,1.37185810210021,0.797152930789441,0.950814982673274,1.07561424645027,0.0928663964235519,0.554917518713979,4.84322417715073,CF,18564,0.4826893028431905,5.32591347999392
62,92,Luis Arraez,MIN,18568,1.05844397255547,-0.62326971359174,0.420021576275881,1.03444566689031,2.60279841538669,0.500049465696437,4.99248938321305,2B,18568,0.29878939201787763,5.291278775230928
342,67,Ramón Laureano,OAK,17128,0.988796388212191,0.898611691102383,0.773883847207476,0.836965069918246,0.503582544981157,0.788106744038532,4.78994628545999,CF,17128,0.4683471831060112,5.258293468566001
63,78,Luis Urías,MIL,16622,1.09326776472711,0.797152930789441,0.986201209766433,1.048861274045,0.366677162128622,0.664653624749063,4.95681396620567,2B,16622,0.2891857630799371,5.245999729285606
146,77,Brandon Crawford,SFG,5343,0.953972596040552,0.594235410163558,1.05697366395275,0.921241529825059,0.686123055451204,0.623502584985906,4.83604884041903,SS,5343,0.3693904037195524,5.205439244138582
23,227,Jesús Aguilar,MIA,11342,0.640558466495806,1.00007045141532,1.30467725360487,0.89471518364943,0.549217672598669,0.719521677766605,5.1087607055307,1B,11342,0.056749935950540745,5.165510641481241
292,82,Max Kepler,MIN,12144,1.19773914124202,1.30444673235415,1.09235989104591,1.04567255066483,-0.454755134986587,0.719521677766605,4.90498485808693,RF,12144,0.24501641713158742,5.150001275218518
234,236,Connor Joe,COL,16572,0.53608708998089,0.391317889537675,0.596952711741679,0.699699051716594,1.0512040763913,1.17218311516133,4.44744393452946,LF,16572,0.21811596362786453,4.6655598981573245
64,131,Jeff McNeil,NYM,15362,0.745029843010721,0.0869416085988508,0.632338938834838,0.897536688050413,1.50755535256641,0.58235154522275,4.45175397628399,2B,15362,0.15322635064743714,4.604980326931427
235,139,Mark Canha,NYM,11445,1.33703430992858,0.6956941704765,0.880042528486955,1.1184026751894,-0.22657949689903,0.554917518713979,4.35951170589638,LF,11445,0.19444508417315323,4.553956790069533
236,244,Tyler Naquin,CIN,13359,0.640558466495806,0.6956941704765,0.880042528486955,0.651523713469799,0.823028438303739,0.596068558477135,4.28691587570993,LF,13359,0.17490268007432558,4.461818555784255
65,90,Kolten Wong,MIL,12532,1.23256293341366,0.0869416085988508,0.596952711741679,0.934018350426085,1.09683920400881,0.390313359661353,4.33762816785044,2B,12532,0.12250430145004249,4.460132469300483
66,98,Tommy Edman,STL,19470,1.44150568644349,0.0869416085988508,0.667725165927998,0.982153216223046,1.14247433162632,0.0062369885385593,4.32703699735826,2B,19470,0.11965321574572339,4.446690213103983
178,113,Daulton Varsho,ARI,19918,0.675382258667444,0.594235410163558,0.596952711741679,0.549665646621504,0.457947417363645,0.746955704275376,3.62113914883321,C,19918,0.7124419570640927,4.333581105897303
147,96,Oneil Cruz,PIT,21711,0.710206050839083,0.594235410163558,0.738497620114317,0.6821924070879,0.777393310686227,0.623502584985906,4.12602738387699,SS,21711,0.17825647513238954,4.30428385900938
24,338,Eric Hosmer,SDP,3516,0.710206050839083,0.492776649850617,1.05697366395275,0.856819621130311,1.00556894877379,0.266860240371884,4.38920517491843,1B,3516,-0.13695051371242012,4.252254661206011
296,324,Randal Grichuk,TOR,10243,0.814677427353998,1.20298797204121,1.19851857232539,0.70485418594905,0.0015961411885285,0.266860240371884,4.18949453923006,RF,10243,0.052410300444326215,4.241904839674387
25,65,Tyler Stephenson,CIN,17988,0.745029843010721,0.188400368911792,0.632338938834838,0.804097694936129,1.23374458686134,0.760672717529761,4.36428415008459,1B,17988,-0.14365911855389676,4.220625031530693
237,249,Andrew McCutchen,,9847,0.884325011697275,0.898611691102383,0.809270074300636,0.79542710148694,-0.135309241664006,0.842974797056074,4.0952994339793,LF,9847,0.1233205723050234,4.218620006284324
238,125,Tommy Pham,,2967,0.953972596040552,0.492776649850617,0.561566484648519,0.875713363440818,0.457947417363645,0.746955704275376,4.08893221561953,LF,2967,0.12160655162570165,4.2105387672452315
239,157,Akil Baddoo,DET,22168,1.16291534907038,0.6956941704765,0.809270074300636,0.901859545210776,0.0928663964235519,0.404030372915739,4.06663590839759,LF,22168,0.11560450654234516,4.182240414939935
240,222,David Peralta,ARI,2136,0.640558466495806,0.0869416085988508,0.844656301393795,0.823935106511975,1.18810945924383,0.417747386170124,4.00194832841438,LF,2136,0.0981909605444501,4.10013928895883
26,278,Rowdy Tellez,MIL,15679,0.466439505637613,0.898611691102383,0.809270074300636,0.635252916471592,0.503582544981157,0.938993889836773,4.25215062233015,1B,15679,-0.17384485658838478,4.078305765741765
297,231,Wil Myers,SDP,10047,0.814677427353998,0.898611691102383,1.02158743685959,0.823222451857362,0.0015961411885285,0.458898425933281,4.01859357429515,RF,10047,0.006404686773956402,4.024998261069107
179,86,Mitch Garver,MIN,15161,0.501263297809252,0.898611691102383,0.596952711741679,0.518650609956722,-0.22657949689903,1.02129596936309,3.31019478307409,C,15161,0.6287374187688259,3.938932201842916
67,146,César Hernández,WSN,10556,1.16291534907038,0.289859129224734,0.703111393021157,0.976444838908276,0.686123055451204,0.102256081319258,3.92070984699501,2B,10556,0.010272148701932816,3.9309819956969427
298,221,Garrett Cooper,MIA,15279,0.501263297809252,0.391317889537675,0.561566484648519,0.628385597245316,1.00556894877379,0.842974797056074,3.93107701507062,RF,15279,-0.017154296728431793,3.9139227183421883
109,308,Mike Moustakas,CIN,4892,0.53608708998089,1.10152921172827,0.915428755580114,0.630692227972766,-0.0896741140464948,0.664653624749063,3.7587167959646,3B,4892,0.04386112050523061,3.802577916469831
241,145,Robbie Grossman,DET,5254,1.16291534907038,0.594235410163558,0.667725165927998,1.01062456017485,-0.0896741140464948,0.404030372915739,3.74985674420604,LF,5254,0.030329272127082377,3.7801860163331225
69,136,Jazz Chisholm Jr.,MIA,20454,1.2673867255853,1.00007045141532,0.809270074300636,0.767695872459959,-0.180944369281518,0.129690107828029,3.79316886230773,2B,20454,-0.024061193247870104,3.76910766905986
349,63,Harrison Bader,STL,18030,0.849501219525637,0.797152930789441,0.703111393021157,0.767374748186168,0.0928663964235519,0.390313359661353,3.60032004760731,CF,18030,0.14810624630597452,3.7484262939132846
299,198,Adolis García,TEX,19287,1.09326776472711,1.50736425298003,1.34006348069803,0.688070647359786,-0.637295645456634,-0.213235223531609,3.77823527677671,RF,19287,-0.0582984644476454,3.7199368123290646
350,138,Kyle Lewis,SEA,19508,0.745029843010721,0.898611691102383,0.773883847207476,0.758911433595023,0.0015961411885285,0.362879333152582,3.54091228925671,CF,19508,0.1321139996809112,3.6730262889376215
180,149,Alejandro Kirk,TOR,22581,0.048553999577951,0.188400368911792,0.278476667903243,0.264214656598664,1.14247433162632,1.17218311516133,3.0943031397793,C,22581,0.5706205582826128,3.664923698061913
110,186,Gio Urshela,NYY,10681,0.53608708998089,0.492776649850617,0.703111393021157,0.61642163166364,1.0512040763913,0.239426213863113,3.63902705477071,3B,10681,0.011641290758980611,3.6506683455296907
27,159,Yandy Díaz,TBR,16578,0.570910882152529,0.0869416085988508,0.4907940304622,0.728859073880204,1.23374458686134,0.760672717529761,3.87192289948489,1B,16578,-0.27620009917373683,3.595722800311153
28,233,Wilmer Flores,SFG,5827,0.396791921294336,0.492776649850617,0.52618025755536,0.514890023786634,1.09683920400881,0.815540770547303,3.84301882704306,1B,5827,-0.28398091884766713,3.559037908195393
351,183,Jarred Kelenic,SEA,22558,0.919148803868914,1.10152921172827,1.02158743685959,0.744099596814122,-0.500390262604099,0.129690107828029,3.41566489449482,CF,22558,0.09839807971035762,3.5140629742051774
29,286,Christian Walker,ARI,13419,0.814677427353998,0.594235410163558,0.880042528486955,0.764658896972616,0.32104203451111,0.376596346406968,3.7512526438952,1B,13419,-0.3086838780820563,3.4425687658131436
111,166,Patrick Wisdom,CHC,13602,0.814677427353998,1.60882301329297,1.16313234523223,0.631762617560996,-1.09364692163175,0.211992187354342,3.33674066916279,3B,13602,-0.06973256619605193,3.267008102966738
242,304,Jo Adell,LAA,20220,0.745029843010721,0.898611691102383,1.02158743685959,0.604788257071701,-0.0440389864289831,0.0611050415561013,3.28708328317152,LF,20220,-0.09424683587419604,3.192836447297324
243,235,Joc Pederson,,11899,0.640558466495806,1.00007045141532,0.738497620114317,0.56018933757275,-0.317849752134053,0.637219598240292,3.25868572170444,LF,11899,-0.10189130553844068,3.1567944161659995
112,179,Evan Longoria,SFG,9368,0.53608708998089,0.594235410163558,0.703111393021157,0.490562918244697,0.366677162128622,0.500049465696437,3.19072343923536,3B,9368,-0.10903961324413262,3.0816838259912274
113,252,Alec Bohm,PHI,21618,0.570910882152529,0.188400368911792,0.632338938834838,0.613498854538374,0.959933821156274,0.211992187354342,3.17707505294815,3B,21618,-0.11271368487381878,3.0643613680743313
70,129,Nick Madrigal,CHC,20521,0.501263297809252,-0.724728473904681,0.207704213716924,0.609788550968953,2.37462277729913,0.184558160845571,3.15320852673515,2B,20521,-0.19633504772215943,2.9568734790129905
