"","Name","Team","playerid","R","HR","RBI","RC","AVG","OPS"
"207","Manny Piña","ATL","2829",27,10,30,29.4988879310345,0.233,0.718
"208","Jose Barrero","CIN","23378",38,10,38,41.1150285714286,0.254,0.736
"209","Andrew Vaughn","CHW","26197",63,20,64,73.5043474088292,0.252,0.767
"210","Wilmer Flores","SFG","5827",49,15,51,56.9779539641944,0.268,0.78
"211","Brandon Marsh","LAA","20202",53,9,41,51.6375126436782,0.247,0.705
"212","José Iglesias","COL","10231",56,8,54,63.8138185654008,0.29,0.744
"213","Yadier Molina","STL","7007",40,10,49,44.4534963325183,0.249,0.663
"214","Michael A. Taylor","KCR","11489",52,13,50,50.706295503212,0.238,0.678
"215","Tommy La Stella","SFG","12371",49,10,43,52.7745177664975,0.265,0.745
"216","Patrick Wisdom","CHC","13602",57,25,64,56.5283982300885,0.219,0.736
"217","Jesús Aguilar","MIA","11342",59,21,75,71.4762055888224,0.255,0.771
"218","Martín Maldonado","HOU","6887",41,12,40,38.4997014925373,0.195,0.622
"219","Jake Meyers","HOU","20308",42,11,42,41.0723976608187,0.243,0.709
"220","Chas McCormick","HOU","19599",42,12,41,40.0054088050315,0.242,0.728
"221","Taylor Walls","TBR","22458",39,7,33,36.0516176470588,0.226,0.671
"222","Kyle Farmer","CIN","14813",47,12,50,51.3407766990291,0.255,0.711
"223","David Peralta","ARI","2136",57,12,62,68.906927592955,0.269,0.748
"224","Tyrone Taylor","MIL","13675",40,13,44,42.0567350157729,0.245,0.747
"225","Nick Ahmed","ARI","12147",55,10,53,54.914094488189,0.239,0.67
"226","Josh Harrison","CHW","8202",47,9,45,52.8887416267943,0.266,0.717
"227","Jonathan Villar","CHC","10071",52,12,41,50.5650352941176,0.249,0.712
"228","Lane Thomas","WSN","16939",56,14,51,54.28,0.24,0.739
"229","Kole Calhoun","TEX","11200",54,19,54,55.736974595843,0.23,0.736
"230","Bryson Stott","PHI","sa3011443",37,8,32,38.6374375,0.245,0.709
"231","Odúbel Herrera","PHI","11476",51,13,49,55.5318867924528,0.261,0.739
"232","Manuel Margot","TBR","14712",52,10,47,50.9455850815851,0.255,0.713
"233","Andrelton Simmons","CHC","10847",40,5,35,41.8161241050119,0.25,0.638
"234","Wil Myers","SDP","10047",62,19,66,67.7918146718147,0.243,0.751
"235","Kevin Smith","OAK","20242",36,12,37,37.221375,0.227,0.705
"236","Austin Slater","SFG","16153",39,9,31,39.4050305084746,0.251,0.753
"237","LaMonte Wade Jr.","SFG","18126",55,15,49,57.1569198113208,0.242,0.755
"238","Nick Senzel","CIN","19293",49,10,41,49.6479272727273,0.262,0.743
"239","Ben Rortvedt","NYY","20287",29,9,30,28.0796133828996,0.217,0.651
"240","Kyle Higashioka","NYY","5517",34,15,43,34.2041433224756,0.214,0.688
"241","Victor Robles","WSN","18363",50,9,38,47.2607990430622,0.234,0.681
"242","Garrett Cooper","MIA","15279",45,12,45,51.3722662889518,0.265,0.78
"243","Joey Bart","SFG","21524",38,9,38,38.1339154929577,0.24,0.661
"244","Bryan De La Cruz","MIA","19600",40,9,38,45.8886831955923,0.267,0.727
"245","Jake Fraley","CIN","19260",50,14,48,51.2693368700265,0.241,0.768
"246","Ben Gamel","PIT","12160",60,13,51,68.7831252336449,0.245,0.734
"247","Aledmys Díaz","HOU","15937",34,10,39,38.5517105263158,0.253,0.722
"248","Pedro Severino","MIL","14523",27,10,33,35.2297337883959,0.239,0.708
"249","Mike Moustakas","CIN","4892",59,24,70,68.1074775510204,0.241,0.767
