"","Name","Team","playerid","R","HR","RBI","RC","AVG","OPS"
"453","Ehire Adrianza","WSN","8418",21,3,18,20.4805530726257,0.244,0.685
"454","Luke Maile","CLE","13355",7,1,7,6.38,0.202,0.572
"455","Jake Lamb","LAD","13329",6,2,6,5.56888888888889,0.222,0.728
"456","Donovan Walton","SEA","19314",3,1,3,3.62967741935484,0.24,0.684
"457","Aaron Altherr","","11270",12,3,11,11.3397916666667,0.223,0.695
"458","Korey Lee","HOU","sa3010034",3,1,3,2.62208333333333,0.235,0.673
"459","Brett Cumberland","BAL","sa915611",3,1,3,3.0285,0.192,0.638
"460","Danny Santana","","10322",20,6,19,17.5551538461538,0.236,0.709
"461","Jack Mayfield","LAA","15402",13,4,14,11.5644827586207,0.224,0.652
"462","Pablo Reyes","MIL","16357",7,1,6,5.80145454545455,0.229,0.662
"463","Stephen Vogt","OAK","5000",12,4,13,12.5912347826087,0.22,0.676
"464","Colton Welker","COL","19961",25,6,26,27.182312195122,0.265,0.745
"465","José Peraza","NYY","13593",7,1,6,6.89960655737705,0.252,0.669
"466","Connor Wong","BOS","19896",3,1,3,2.79066666666667,0.241,0.683
"467","Jahmai Jones","BAL","18872",12,2,11,11.6762413793103,0.226,0.648
"468","Mario Feliciano","","20263",3,1,3,2.49725,0.232,0.699
"469","Oswald Peraza","NYY","sa3003305",3,1,3,3.42210344827586,0.251,0.683
"470","Michael Stefanic","LAA","sa3008479",3,1,3,3.61733333333333,0.26,0.688
"471","Estevan Florial","NYY","19151",10,3,9,8.38547619047619,0.215,0.666
"472","Patrick Mazeika","","18142",5,1,5,4.92442553191489,0.22,0.638
"473","Gilberto Celestino","MIN","20233",6,1,5,5.62794117647059,0.241,0.687
"474","Eli White","TEX","19346",16,3,12,13.6638848920863,0.216,0.639
"475","Travis Demeritte","ATL","15958",4,2,4,4.00645161290323,0.231,0.767
"476","Yermín Mercedes","CHW","17423",5,1,5,5.11225,0.254,0.707
"477","Nomar Mazara","SDP","14553",22,6,24,24.6178846153846,0.239,0.698
"478","Juan Lagares","","5384",19,3,17,17.6757668711656,0.25,0.674
"479","Payton Henry","MIA","22164",2,1,2,1.78925,0.217,0.65
"480","Travis Shaw","","11982",14,5,15,14.7592,0.223,0.717
"481","Jason Vosler","SFG","16686",4,1,3,3.81818181818182,0.222,0.686
"482","Ali Sánchez","STL","18551",3,0,3,3.13833333333333,0.241,0.605
"483","Kody Clemens","DET","sa3008002",5,1,4,4.51024390243902,0.228,0.67
"484","Luke Raley","TBR","19354",6,2,7,6.22792452830189,0.223,0.694
"485","Jeter Downs","","sa3004615",4,1,4,3.77861111111111,0.221,0.673
"486","Otto Lopez","TOR","19608",6,1,5,4.94859574468085,0.256,0.666
"487","Isan Díaz","MIA","17922",10,2,9,8.97448275862069,0.211,0.653
"488","Ryan McBroom","","16524",4,1,4,3.41576470588235,0.228,0.672
"489","Jordan Groshans","TOR","sa3006893",3,0,2,2.47191304347826,0.243,0.668
"490","Joe Panik","","11936",17,2,15,17.5318488372093,0.242,0.645
"491","Eguy Rosario","SDP","sa917140",3,0,3,2.89568,0.242,0.668
"492","Drew Waters","","sa3004378",4,1,3,3.94327777777778,0.238,0.666
"493","Brock Holt","ATL","9345",12,1,10,11.1518584070796,0.238,0.629
"494","Heliot Ramos","SFG","sa3004693",12,3,11,11.5708380952381,0.239,0.677
"495","Rob Brantly","NYY","10655",2,1,2,2.42260869565217,0.228,0.642
"496","Justin Smoak","","9054",7,2,7,7.41262068965517,0.218,0.727
"497","Jonathan Araúz","BOS","20275",3,0,3,2.44241666666667,0.239,0.659
"498","Asdrúbal Cabrera","CIN","4962",29,8,31,30.7906349206349,0.236,0.707
"499","Alejo Lopez","CIN","21127",5,0,4,4.52463414634146,0.26,0.677
"500","Alan Trejo","COL","20056",7,2,7,7.6201875,0.244,0.693
"501","Eric Thames","OAK","3711",39,14,40,40.9095294117647,0.217,0.71
"502","Tyler Nevin","BAL","17893",7,2,7,7.27272727272727,0.232,0.674
"503","Ronald Guzmán","","14388",4,1,4,3.95666666666667,0.226,0.709
"504","Travis Jankowski","NYM","13768",8,0,4,6.1495625,0.25,0.635
"505","Tucupita Marcano","","22871",5,1,4,4.83357142857143,0.242,0.635
"506","Jake McCarthy","ARI","21622",34,7,28,30.6809049295775,0.228,0.675
"507","Eric Sogard","","7927",12,2,10,11.7240086206897,0.241,0.64
"508","Wyatt Mathisen","SFG","14555",5,1,5,4.5734,0.209,0.668
"509","Charlie Culberson","","3298",15,3,14,14.6718356164384,0.237,0.651
"510","John Nogowski","ATL","16852",6,1,6,6.248,0.241,0.676
"511","Nick Maton","PHI","21635",7,2,7,6.0746875,0.213,0.638
"512","Mark Kolozsvary","CIN","sa3004996",3,1,3,2.9394,0.194,0.614
"513","Chris Owings","","10030",5,1,5,5.02856,0.217,0.649
"514","Taylor Jones","HOU","19533",8,2,8,7.79594117647059,0.238,0.687
"515","Evan White","SEA","20078",12,4,13,11.6165981308411,0.223,0.668
"516","Billy McKinney","","15654",10,3,10,10.3811666666667,0.213,0.676
"517","José Devers","MIA","20540",6,0,4,5.00770833333333,0.25,0.644
"518","Andy Burns","LAD","12779",4,1,3,3.12545454545455,0.212,0.648
"519","Miguel Andújar","NYY","15878",13,4,13,13.43075,0.259,0.74
"520","Daniel Robertson","MIN","14145",7,1,5,5.71090163934426,0.217,0.616
"521","Lewis Brinson","","14352",10,3,10,9.19912087912088,0.224,0.648
"522","Clay Dungan","KCR","sa1169803",2,0,2,1.9451,0.251,0.623
"523","Daniel Johnson","CLE","19643",8,2,8,7.94901388888889,0.225,0.676
"524","Sandy León","CLE","5273",13,4,14,12.1430463576159,0.195,0.566
"525","Maikel Franco","WSN","12179",18,6,22,20.2086444444444,0.235,0.682
"526","Max Moroff","","14556",3,1,3,2.81875862068965,0.208,0.665
"527","Ildemaro Vargas","CHC","13324",3,1,3,3.10870588235294,0.24,0.62
"528","Greg Deichmann","CHC","19872",3,0,2,2.57285714285714,0.213,0.625
"529","José Rondón","","14140",5,2,5,4.40858536585366,0.228,0.682
"530","Zach Reks","TEX","19667",6,2,5,5.7728,0.222,0.675
"531","Lucius Fox","WSN","sa914200",3,0,2,2.34,0.235,0.643
"532","Taylor Motter","","12399",3,1,3,2.89777777777778,0.21,0.665
"533","Rob Refsnyder","BOS","13770",12,2,10,11.0748421052632,0.246,0.693
"534","Luis Barrera","","19615",10,1,8,9.9925,0.229,0.626
"535","Khris Davis","","9112",20,8,24,21.4846857142857,0.227,0.719
"536","Jonathan Aranda","TBR","sa919293",3,1,3,3.33713793103448,0.25,0.697
"537","Shogo Akiyama","CIN","27461",24,3,18,23.6136697247706,0.248,0.668
"538","Mason Martin","PIT","sa3004885",12,4,14,12.4095384615385,0.219,0.702
"539","Jose Rojas","LAA","19331",9,3,9,9.27151219512195,0.233,0.687
"540","Sebastian Rivero","KCR","21735",3,0,3,2.45885714285714,0.217,0.58
"541","Delino DeShields","MIA","11379",4,0,3,3.38288888888889,0.228,0.628
"542","Christin Stewart","BOS","17714",6,2,7,6.6076862745098,0.226,0.724
"543","Rio Ruiz","","14103",4,1,4,4.08592105263158,0.233,0.67
"544","Omar Estévez","LAD","sa914242",3,1,3,2.51026086956522,0.226,0.652
"545","Ronald Torreyes","PHI","11400",14,3,13,12.9426515151515,0.24,0.629
"546","Roman Quinn","","13546",7,1,4,5.45822580645161,0.235,0.61
"547","Luke Williams","PHI","19931",7,1,6,5.824625,0.226,0.621
"548","Grayson Greiner","","17062",6,2,6,5.49840322580645,0.198,0.599
"549","Aramis Garcia","CIN","16925",6,2,6,5.34662295081967,0.212,0.603
"550","Cody Thomas","","sa738459",13,4,14,13.1076850393701,0.208,0.65
"551","Alfonso Rivas","CHC","21560",10,1,9,10.176,0.246,0.676
"552","Greg Bird","","14131",4,1,4,3.99090909090909,0.222,0.715
"553","Matt Carpenter","","8090",16,4,14,15.3715851851852,0.206,0.684
"554","Abraham Almonte","","5486",4,1,3,3.86857142857143,0.236,0.742
"555","Dillon Thomas","LAA","12719",2,1,2,1.99428571428571,0.204,0.621
"556","Phil Gosselin","","10953",9,2,8,8.41618421052632,0.248,0.68
"557","Oswaldo Cabrera","NYY","sa916954",4,1,4,2.9560303030303,0.212,0.589
"558","Tony Wolters","LAD","11470",2,0,2,1.506,0.206,0.532
"559","Ryan O'Hearn","KCR","16442",11,4,13,12.3602718446602,0.232,0.709
"560","Andrew Knapp","CIN","14942",16,4,15,16.02453125,0.209,0.635
"561","Anthony Bemboom","BAL","13854",4,1,4,3.32773333333333,0.196,0.546
"562","Franchy Cordero","BOS","14567",5,1,4,4.02966666666667,0.244,0.679
"563","Jose Lobaton","","4243",2,1,2,1.92371428571429,0.199,0.601
"564","DJ Peters","","19348",6,2,7,4.58646341463415,0.21,0.693
"565","Nick Martini","","12005",2,0,2,2.00021052631579,0.239,0.664
"566","Brendon Davis","LAA","sa875089",3,1,3,2.89931034482759,0.225,0.662
"567","Ender Inciarte","NYY","4922",5,0,3,3.6220487804878,0.226,0.594
"568","Willians Astudillo","","15608",3,1,3,3.02755555555556,0.252,0.665
"569","Max Schrock","CIN","17750",18,3,16,17.7178104575163,0.25,0.688
"570","Darick Hall","PHI","sa918293",4,1,4,3.6603125,0.21,0.67
"571","Anthony Alford","PIT","14329",43,12,39,41.2421081081081,0.224,0.689
"572","Austin Dean","SFG","18288",3,1,3,3.4131724137931,0.241,0.701
"573","Pat Valaika","","14885",5,1,5,4.93284615384615,0.22,0.622
"574","Micker Adolfo","CHW","sa830303",6,2,6,5.061875,0.219,0.677
"575","Webster Rivas","SDP","14636",2,0,2,2.28855172413793,0.212,0.559
"576","Kyle Garlick","MIN","18063",9,3,9,8.18197183098592,0.22,0.689
"577","Edwin Ríos","LAD","18316",6,2,7,5.33847826086956,0.225,0.717
"578","Mickey Moniak","PHI","19956",8,2,8,7.42194444444444,0.228,0.66
"579","Hunter Owen","PIT","20034",3,1,3,2.79314285714286,0.203,0.622
"580","Monte Harrison","","17216",3,1,2,2.31888888888889,0.199,0.6
"581","Robel García","","13167",2,1,2,1.94347826086957,0.178,0.584
"582","Josh Palacios","TOR","19818",10,2,8,9.08306976744186,0.232,0.651
"583","Jorge Alfaro","SDP","12180",33,9,38,36.277021021021,0.24,0.668
"584","Taylor Davis","","12782",3,0,2,2.56593103448276,0.223,0.582
"585","Chad Wallach","LAA","17161",4,1,4,3.20923076923077,0.189,0.59
"586","Trent Giambrone","CHC","19250",3,1,3,2.87181818181818,0.197,0.589
"587","David Dahl","MIL","13744",6,2,6,5.90470588235294,0.24,0.686
"588","Michael Chavis","PIT","17321",44,13,45,43.2933140495868,0.239,0.704
"589","Phillip Evans","","12950",2,0,2,2.75151724137931,0.224,0.617
"590","Richie Martin","BAL","17736",8,1,6,7.47905882352941,0.223,0.599
"591","Ian Desmond","COL","6885",4,1,3,3.70221428571429,0.251,0.733
"592","Pete Kozma","","2539",3,0,2,2.01211428571429,0.192,0.496
"593","Yonathan Daza","COL","15794",23,2,20,26.2162352941176,0.277,0.696
"594","Drew Butera","","3411",3,1,3,2.62851428571429,0.181,0.539
"595","Jonathan Davis","MIL","15104",3,0,2,2.18861538461538,0.194,0.549
"596","Andrew Stevenson","WSN","17932",27,5,24,26.0563656387665,0.25,0.685
"597","Steven Souza Jr.","SEA","5667",4,1,4,3.40294871794872,0.192,0.596
"598","Jordy Mercer","","6547",11,2,10,11.0648932038835,0.242,0.661
"599","Matt Joyce","PHI","3353",12,3,10,12.18254,0.228,0.706
"600","Trayce Thompson","","9952",5,2,5,3.85766666666667,0.192,0.629
"601","Seby Zavala","CHW","18887",11,4,12,8.92139449541284,0.182,0.584
"602","Scott Kingery","PHI","17975",5,1,4,3.68538461538462,0.221,0.649
"603","Adam Haseley","PHI","19878",10,2,9,9.15166666666667,0.238,0.639
"604","Donovan Casey","","sa915654",4,1,4,4.29302325581395,0.218,0.635
"605","Yusniel Diaz","BAL","sa912848",2,0,2,2.19996,0.207,0.586
"606","Jake Noll","WSN","19703",3,1,3,2.89186206896552,0.242,0.659
"607","Jake Bauers","CIN","15194",8,2,7,7.77671641791045,0.227,0.678
"608","Wilmer Difo","ARI","14320",11,1,9,10.3997959183673,0.242,0.642
"609","Ryan Vilade","","22165",12,2,9,11.0285052631579,0.259,0.7
"610","Justin Williams","PHI","15490",3,1,3,2.92444444444444,0.222,0.661
"611","Billy Hamilton","SEA","10199",9,0,5,4.69786666666667,0.201,0.516
"612","Jake Cave","MIN","14477",12,3,11,11.2294311926606,0.224,0.646
"613","Guillermo Heredia","ATL","18721",23,3,16,19.682817679558,0.228,0.657
"614","Harold Castro","DET","14691",20,2,19,19.87108,0.26,0.638
"615","Magneuris Sierra","LAA","17023",5,0,3,4.44298076923077,0.237,0.582
"616","Jared Oliva","PIT","19968",10,1,8,8.29066666666667,0.227,0.625
"617","Colin Moran","CIN","16909",40,13,48,46.6764102564103,0.253,0.742
"618","Dexter Fowler","","4062",25,6,22,23.9673615023474,0.22,0.681
"619","Jarrod Dyson","","4866",20,2,12,13.8945317919075,0.218,0.582
"620","Scott Schebler","","12225",3,1,3,3.015,0.203,0.6
"621","Alex Blandino","","16271",8,0,5,6.35294117647059,0.207,0.595
"622","Stephen Piscotty","OAK","13367",40,13,46,44.2088235294118,0.229,0.67
"623","Josh Reddick","","3892",16,3,16,16.4000522875817,0.243,0.659
"624","Albert Pujols","","1177",17,8,24,19.6623431952663,0.237,0.697
"625","Miguel Cabrera","DET","1744",44,13,56,54.8636080178174,0.251,0.703
