Played,Name,pr,Adp,R,HR,RBI,RC,AVG,OPS,IP,SO,QS,ERA,WHIP,SVHD,Year
15640,Aaron Judge,15.4042444241611,4,2.41022365208597,3.4666458560886,2.67129028968809,3.04850922923449,1.55163486198451,2.25594053507943,,,,,,,2023
19611,Vladimir Guerrero Jr.,13.760995752881,6,1.96505382254877,2.42103192437908,2.44502161264809,2.57568073875694,2.07467847585746,2.27952917869067,,,,,,,2023
5361,Freddie Freeman,13.1064023439072,10,2.57716233816242,1.11401450974219,1.93591708930808,2.82393238496422,2.36644194571756,2.28893407601273,,,,,,,2023
19251,Pete Alonso,12.9014819291962,20,1.57553022170373,2.81313714877015,2.89755896672809,2.22489652165221,1.42776453639223,1.96259453394982,,,,,,,2023
20123,Juan Soto,12.3380630414297,3,2.52151610947027,1.76752321706063,1.70964841226808,3.1268099053263,1.27467674761888,1.93788864968553,,,,,,,2023
19556,Yordan Alvarez,12.3368132229675,16,1.74246890778018,2.55173366584277,2.38845444338809,2.58061718322202,1.26873619486236,1.80480282787207,,,,,,,2023
10155,Mike Trout,12.200447041898,17,2.02070005124092,3.07454063169753,1.99248425856808,2.47370018339159,0.882900957092354,1.75612095990756,,,,,,,2023
18360,Austin Riley,11.8603364880171,42,1.63117645039588,2.1596284414517,2.21875293560808,2.12082959197358,1.75039695194886,1.97955211663903,,,,,,,2023
13510,José Ramírez,11.8214469964049,2,1.96505382254877,1.76752321706063,2.50158878190809,2.07333553993126,1.58495984384367,1.92898579111251,,,,,,,2023
9218,Paul Goldschmidt,11.7652556914337,22,1.90940759385662,1.76752321706063,2.16218576634808,2.25262636116005,1.74488673431176,1.92862601869651,,,,,,,2023
17350,Rafael Devers,11.4728732421211,24,1.63117645039588,1.89822495852432,2.10561859708808,2.05249416860364,1.82208291213239,1.96327615537678,,,,,,,2023
14344,Matt Olson,11.4254823446977,34,1.74246890778018,2.42103192437908,2.33188727412809,1.94457646536922,1.20796649453667,1.77755127850444,,,,,,,2023
18345,Kyle Tucker,11.323261597308,11,1.46423776431943,2.1596284414517,2.27532010486809,1.93424252774464,1.60715899195835,1.88267376696575,,,,,,,2023
11493,Manny Machado,11.2825724998758,12,1.79811513647233,1.76752321706063,2.33188727412809,1.85799596611104,1.70488636012244,1.82216454598124,,,,,,,2023
13611,Mookie Betts,11.1415882391953,8,2.63280856685457,1.76752321706063,1.42681256596808,2.02371712199009,1.47488499092862,1.81584177639334,,,,,,,2023
19612,Bo Bichette,10.6233670997182,36,1.90940759385662,1.24471625120588,1.65308124300808,1.64638509191593,2.22795468687904,1.94182223285266,,,,,,,2023
16252,Trea Turner,10.4400561178907,9,2.29893119470167,0.721909285351116,1.25711105818808,1.76665367578519,2.4064577519696,1.98899315189508,,,,,,,2023
19755,Shohei Ohtani,10.3521967387186,1,1.74246890778018,2.29033018291539,1.76621558152808,1.88018159488533,1.04174497720185,1.63125549440777,,,,,,,2023
16478,Kyle Schwarber,10.0493560994548,45,1.74246890778018,2.94383889023384,1.93591708930808,1.57689534417531,0.470196411753613,1.38003945620374,,,,,,,2023
23697,Julio Rodríguez,9.88924007090549,21,1.79811513647233,1.63682147559694,1.31367822744808,1.70151414891537,1.67179490961789,1.76731617285488,,,,,,,2023
18401,Ronald Acuña Jr.,9.76963731543634,19,2.41022365208597,1.63682147559694,1.03084238114807,1.8158396163693,1.26919167453151,1.60671851570454,,,,,,,2023
13624,Corey Seager,9.44014017800012,31,1.35294530693513,1.50611973413326,1.42681256596808,1.95190928613145,1.54949473345531,1.6528585513769,,,,,,,2023
9777,Nolan Arenado,9.29759958644116,28,1.01906793478223,1.50611973413326,2.16218576634808,1.49246142235453,1.51607708727553,1.60168764154752,,,,,,,2023
5417,Jose Altuve,8.47150793068009,27,2.13199250862522,1.11401450974219,0.691439365588072,1.53874799693478,1.4953660360613,1.49994751372853,,,,,,,2023
12533,Marcus Semien,8.46940975297682,25,1.90940759385662,1.24471625120588,1.08740955040807,1.14905801922789,1.49378340428717,1.58503493399118,,,,,,,2023
17678,Alex Bregman,8.08960418559415,38,1.51988399301158,0.852611026814806,1.59651407374808,1.65176027903397,1.11206910281621,1.3567657101695,,,,,,,2023
19326,Bryan Reynolds,8.06298023386117,61,1.35294530693513,0.983312768278496,1.08740955040807,1.61950160229557,1.47710094880093,1.54271005714297,,,,,,,2023
12916,Francisco Lindor,7.72733189259159,33,1.51988399301158,0.852611026814806,1.59651407374808,1.08724911300907,1.33304188796315,1.3380317980449,,,,,,,2023
13066,Teoscar Hernández,7.38100980000001,120,0.907775477397933,1.76752321706063,1.53994690448808,0.959462763145864,1.01341361658675,1.19288782132075,,,,,,,2023
15986,Willy Adames,7.38056285312418,106,1.35294530693513,1.50611973413326,1.42681256596808,0.913535229971171,0.980223206631103,1.20092680948545,,,,,,,2023
25764,Bobby Witt Jr.,7.35591627299507,41,1.51988399301158,0.852611026814806,1.14397671966808,0.88117780989243,1.55392341170426,1.40434331190391,,,,,,,2023
17484,Eloy Jiménez,7.34641471553079,96,0.573898105245035,1.63682147559694,1.59651407374808,1.21139978899067,1.13733829613418,1.19044297581588,,,,,,,2023
14162,Carlos Correa,7.21919453814175,72,1.13036039216653,0.983312768278496,1.03084238114807,1.43969191623842,1.31096763523714,1.32401944507309,,,,,,,2023
15676,José Abreu,7.00160712126964,80,0.963421706090082,0.591207543887426,1.37024539670808,1.33932909151006,1.43446082855557,1.30294255451842,,,,,,,2023
16472,Rhys Hoskins,6.98823300537726,86,1.18600662085868,1.63682147559694,1.37024539670808,1.14528495138139,0.547800046390901,1.10207451444127,,,,,,,2023
12161,Xander Bogaerts,6.87535784156046,69,1.40859153562728,0.329804060960046,0.974275211888074,1.32628755426244,1.52341548274755,1.31298399607507,,,,,,,2023
14551,Anthony Santander,6.79955924650245,71,0.740836791321484,1.63682147559694,1.53994690448808,0.877155493039445,0.889963841682516,1.11483474037398,,,,,,,2023
12856,George Springer,6.72995768495349,53,1.46423776431943,1.37541799266957,0.974275211888074,1.12813854962417,0.749283791051839,1.03860437540041,,,,,,,2023
13419,Christian Walker,6.72859684253027,119,0.907775477397933,1.24471625120588,1.48337973522808,1.05349075882066,0.911041449351389,1.12819317052633,,,,,,,2023
18314,Dansby Swanson,6.57346317413692,76,1.35294530693513,0.721909285351116,1.14397671966808,0.808697242376584,1.31735931502974,1.22857530477628,,,,,,,2023
19709,Fernando Tatis Jr.,6.5236863184468,29,1.24165284955083,1.76752321706063,1.25711105818808,1.11453761585162,0.353500628380073,0.789360949415558,,,,,,,2023
19566,Nathaniel Lowe,6.50774547715586,118,0.796483020013634,0.721909285351116,0.974275211888074,1.32129510072119,1.39282922418483,1.30095363499701,,,,,,,2023
16505,Matt Chapman,6.3206994938443,142,1.13036039216653,1.63682147559694,1.25711105818808,0.885827808933358,0.411100100997457,0.99947865796193,,,,,,,2023
12546,C.J. Cron,6.12952356444844,141,0.629544333937185,1.24471625120588,1.53994690448808,1.00018117027386,0.75511847769982,0.960016426843619,,,,,,,2023
13301,Max Muncy,5.93537689629575,127,1.18600662085868,1.50611973413326,1.31367822744808,1.09529980928057,0.0721825066459584,0.762089997929215,,,,,,,2023
27676,Vinnie Pasquantino,5.900238281259,65,0.462605647860736,0.721909285351116,1.03084238114807,1.39814543610807,1.14272743143307,1.14400809935793,,,,,,,2023
16556,Ozzie Albies,5.83552899704613,44,1.13036039216653,0.852611026814806,1.08740955040807,0.705832485087957,1.04467052218155,1.01464502038721,,,,,,,2023
25931,Michael Harris II,5.75456574307768,62,1.18600662085868,0.329804060960046,0.974275211888074,0.798687128317259,1.3613574567938,1.10443526425982,,,,,,,2023
17548,Taylor Ward,5.7290111346757,124,1.18600662085868,0.852611026814806,0.578305027068071,1.15551544981366,0.911803843610435,1.04476916651005,,,,,,,2023
19290,Randy Arozarena,5.66786889095855,73,1.07471416347438,0.460505802423736,1.03084238114807,0.842789481852003,1.13498265830962,1.12403440375074,,,,,,,2023
18373,Ryan Mountcastle,5.65727203213222,173,0.462605647860736,1.11401450974219,1.37024539670808,0.736711155447343,1.00162913233349,0.97206619004039,,,,,,,2023
