Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Eric Haase","MIL",40.9205,142.563,131.294,27.972,18.3663,4.56257,0.218372,4.82484,15.0076,17.0547,9.53744,0.0868435,49.4315,0.665832,0.893715,0.172246,1.89282,0.704648,0.187431,0.213049,0.0668999,0.346735,0.192942,0.268103,0.361372,0.275085,0.629475,0.148323,3.23429,0.297021,-0.19923,-0.159778,12.65,-4.02679,74.4456,-0.359009,-0.249701,-4.715462177991867,2.9077491462230682,0.303613,719.6599731445312,1.46255,0.815269,1.36383,1.46255,-0.815269,3.18156,122.2,2.980487804,122.2,2.980487804,,,,,,,,,,,,,,,,,,,"Eric Haase","14111",606992
"Michael Toglia","COL",129.655,530.831,470.625,106.577,59.4588,20.0043,2.66944,24.4445,63.7054,66.5312,53.9798,1.59011,162.157,2.89627,3.16269,0.167335,6.95136,8.54357,1.98455,0.226459,0.101689,0.305479,0.332885,0.308017,0.43613,0.32142,0.744147,0.209672,4.86417,0.285991,-0.0508545,-0.000654767,66.8983,4.80274,92.8994,-0.0515093,-0.191588,-4.5587882325053215,-10.195799559354782,0.301841,197.14999389648438,1.74882,-0.757282,0.791407,1.74882,0.757282,3.94479,611.4,4.703076923,611.4,4.703076923,,,,,,,,,,,,,,,,,,,"Michael Toglia","25845",669911
"Will Benson","CIN",58.5128,211.278,183.211,38.2901,21.0986,8.57498,1.59795,7.0185,26.5849,22.1826,24.2979,0.320613,73.6635,1.81726,1.4082,0.544347,1.80178,8.64213,2.51928,0.208995,0.115004,0.348656,0.32985,0.305623,0.388167,0.304723,0.693791,0.179173,6.65529,0.300871,-0.161754,0.338,23.7871,-0.927827,88.2914,0.176245,0.724499,-2.781909689307213,-1.347031056880951,0.300212,621.9500122070312,4.17192,-0.134342,1.2009,4.17192,0.134342,3.3988,219.8,3.725423728,219.8,3.725423728,,,,,,,,,,,,,,,,,,,"Will Benson","21853",666181
"Darell Hernaiz","ATH",43.3267,152.119,139.098,33.5969,24.2536,6.25734,0.704958,2.38097,14.9501,13.8558,9.79286,0.124747,27.6815,1.0733,1.19783,0.956683,3.11193,2.6323,0.85261,0.241533,0.0643763,0.181973,0.353769,0.294141,0.348006,0.282517,0.642147,0.106473,4.65864,0.283179,0.00758775,-0.0950484,14.4077,-3.38685,81.0267,-0.0874607,-0.0367952,-3.4643434807658195,1.3004497699439526,0.299965,749.2899780273438,3.10276,0.669952,1.57413,3.10276,-0.669952,2.90115,129.2,3.004651162,129.2,3.004651162,,,,,,,,,,,,,,,,,,,"Darell Hernaiz","26224",687231
"Luke Maile","KCR",39.3551,131.013,116.468,24.2758,16.5181,5.17665,0.10331,2.47775,11.7437,11.4208,10.6482,0.00678106,38.4222,2.28832,0.909883,0.698749,2.57675,1.50465,0.297685,0.208433,0.081276,0.29327,0.277137,0.285558,0.318477,0.27076,0.604035,0.110043,3.57179,0.285024,-0.176392,-0.0520494,11.169,-4.15665,72.9391,-0.228441,-0.157082,-4.376508817076683,2.879576861858368,0.296221,999,1.41754,-0.535402,1.52088,1.41754,0.535402,2.97215,94.5,2.423076923,94.5,2.423076923,,,,,,,,,,,,,,,,,,,"Luke Maile","13355",571912
"Jhonny Pereda","ATH",29.8605,95.1515,85.4295,19.619,14.66,3.55179,0.0438334,1.36336,8.62557,7.55739,8.38057,0.0561438,21.9605,0.616675,0.603061,0.121738,2.3493,0.106637,0.0497422,0.229651,0.0880761,0.230795,0.38162,0.301129,0.32013,0.278248,0.621259,0.0904786,1.67252,0.291118,-0.012241,-0.185088,8.68524,-2.4454,78.0903,-0.197329,-0.110012,-2.636499360203743,2.194036401808262,0.281723,999,0.943427,0.581105,1.72118,0.943427,-0.581105,2.70509,75,2.5,75,2.5,,,,,,,,,,,,,,,,,,,"Jhonny Pereda","19802",640902
"Hunter Renfroe","KCR",98.6278,392.999,356.517,82.1242,49.7758,18.2866,0.283502,13.7783,42.4069,47.3101,31.2694,0.0684615,83.3129,2.5924,2.25367,0.366671,7.12107,0.989628,0.499339,0.230352,0.0795662,0.211993,0.375325,0.295406,0.399175,0.302847,0.694582,0.168824,2.33749,0.261182,-0.463773,-0.663873,43.6532,-2.3191,95.0124,-1.12765,-2.1942,-3.4210009574890137,-6.990040063858032,0.277094,531.8800048828125,2.11886,0.901588,0.437594,2.11886,-0.901588,4.41654,389.9,3.938383838,389.9,3.938383838,,,,,,,,,,,,,,,,,,,"Hunter Renfroe","15464",592669
"Matt Thaiss","CHW",41.6454,150.308,129.551,26.8799,18.7205,5.02277,0.0866846,3.04998,14.1653,13.9094,18.1436,0.323321,41.6241,1.32505,1.20676,0.0815578,2.33406,1.49198,0.306409,0.207486,0.12071,0.276926,0.435891,0.308525,0.318223,0.283055,0.626748,0.110737,3.22706,0.276824,-0.181478,-0.124555,14.3013,-3.28139,81.397,-0.306033,-1.59121,-3.5775815844535828,1.2441202402114868,0.276219,749.4400024414062,2.29523,0.171335,1.41428,2.29523,-0.171335,3.1143,122.8,2.923809523,122.8,2.923809523,,,,,,,,,,,,,,,,,,,"Matt Thaiss","19318",642136
"Tom Murphy","SFG",47.1453,166.306,149.967,34.2955,21.8703,6.84834,0.15993,5.4169,17.4692,17.3204,13.9552,0.0677949,49.0279,1.35165,0.938194,0.0947331,2.42426,0.4777,0.21704,0.228687,0.0839127,0.294805,0.284638,0.298429,0.384848,0.299588,0.683277,0.156161,2.36526,0.299384,-0.103841,-0.285245,18.0365,-1.41767,92.7702,-0.389086,-1.17529,-1.795866072177887,-1.0944499224424362,0.273761,746.7100219726562,2.6446,2.30337,1.36378,2.6446,-2.30337,3.18162,152.7,3.24893617,152.7,3.24893617,,,,,,,,,,,,,,,,,,,"Tom Murphy","13499",608596
"Andruw Monasterio","MIL",41.1675,145.115,128.568,29.6618,21.3729,5.84566,0.204389,2.23891,15.6157,13.8773,14.0989,0.0615052,35.7924,1.36651,0.999082,0.0817225,2.20956,4.68798,1.20207,0.230709,0.0971567,0.246649,0.393906,0.311152,0.331598,0.287983,0.642749,0.100889,4.66335,0.299586,-0.149259,0.160494,14.3828,-2.5924,83.127,0.011235,0.00238674,-2.916727968491614,0.7124281467404217,0.271431,999,2.3263,2.61378,1.56337,2.3263,-2.61378,2.91551,126.9,3.095121951,126.9,3.095121951,,,,,,,,,,,,,,,,,,,"Andruw Monasterio","19455",655316
