Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.794,637.98,516.446,145.961,74.5822,24.6325,0.505942,46.2405,103.886,114.589,111.649,10.0556,163.283,5.56194,4.16093,0.162742,10.044,7.5154,1.68251,0.282626,0.175004,0.255937,0.683777,0.412613,0.60089,0.424136,1.0135,0.318264,3.33978,0.320559,0.0762106,-0.612697,133.145,58.5151,178.448,-0.536487,-2.59787,58.02039819955826,-9.806736707687378,7.17471,3.390000104904175,3.2295,-0.302923,1.58721,3.2295,0.302923,2.88371,1175.8,8.053424657,1175.8,8.053424657,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",153.199,667.874,606.313,178.284,104.874,35.4757,7.78881,30.1456,104.742,96.1177,48.5399,4.65568,108.673,6.3297,6.03427,0.656923,6.26627,32.712,9.97353,0.294046,0.0726782,0.162714,0.446661,0.349441,0.527407,0.371198,0.876849,0.233362,7.20043,0.312838,1.51426,1.27904,110.927,32.8004,142.031,2.7933,2.63133,35.637457847595215,9.723867893218994,6.98299,1.5099999904632568,4.78934,0.698719,0.53929,4.78934,-0.698719,4.28095,1019.6,6.664052287,1019.6,6.664052287,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.077,664.574,583.55,157.554,90.2219,30.3677,5.80566,31.1592,102.688,89.0437,70.5168,1.77608,150.034,5.70862,4.26163,0.537324,8.7193,16.4526,3.9059,0.269993,0.106108,0.225759,0.470006,0.352059,0.502119,0.36575,0.854177,0.232125,6.18363,0.310845,1.11939,0.408943,107.465,29.7242,143.691,1.52834,-1.60339,34.751317620277405,5.43722140789032,6.43859,5.630000114440918,2.38192,-0.251422,0.655087,2.38192,0.251422,4.12655,963.6,6.339473684,963.6,6.339473684,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",152.829,674.099,537.01,147.643,83.7458,27.3431,2.1607,34.3939,107.086,96.3942,128.606,6.63012,112.497,3.9966,3.85038,0.635093,12.9867,8.34198,3.26204,0.274936,0.190783,0.166885,1.1432,0.416127,0.526042,0.403407,0.942169,0.251105,3.84641,0.287457,-1.28864,-1.30794,129.436,50.5814,164.188,-2.59658,-3.16649,48.028928995132446,-11.204528331756592,6.12274,8.489999771118164,1.7638,0.529093,1.13714,1.7638,-0.529093,3.48381,1106.9,7.234640522,1106.9,7.234640522,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",145.497,644.84,554.884,158.916,83.206,29.1777,5.13852,41.394,113.156,104.934,80.593,9.99975,147.001,4.90021,3.89497,0.568171,6.89933,34.1049,8.18763,0.286395,0.124981,0.227964,0.548249,0.379357,0.581298,0.402278,0.960655,0.294902,6.95037,0.317298,0.433429,2.25241,123.232,47.8,163.412,2.68584,0,50.528037548065186,-13.789681434631348,6.01317,1.5399999618530273,4.04549,-0.211248,0.387255,4.04549,0.211248,4.48366,1133.6,7.817931034,1133.6,7.817931034,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mookie Betts","LAD",148.441,653.031,564.748,157.296,94.2433,32.6952,2.84745,27.5099,100.821,90.765,76.7298,2.29433,88.1924,6.01819,4.98727,0.547417,8.33248,15.1464,3.44039,0.278524,0.117498,0.135051,0.870027,0.367893,0.492637,0.370126,0.86053,0.214113,5.28417,0.285851,0.132205,0.257113,107.898,31.5078,141.294,0.389319,-4.06853,31.93988808989525,2.2841849327087402,5.78169,12.119999885559082,1.62422,0.799452,0.67269,1.62422,-0.799452,4.10308,959.3,6.481756756,959.3,6.481756756,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"José Ramírez","CLE",152.65,661.565,589.622,161.441,92.7193,36.1541,3.27084,29.2964,94.2884,97.6392,62.6414,10.1003,77.9553,3.09862,6.00609,0.196476,6.67317,30.3029,7.59518,0.273804,0.0946868,0.117835,0.803556,0.343501,0.495276,0.354372,0.838777,0.221472,5.90836,0.270579,0.922698,1.81357,100.92,23.5311,134.306,2.73626,1.31296,28.705060482025146,3.0797460079193115,5.56031,5.170000076293945,3.34372,-0.0323045,0.316637,3.34372,0.0323045,4.57782,938.3,6.132679738,938.3,6.132679738,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Yordan Alvarez","HOU",135.61,591.149,503.336,150.001,81.6164,30.4415,1.83147,36.1121,88.8792,97.2072,73.4119,9.91221,98.2378,9.62783,4.60975,0.163038,9.58931,3.15674,0.544408,0.298015,0.124185,0.166181,0.747288,0.394326,0.581008,0.409192,0.975334,0.282993,3.32142,0.304846,-0.649134,-0.810445,116.261,47.1094,173.17,-1.45958,-0.886964,48.032227754592896,-14.325925588607788,5.51633,17.489999771118164,3.05654,0.779727,1.40785,3.05654,-0.779727,3.12287,1025.7,7.541911764,1025.7,7.541911764,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Julio Rodríguez","SEA",147.362,640.763,584.015,159.947,103.204,27.6052,2.13757,27.0007,88.9277,83.8626,45.1929,2.9821,153.292,8.26715,2.81453,0.473115,9.4193,27.3377,6.75505,0.273875,0.0705298,0.239233,0.294816,0.333298,0.467162,0.344272,0.80046,0.193287,5.68318,0.327022,0.688764,1.51877,92.5378,17.5826,132.338,2.20754,3.1706,25.916745901107788,5.257143974304199,5.4256,13.170000076293945,2.39754,-0.659001,0.264875,2.39754,0.659001,4.64683,849.1,5.776190476,849.1,5.776190476,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",152.768,671.035,595.919,153.091,91.7908,30.4071,2.47807,28.4149,98.2258,87.284,59.4193,1.40827,127.341,9.99568,4.85799,0.843228,8.33848,24.3089,5.51778,0.256899,0.0885486,0.189768,0.466615,0.332003,0.459289,0.341564,0.791292,0.20239,5.75457,0.280158,0.300926,1.36586,95.4471,16.9507,121.646,1.66678,3.84994,18.66143560409546,10.681981801986694,5.33958,15.609999656677246,3.11569,1.02159,0.635084,3.11569,-1.02159,4.15322,858.2,5.609150326,858.2,5.609150326,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Corey Seager","TEX",126.473,549.602,485.901,136.785,79.2471,26.809,0.852406,29.8764,76.6437,82.7865,54.7198,8.3031,94.2794,4.55602,3.96235,0.462554,9.25045,1.60261,0.608112,0.281508,0.0995627,0.171541,0.580401,0.357033,0.52465,0.372316,0.881682,0.243142,2.66499,0.292333,-0.988825,-0.953517,91.7779,27.4865,145.703,-1.94234,-0.310685,26.798323273658752,3.5427497923374176,5.02574,49.369998931884766,5.43175,1.14381,1.07816,5.43175,-1.14381,3.56245,828.2,6.573015873,828.2,6.573015873,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Kyle Tucker","CHC",148.038,642.023,550.887,152.628,89.4008,30.3631,2.23348,30.6307,94.0524,93.906,83.1655,5.86552,98.9114,2.49881,5.04245,0.429859,8.54553,21.0367,4.62008,0.277059,0.129537,0.154062,0.840808,0.371407,0.507092,0.374871,0.878499,0.230033,5.09161,0.286119,0.707206,1.00078,108.532,33.4289,144.558,1.70798,0.0726375,35.178916454315186,-7.935257017612457,5.02289,8.289999961853027,2.42548,0.606354,0.291167,2.42548,-0.606354,4.61178,976.5,6.597972972,976.5,6.597972972,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Ketel Marte","ARI",141.018,613.803,536.896,148.11,86.4615,30.1564,3.3259,28.1658,89.3252,88.6049,65.5669,4.34541,109.41,5.49698,5.34423,0.498685,11.3236,6.98248,1.66203,0.275863,0.106821,0.178249,0.599277,0.357365,0.501801,0.366575,0.859166,0.225939,4.71687,0.296403,-0.204366,-0.4856,99.6624,27.8609,134.762,-0.689966,-0.687567,24.82480823993683,-0.04188030958175659,4.67055,31.440000534057617,3.1838,1.22753,0.829921,3.1838,-1.22753,3.89344,879.8,6.239716312,879.8,6.239716312,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Vladimir Guerrero Jr.","TOR",153.668,666.464,586.856,173.094,107.848,33.6854,0.631212,30.9295,92.3998,98.9642,68.5484,7.5304,94.0998,6.62034,3.98431,0.455019,15.8565,4.15885,1.8484,0.294952,0.102854,0.141193,0.728464,0.372762,0.512614,0.377479,0.885376,0.217662,2.82496,0.305198,-1.35005,-1.30186,114.062,36.1003,150.665,-2.6519,-2.31213,35.983914613723755,-13.279914617538452,4.63933,15.289999961853027,3.55329,0.535755,1.36833,3.55329,-0.535755,3.17556,1007.5,6.542207792,1007.5,6.542207792,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Fernando Tatis Jr.","SDP",145.164,629.007,565.982,153.75,89.1718,31.0268,1.62127,31.9303,95.4142,87.5402,52.523,1.03005,138.004,6.64544,3.16281,0.694484,10.3837,20.4831,5.09084,0.271652,0.0835014,0.2194,0.38059,0.338874,0.501448,0.360027,0.840322,0.229796,5.50765,0.305152,0.855332,0.87216,98.8165,25.2364,134.347,1.72749,3.62302,27.005098581314087,-3.4788267612457275,4.59418,10.930000305175781,5.18998,-0.996725,0.352424,5.18998,0.996725,4.5301,902.5,6.224137931,902.5,6.224137931,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"William Contreras","MIL",147.683,619.758,545.695,147.32,93.9279,29.1944,1.28383,22.9142,81.0461,83.4468,66.4284,2.53798,131.499,4.20587,3.01998,0.408728,14.6369,6.66361,1.62071,0.269968,0.107184,0.212179,0.505161,0.351909,0.454146,0.349385,0.806055,0.184178,3.73678,0.31551,-0.707949,-0.602439,92.0546,19.5565,124.454,-1.31039,0.448303,16.81293773651123,6.145957261323929,4.50265,23.850000381469727,2.42375,-0.414812,0.661341,2.42375,0.414812,4.11821,800.9,5.411486486,800.9,5.411486486,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Adley Rutschman","BAL",145.552,613.36,536.2,137.941,89.0671,27.6567,1.2696,19.9481,76.4957,72.5928,68.0304,3.05171,96.8002,3.85358,4.74984,0.526268,9.9099,1.67875,0.451395,0.257257,0.110914,0.15782,0.702792,0.342386,0.42518,0.334027,0.767566,0.167923,2.74597,0.278154,0.376247,-1.09328,83.5227,11.773,121.376,-0.71703,2.25127,14.285205662250519,8.390790224075317,4.45361,67.0999984741211,2.60463,-1.86357,0.624965,2.60463,1.86357,4.16671,731.5,5.010273972,731.5,5.010273972,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Jackson Merrill","SDP",151.272,628.544,581.592,160.818,100.115,31.1893,4.70983,24.8039,79.1544,86.6278,36.4753,1.97128,104.245,2.28444,4.91359,3.27862,7.15217,15.7098,3.76344,0.276513,0.0580314,0.165852,0.3499,0.319189,0.474282,0.33876,0.793471,0.197769,5.45929,0.297326,-0.29318,0.537239,87.9847,14.4589,119.717,0.244059,4.68191,14.744113847613335,6.819775104522705,4.38991,25.540000915527344,3.52637,-1.81571,0.463745,3.52637,1.81571,4.38167,806.2,5.339072847,806.2,5.339072847,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Elly De La Cruz","CIN",149.682,648.202,580.018,147.198,84.8148,30.7727,7.29452,24.3159,97.4464,76.9188,59.4589,2.31985,197.915,4.72637,2.57024,1.42871,7.80225,54.4508,12.1198,0.253782,0.091729,0.305329,0.300426,0.326828,0.457758,0.337652,0.784585,0.203976,8.44875,0.341001,-0.429077,4.82388,90.1583,14.3329,110.455,4.3948,0.907189,12.498674869537354,7.739656865596771,4.3195,4.340000152587891,3.13792,-1.28463,1.84376,3.13792,1.28463,2.54165,859.6,5.730666666,859.6,5.730666666,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Freddie Freeman","LAD",148.706,651.175,561.795,162.961,103.676,34.4259,2.12931,22.7306,93.607,89.1833,74.9187,8.98084,104.007,8.87728,5.35436,0.230262,10.6034,10.7771,2.76295,0.290073,0.115052,0.159723,0.72032,0.379076,0.480314,0.368252,0.859389,0.190241,4.48682,0.318409,0.177183,-0.372314,106.61,30.4365,140.005,-0.195131,0.753083,30.28400045633316,-10.866072118282318,4.24616,25.020000457763672,2.21407,-0.962302,0.992834,2.21407,0.962302,3.67622,941.5,6.318791946,941.5,6.318791946,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Austin Riley","ATL",149.824,647.521,579.394,155.205,90.5554,30.9901,2.08915,31.5703,91.1915,92.5073,53.3574,1.64309,157.044,9.09361,5.51954,0.156512,10.3242,1.50629,0.371909,0.267875,0.0824025,0.24253,0.339762,0.336218,0.492038,0.354541,0.828257,0.224164,3.15299,0.311972,0.0405179,-1.04399,98.8654,23.1196,127.104,-1.00347,-2.91502,19.983254313468933,-0.6029291152954102,4.22854,31.290000915527344,3.37277,-0.341426,1.17128,3.37277,0.341426,3.4383,880.9,5.872666666,880.9,5.872666666,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Corbin Carroll","ARI",150.102,652.599,566.871,145.91,85.5588,27.6789,9.73077,22.9415,106.923,74.9641,67.5452,1.1118,126.16,10.3169,4.72884,3.1362,7.13645,39.1905,6.9487,0.257395,0.103502,0.193319,0.535394,0.34455,0.461965,0.348366,0.806515,0.20457,8.53962,0.29105,1.45788,3.74281,96.3976,20.0578,122.506,5.20069,1.71052,22.764098644256592,-4.6595659255981445,4.11425,9.020000457763672,1.64273,0.115956,1.31244,1.64273,-0.115956,3.25008,893.5,5.956666666,893.5,5.956666666,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Cal Raleigh","SEA",141.768,572.609,506.763,111.069,59.1729,21.915,0.901887,29.0794,67.9537,82.8221,57.4266,2.20008,158.134,4.12509,4.13475,0.159023,6.04254,2.97932,0.820104,0.219174,0.100289,0.276164,0.363151,0.301548,0.438126,0.318683,0.739673,0.218952,3.04984,0.253301,-0.839325,-0.671728,70.902,3.91937,114.339,-1.51105,5.57941,7.883310079574585,12.72613000869751,4.09988,86.93000030517578,1.26331,-0.673955,1.39234,1.26331,0.673955,3.14355,642.6,4.525352112,642.6,4.525352112,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Ronald Acuña Jr.","ATL",116.932,524.769,452.312,128.397,80.868,24.3165,1.79271,21.4197,90.4977,62.8647,61.6869,2.05403,98.364,7.69437,2.57253,0.503966,8.33651,31.026,9.57984,0.283868,0.117551,0.187442,0.627129,0.377248,0.487623,0.373784,0.864871,0.203755,6.19145,0.319239,2.55094,1.15568,88.2512,26.8646,140.056,3.70663,-1.02257,28.842713356018066,-6.8015782833099365,4.08117,33.119998931884766,5.28772,-0.428088,0.997047,5.28772,0.428088,3.6706,784.1,6.701709401,784.1,6.701709401,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Trea Turner","PHI",145.594,635.012,587.059,162.71,108.073,31.1777,2.28725,21.1724,91.2716,76.2986,38.4035,0.430914,121.887,5.61378,3.41811,0.517726,10.0624,22.928,4.44344,0.277161,0.0604767,0.191944,0.315075,0.325814,0.446258,0.333787,0.772072,0.169096,5.85626,0.316343,0.884661,1.58901,86.3486,12.0661,113.739,2.47367,-2.47488,12.906257390975952,4.265589714050293,3.95744,26.34000015258789,1.64345,1.99114,0.595833,1.64345,-1.99114,4.20556,789,5.404109589,789,5.404109589,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Michael Harris II","ATL",139.644,591,547.864,153.161,98.6641,29.6997,3.51479,21.2824,83.9056,70.9794,33.0785,2.16795,114.673,5.86961,3.33726,0.85046,9.318,18.3164,5.08892,0.27956,0.0559704,0.194032,0.28846,0.325526,0.463139,0.338425,0.788666,0.183579,6.01315,0.317591,0.957675,0.533258,82.5696,13.4356,116.257,1.49093,3.08195,12.979794383049011,5.2369544506073,3.91398,37.61000061035156,4.50925,-0.49816,0.591772,4.50925,0.49816,4.21097,753.2,5.38,753.2,5.38,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Bryce Harper","PHI",143.415,622.24,532.649,147.61,85.8434,33.5844,0.903035,27.2786,87.8204,88.0481,80.3247,9.54583,133.731,4.01862,4.51324,0.734422,11.8357,8.96022,3.6349,0.277123,0.12909,0.214918,0.600645,0.373211,0.497205,0.37067,0.870416,0.220082,3.78397,0.319899,-0.772978,-0.94796,103.083,30.295,138.564,-1.72094,1.42707,26.973409414291382,-9.825238108634949,3.91106,22.06999969482422,2.75314,-0.986012,0.722772,2.75314,0.986012,4.0363,911.8,6.376223776,911.8,6.376223776,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Matt Chapman","SFG",148.119,624.399,548.789,131.883,73.8515,30.2927,2.16915,25.5697,81.2858,77.165,64.0065,1.44197,160.285,7.2568,4.18033,0.166535,8.05894,9.18013,2.16119,0.240317,0.102509,0.256703,0.399329,0.325434,0.4432,0.33288,0.768634,0.202883,4.74632,0.289592,0.697164,-0.173195,84.4494,11.4084,115.672,0.523969,2.74393,11.973266661167145,5.029727458953857,3.90461,133.77999877929688,2.70764,1.34522,0.76147,2.70764,-1.34522,3.98471,757.5,5.118243243,757.5,5.118243243,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Will Smith","LAD",124.482,510.595,442.488,112.166,69.0509,21.7001,1.91802,19.4969,67.3942,69.4733,51.3519,3.06299,91.7614,10.2182,6.35331,0.182885,7.34686,1.90275,0.440535,0.253489,0.100573,0.179715,0.559624,0.340384,0.443386,0.338528,0.78377,0.189896,3.38591,0.274507,-0.551561,-0.804611,71.3785,11.6501,119.557,-1.35617,1.61788,10.327376008033752,10.33632493019104,3.89107,102.44000244140625,3.26268,0.0151274,0.481352,3.26268,-0.0151274,4.3582,625.8,5.046774193,625.8,5.046774193,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Dansby Swanson","CHC",149.177,622.681,559.719,136.829,89.8654,25.9295,1.76431,19.2701,77.5123,73.7928,55.2615,0.850869,152.211,3.6629,3.60334,0.434454,9.18399,15.0639,3.78922,0.244461,0.0887477,0.244445,0.363059,0.314592,0.400376,0.312519,0.714969,0.155915,4.99842,0.300018,0.977633,0.310517,74.0128,1.17278,101.666,1.28815,5.20422,2.501723051071167,12.11055850982666,3.65179,174.14999389648438,1.7345,0.224248,0.466376,1.7345,-0.224248,4.37817,666.9,4.475838926,666.9,4.475838926,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Willy Adames","SFG",150.233,642.362,571.239,137.178,80.6846,30.6533,1.0907,24.749,80.6085,83.2051,63.455,2.03863,156.719,2.98835,4.27621,0.402485,8.64834,13.2739,3.47805,0.24014,0.098784,0.243973,0.404898,0.317187,0.427595,0.322742,0.744782,0.187455,4.47716,0.285317,0.272178,0.101051,81.6375,6.49532,108.698,0.373229,-0.0242835,6.910631477832794,6.930952984839678,3.63992,96.83000183105469,2.55919,0.163002,0.774939,2.55919,-0.163002,3.96675,741.1,4.940666666,741.1,4.940666666,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Marcus Semien","TEX",148.898,656.126,589.991,145.802,92.9347,28.8934,3.0923,20.8819,91.6188,72.9777,58.1397,0.662502,101.283,3.90125,3.49539,0.598844,7.90781,9.69145,2.91426,0.247127,0.0886106,0.154365,0.574032,0.317063,0.412763,0.318115,0.729825,0.165636,5.02305,0.265043,0.906214,-0.45991,80.943,4.19071,107.576,0.446303,4.97887,6.134259223937988,7.083187103271484,3.62399,102.58999633789062,2.06397,-0.269283,0.767876,2.06397,0.269283,3.97617,722.8,4.851006711,722.8,4.851006711,,,,,,,,,,,,,,,,,,,"Marcus Semien","12533",543760
"Riley Greene","DET",140.54,602.778,533.049,141.111,88.1548,26.4491,4.81602,21.6907,78.5697,72.4436,61.7232,2.19734,154.763,4.75871,3.04825,0.198543,8.72839,5.97806,1.81762,0.264723,0.102398,0.25675,0.398824,0.344506,0.454486,0.345561,0.798993,0.189763,4.93408,0.33205,0.232919,-0.743651,87.6775,17.1657,128.056,-0.510732,2.76058,18.83972269296646,-3.936579942703247,3.61442,114.19999694824219,1.52521,-0.656299,0.521786,1.52521,0.656299,4.30429,774.1,5.490070921,774.1,5.490070921,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Rafael Devers","BOS",146.844,637.505,560.864,150.474,84.9166,32.0406,2.66194,30.8549,88.3048,94.1858,66.0179,10.05,138.437,6.22878,3.97555,0.419219,11.3328,3.68468,1.07612,0.26829,0.103557,0.217154,0.47688,0.349593,0.499949,0.359777,0.849542,0.231659,3.76036,0.302414,-0.256007,-0.859978,100.023,25.4487,131.069,-1.11599,-4.24239,21.547287821769714,-8.143834829330444,3.57909,35.119998931884766,1.65326,-0.044188,1.05344,1.65326,0.044188,3.59541,901.1,6.129931972,901.1,6.129931972,,,,,,,,,,,,,,,,,,,"Rafael Devers","17350",646240
"Jordan Westburg","BAL",136.699,567.556,516.621,135.845,82.266,29.0079,3.86478,20.7066,70.6241,72.9832,39.1874,0.587273,127.888,7.55768,3.23684,0.953469,7.77434,10.0255,2.34893,0.26295,0.0690458,0.225331,0.30642,0.322255,0.454303,0.334889,0.776558,0.191354,5.42238,0.310127,-0.403111,0.0402029,77.6792,11.2875,121.983,-0.362908,0.0503023,13.912675946950912,1.3465285748243332,3.52993,92.93000030517578,3.46273,-0.0253743,0.282025,3.46273,0.0253743,4.62397,703.3,5.133576642,703.3,5.133576642,,,,,,,,,,,,,,,,,,,"Jordan Westburg","27815",676059
"Carlos Correa","MIN",119.791,516.203,453.063,120.653,76.8596,24.3849,1.51174,17.8964,66.3731,63.6753,54.6841,2.91571,98.4855,4.12912,3.90781,0.418885,11.3064,0.38105,0.122734,0.266304,0.105935,0.190788,0.55525,0.347947,0.445302,0.343344,0.793249,0.178998,2.53981,0.301701,-0.306648,-1.02127,74.1637,13.7792,125.982,-1.32792,-1.47476,14.018200278282166,2.6846683025360107,3.50223,249.4600067138672,3.3749,0.751247,0.669052,3.3749,-0.751247,4.10793,651.8,5.431666666,651.8,5.431666666,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Manny Machado","SDP",148.131,631.216,574.777,151.519,94.4004,27.053,0.825535,29.2403,79.6256,94.8007,49.7687,4.37302,121.549,1.76245,4.72674,0.181072,13.2878,8.05448,2.25936,0.263614,0.0788458,0.192563,0.409455,0.321774,0.466171,0.336652,0.787944,0.202557,3.58136,0.285222,-0.677462,-0.4214,87.2878,13.4494,118.267,-1.09886,-0.293334,12.391870021820068,0.4526159167289734,3.49859,38.72999954223633,2.72423,-1.28699,0.827782,2.72423,1.28699,3.89629,798.4,5.394594594,798.4,5.394594594,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Jarren Duran","BOS",148.148,645.841,587.409,157.447,93.7741,36.9794,8.32368,18.3697,90.773,69.0759,48.6593,1.25984,147.608,5.73026,2.90083,1.14154,7.24308,29.8898,5.8487,0.268036,0.0753425,0.228552,0.329652,0.328582,0.453147,0.336855,0.781728,0.185111,7.6511,0.327755,0.155181,2.44978,89.4159,13.8667,114.946,2.60496,1.12415,13.649793148040771,-1.8430997133255005,3.44288,21.239999771118164,3.72841,0.196694,0.88998,3.72841,-0.196694,3.81336,819.5,5.537162162,819.5,5.537162162,,,,,,,,,,,,,,,,,,,"Jarren Duran","24617",680776
"Jazz Chisholm Jr.","NYY",141.745,604.374,544.372,134.49,82.2026,22.2594,3.33353,26.6948,82.6633,76.3101,50.8323,2.60006,154.375,4.68267,3.64932,0.837204,6.5638,38.0245,8.57311,0.247056,0.0841075,0.25543,0.329277,0.31482,0.447307,0.327866,0.762127,0.200251,6.76935,0.29376,-0.277038,3.06634,79.3023,8.60379,112.223,2.7893,-0.717763,11.43268632888794,1.4696624279022217,3.4122,24.31999969482422,2.13697,-0.851783,1.18565,2.13697,0.851783,3.41913,756.1,5.324647887,756.1,5.324647887,,,,,,,,,,,,,,,,,,,"Jazz Chisholm Jr.","20454",665862
"Alex Bregman","BOS",138.223,629.331,555.083,143.486,90.3412,28.9926,1.87088,22.281,80.1322,80.4964,62.2494,0.55072,81.1814,6.80383,4.75905,0.435828,11.4378,2.81592,0.873813,0.258494,0.0989135,0.128996,0.766793,0.337956,0.437886,0.337529,0.775841,0.179392,3.35368,0.265579,-1.15295,-1.04438,87.4715,13.8536,115.42,-2.19733,0.801541,8.906547784805298,2.9346142411231995,3.3896,151.22000122070312,1.36416,0.546459,0.72129,1.36416,-0.546459,4.03828,758,5.492753623,758,5.492753623,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Isaac Paredes","HOU",141.039,593.371,509.801,120.975,73.9615,23.6229,0.981696,22.4087,70.562,75.9735,65.492,0.849311,99.2121,13.592,4.06453,0.421519,10.7991,1.3192,0.538442,0.237298,0.110373,0.167201,0.660121,0.337396,0.419355,0.332161,0.756751,0.182056,2.56238,0.251287,-0.686846,-1.15543,79.9094,10.4981,118.985,-1.84228,-0.495527,11.047097086906433,1.6810068190097809,3.3574,198.9499969482422,2.70987,-0.514101,0.787301,2.70987,0.514101,3.95026,685.8,4.863829787,685.8,4.863829787,,,,,,,,,,,,,,,,,,,"Isaac Paredes","20036",670623
"Gabriel Moreno","ARI",118.862,450.211,400.188,110.839,79.0725,21.8453,1.18705,8.73387,51.2835,53.489,41.936,0.700187,74.2221,3.91702,3.69881,0.470982,11.1086,4.96007,1.46336,0.276967,0.0931474,0.164861,0.565007,0.348405,0.40296,0.329924,0.751366,0.125993,3.63213,0.318152,-0.743555,-0.581095,59.8196,7.15482,110.093,-1.32465,4.46313,4.109329342842102,12.798718929290771,3.29461,192.1699981689453,1.73095,-0.981967,1.01563,1.73095,0.981967,3.64583,520.4,4.373109243,520.4,4.373109243,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Mike Trout","LAA",107.796,464.339,399.109,102.543,54.1222,18.2305,2.66081,27.5295,66.9438,67.2306,56.2044,3.60469,120.352,6.54209,2.34866,0.134771,3.85721,7.1385,1.70436,0.256929,0.121042,0.25919,0.466999,0.35607,0.522873,0.373869,0.878943,0.265943,5.08045,0.295822,-0.218322,-0.156504,78.1203,23.8027,145.006,-0.374826,-1.98845,23.53682366013527,-7.4167855978012085,3.26348,136.50999450683594,1.81863,0.166589,0.605262,1.81863,-0.166589,4.19298,707,6.546296296,707,6.546296296,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Wyatt Langford","TEX",141.758,602.232,536.478,139.832,85.9253,28.7161,4.20376,20.9866,81.3131,75.9211,56.5528,2.44958,121.406,5.23247,3.73124,0.237089,7.42235,19.2924,4.23754,0.260648,0.0939054,0.201593,0.465817,0.334915,0.447204,0.337814,0.782119,0.186556,6.12563,0.298743,-0.101867,0.995797,83.8428,13.3949,121.433,0.89393,2.00949,15.663051307201385,-4.258424758911133,3.25122,45.72999954223633,2.6609,-0.444842,0.254617,2.6609,0.444842,4.66051,763.2,5.374647887,763.2,5.374647887,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
