Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Marcus Stroman","NYY",6.08016,6.51564,5.77199,4.41445,32.8377,16.6489,0.117023,2.2701,0.0693444,109.12,471.835,110.05,58.1769,53.5227,13.2926,40.0138,0.502769,4.36769,85.2492,7.03118,3.30026,2.13049,1.09634,0.180676,0.0848047,0.09587100893259048,0.257454,1.37522,0.294173,0.699003,,,4.40777,0.777894,0.792754,589.5399780273438,2.50655,-0.692276,0.758795,2.50655,0.692276,3.98827,406.70000000000005,3.7311926605504593,422,3.871559633027523,,,,,,,,,,,,,,,,,,,"Marcus Stroman","13431",573186
"Bryan Abreu","HOU",3.50698,2.43885,0,3.15577,68.0451,0,4.53132,21.7206,4.05388,71.1383,295.434,54.5028,27.113,24.944,7.20959,29.5686,0.729657,4.26869,92.5849,11.7133,3.74085,3.13119,0.912116,0.313386,0.100085,0.2133004441857338,0.208347,1.1818,0.29229,0.769937,,,3.30799,0.776093,0.962259,460.55999755859375,1.68179,-1.13146,0.86762,1.68179,1.13146,3.84317,493.29999999999995,6.947887323943661,461,6.492957746478873,,,,,,,,,,,,,,,,,,,"Bryan Abreu","16609",650556
"Kyle Hendricks","LAA",4.92228,8.23038,6.55361,5.04506,21.6806,21.6806,0,0,0,116.111,502.251,126.39,70.747,65.0872,19.2235,33.5613,0.622557,4.41757,80.8479,6.2667,2.60141,2.40896,1.49006,0.160971,0.0668217,0.09414930641651154,0.272233,1.37758,0.294251,0.670516,,,4.90746,0.775525,0.182157,716,2.13058,-0.213494,1.21341,2.13058,0.213494,3.38212,345.1,2.975,381,3.2844827586206895,,,,,,,,,,,,,,,,,,,"Kyle Hendricks","12049",543294
"Luis Garcia","HOU",6.06964,5.25509,4.24193,4.1819,33.1977,12.2654,0.74835,5.68796,2.08463,89.3552,374.29,82.7255,45.1298,41.5194,13.1441,28.6699,0.4863,2.87053,87.3593,8.79897,2.88767,3.04708,1.32389,0.2334,0.0765981,0.1568022444844246,0.241359,1.24666,0.287235,0.712582,,,4.18238,0.775352,0.681503,461.2699890136719,4.12422,-0.409605,0.153091,4.12422,0.409605,4.79588,389.90000000000003,4.380898876404495,383,4.303370786516854,,,,,,,,,,,,,,,,,,,"Luis Garcia","23735",677651
"Kyle Wright","KCR",5.26739,4.8837,4.76548,4.31838,26.486,11.9108,0,0.702421,0,78.3421,338.2,77.71,40.8588,37.5901,9.16905,27.7091,0.381975,4.80537,68.7004,7.89235,3.18324,2.47934,1.05335,0.203135,0.0819311,0.12120421230792999,0.254215,1.34562,0.300861,0.697328,,,4.17922,0.773306,0.594335,619.760009765625,2.03059,-1.70908,0.250393,2.03059,1.70908,4.66614,306.70000000000005,3.9320512820512827,316,4.051282051282051,,,,,,,,,,,,,,,,,,,"Kyle Wright","19665",657140
"Josh Hader","HOU",4.68909,4.13791,0,3.21699,61.1603,0,33.1797,1.40542,4.16662,62.4857,253.232,44.0394,24.2772,22.3351,7.81027,24.7067,0.757219,2.65253,87.4811,12.6002,3.55858,3.54079,1.12494,0.345459,0.0975655,0.24789316207170486,0.194975,1.10019,0.277445,0.769201,,,3.30489,0.773003,0.794835,39.06999969482422,1.4816,0.950493,2.09444,1.4816,-0.950493,2.20741,505,8.14516129032258,465,7.5,,,,,,,,,,,,,,,,,,,"Josh Hader","14212",623352
"Lucas Erceg","KCR",3.58509,3.48278,0,3.53626,60.841,0,14.0278,13.0827,4.2521,64.753,273.618,55.8727,27.655,25.4426,4.97494,24.2663,1.32827,4.69953,73.5393,10.2212,3.37277,3.03051,0.691465,0.268766,0.0886869,0.18007943034172058,0.228376,1.23761,0.306359,0.717249,,,3.23587,0.772925,0.605981,168.0500030517578,2.52761,-0.873761,1.0918,2.52761,0.873761,3.54427,456.9,7.029230769230769,443,6.815384615384615,,,,,,,,,,,,,,,,,,,"Lucas Erceg","19360",668674
"Andrés Muñoz","SEA",3.83987,3.78837,0,2.73272,57.338,0,26.6155,5.66182,4.96155,59.6047,243.368,43.551,19.6719,18.0981,4.87314,23.1518,1.93474,3.30938,76.1208,11.4938,3.49579,3.28791,0.735819,0.31278,0.0951306,0.21764972060918808,0.200782,1.11908,0.284578,0.785414,,,3.00697,0.763038,1.00807,62.2400016784668,2.00796,-0.35511,1.85292,2.00796,0.35511,2.52944,501.1,8.351666666666667,468,7.8,,,,,,,,,,,,,,,,,,,"Andres Munoz","20373",662253
"Colin Rea","CHC",7.30684,7.15033,6.30048,4.56645,31.5131,18.4978,0.171326,0.527508,0,118.198,501.606,119.528,65.1866,59.9717,18.5662,32.558,1.08825,5.56361,94.2982,7.18018,2.47907,2.89632,1.41369,0.187992,0.0649074,0.12308502197265625,0.25789,1.2867,0.287952,0.689167,,,4.58045,0.753586,0.664378,603.6099853515625,2.39677,0.70113,0.818332,2.39677,-0.70113,3.90889,402.5,3.4110169491525424,418,3.542372881355932,,,,,,,,,,,,,,,,,,,"Colin Rea","12317",607067
"Devin Williams","NYY",4.70167,2.96743,0,2.87118,55.9142,0,31.498,2.64834,3.79894,58.5122,240.641,40.267,20.2897,18.6666,5.12477,27.1341,1.25842,3.04316,79.5661,12.2384,4.1736,2.93233,0.788261,0.330643,0.112758,0.21788492053747177,0.191325,1.15191,0.279411,0.782238,,,3.13267,0.75132,1.11951,40.20000076293945,4.00955,0.587298,2.04494,4.00955,-0.587298,2.27342,508.1,8.611864406779661,467,7.915254237288136,,,,,,,,,,,,,,,,,,,"Devin Williams","15816",642207
