Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Rayner Santana",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.156787,0.045,0.3697,0.12172,0.202274,0.244738,0.198915,0.447012,0.087951,3.91038,0.230769,0,-0.000960154,0.0226322,-0.099212,18.7579,-0.000960154,0,-0.09995596605585888,0.020999999716877937,-0.00448116,999,,,,"sa3008897"
"Dennis Ortega",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.200947,0.068,0.2997,0.226894,0.262152,0.298943,0.24982,0.561095,0.097996,4.05709,0.278462,0,-0.00123901,0.0649094,-0.0569348,53.4532,-0.00123901,0,-0.05795760056935251,-0.020999999716877937,-0.00448133,999,,,,"sa828381"
"Kevin Cron",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.200598,0.039,0.358,0.108939,0.238503,0.368758,0.260224,0.607261,0.16816,3.85523,0.273108,-0.001,-0.0011076,0.0735501,-0.0482941,60.5443,-0.0021076,0,-0.05018549622036517,-0.028999999165534973,-0.00450405,999,,,,"16211"
"Jay Allen II","CIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.177792,0.0634,0.3342,0.189707,0.24132,0.266248,0.228447,0.507568,0.0884556,5.0161,0.256642,0,-0.000479808,0.0471584,-0.0746858,33.1704,-0.000479808,0,-0.08327165804803371,0.004000000189989805,-0.0045085,999,,,,"sa3017403"
"Blayberg Diaz","MIL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.176702,0.0345,0.2662,0.129602,0.212237,0.240735,0.2015,0.452972,0.0640331,3.58052,0.231479,0,-0.0011574,0.0247793,-0.0970649,19.9885,-0.0011574,0,-0.10027955332770944,0.020999999716877937,-0.00450929,999,,,,"sa3015352"
"Homer Bush Jr.","SDP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.193433,0.0514,0.2442,0.210483,0.243434,0.280017,0.232908,0.523451,0.0865843,4.24427,0.241596,0,-0.00104149,0.0508634,-0.0709808,46.4889,-0.00104149,0,-0.06733361631631851,-0.012000000104308128,-0.00451468,999,,,,"sa3022480"
"Reyny Reyes",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.191287,0.041,0.2317,0.176953,0.232163,0.260009,0.21905,0.492171,0.0687219,3.93206,0.240457,0,-0.00117139,0.0393543,-0.0824899,32.4812,-0.00117139,0,-0.08344506972935051,0.004000000189989805,-0.00452994,999,,,,"sa3003178"
"Cole Barr",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.156531,0.08,0.3618,0.221117,0.235987,0.241472,0.218946,0.477459,0.0849416,4.39696,0.236503,0,-0.00111157,0.0392679,-0.0825763,32.4102,-0.00111157,0,-0.083471670281142,0.004000000189989805,-0.00453259,999,,,,"sa3016860"
"Jefrey De Los Santos","NYM",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.166869,0.0713,0.3271,0.217976,0.233773,0.236601,0.214688,0.470373,0.0697315,3.93805,0.242984,0,-0.00127379,0.0357319,-0.0861123,33.6145,-0.00127379,0,-0.0835154663072899,0.004000000189989805,-0.00453282,999,,,,"sa3015574"
"Oscar Santos",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.154178,0.05,0.3677,0.13598,0.204086,0.238933,0.198296,0.443019,0.0847549,3.82405,0.227878,0,-0.000972127,0.0221185,-0.0997257,18.3364,-0.000972127,0,-0.10048161167651415,0.020999999716877937,-0.00453358,999,,,,"sa3010598"
