Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Joe Boyle","OAK",7,9,10,4.36983,29,23,0,1,135,599,116,71,65,16,86,,7,146,9.73472,5.73606,1.69711,1.054,0.243038,0.143207,0.09983083605766296,0.228597,1.49768,0.289778,0.73029,0.417964,,4.67494,0.862703,1.22959,427.3599853515625,,,,"29608"
"Ryan Pepiot","TBR",8,9,10,4.44016,33,23,0,1,138,596,129,73,68,21,54,,8,137,8.95788,3.5316,2.5365,1.383,0.230007,0.0906788,0.1393277421593666,0.241467,1.32938,0.286783,0.719902,0.373411,,4.60299,0.852432,1.0642,197.36000061035156,,,,"26221"
"David Bednar","PIT",4,3,0,3.62543,68,0,33,2,68,286,58,29,27,8,24,,3,78,10.3724,3.21817,3.22308,1.042,0.274293,0.0851029,0.18919024616479874,0.225176,1.21442,0.292109,0.74185,0.380141,,3.6445,0.852193,0.886573,59,,,,"19569"
"Josh Hader",,3,3,0,3.33372,62,0,0,0,62,259,45,25,23,7,27,,3,86,12.5419,3.97709,3.15355,1.077,0.333893,0.105879,0.22801461815834045,0.198217,1.17216,0.281258,0.77091,0.337,,3.49202,0.85094,0.892649,45.63999938964844,,,,"14212"
"Emmanuel Clase","CLE",4,3,0,3.14671,66,0,33,2,66,271,59,26,23,6,18,,2,68,9.32874,2.45564,3.79891,0.765,0.252498,0.0664659,0.18603212386369705,0.236429,1.17102,0.30372,0.744539,0.541401,,3.20551,0.85092,0.893706,50.93000030517578,,,,"21032"
"Marco Gonzales","PIT",7,10,9,4.92619,24,24,0,0,139,612,156,81,76,21,43,,6,92,5.94673,2.76604,2.14991,1.391,0.150122,0.0698271,0.08029485493898392,0.276157,1.42686,0.297955,0.695117,0.397192,,4.98521,0.844913,1.08031,653.5,,,,"15467"
"Drew Thorpe","SDP",4,4,5,4.11573,11,11,0,0,65,275,62,32,30,9,22,,2,59,8.267,3.08066,2.68352,1.216,0.215677,0.0803709,0.13530566543340683,0.246931,1.30074,0.291161,0.72483,0.443624,,4.30697,0.843193,0.842758,999,,,,"sa3020678"
"A.J. Minter","ATL",4,3,0,3.42381,64,0,3,12,64,266,53,26,24,7,22,,2,78,11.0212,3.06187,3.5995,1.046,0.295001,0.0819562,0.21304511278867722,0.220703,1.17317,0.294551,0.755109,0.384884,,3.44763,0.83409,0.926884,478.7900085449219,,,,"18655"
"Huascar Ynoa","ATL",4,3,3,3.97732,41,6,0,1,71,304,67,34,32,9,25,,3,76,9.64063,3.19337,3.01896,1.105,0.251309,0.0832437,0.16806532442569733,0.242064,1.29053,0.304288,0.726355,0.451143,,3.8994,0.827176,0.846169,695.5,,,,"20468"
"Bryan Abreu","HOU",4,3,0,3.25752,67,0,3,13,67,279,51,26,24,7,29,,3,89,11.9442,3.94137,3.03046,0.896,0.318511,0.105103,0.21340776234865189,0.206018,1.19625,0.292244,0.759538,0.421843,,3.35248,0.824758,1.02249,277.92999267578125,,,,"16609"
"Ricky Tiedemann","TOR",4,4,5,3.91837,20,10,0,1,65,281,58,31,28,8,28,,3,69,9.50834,3.79936,2.50261,1.143,0.246124,0.0983465,0.1477769911289215,0.233502,1.31421,0.290139,0.741045,0.438552,,4.2095,0.815525,0.882498,999,,,,"sa3018096"
"Cal Quantrill","COL",7,13,8,5.92207,28,28,0,0,160,722,194,111,105,30,54,,9,103,5.78232,3.03158,1.90736,1.678,0.142245,0.074577,0.06766806542873383,0.295107,1.55399,0.31276,0.662325,0.414544,,5.57074,0.812539,0.957626,717.5,,,,"19312"
"Drew Rasmussen","TBR",4,3,3,3.55465,30,6,0,1,60,248,55,26,24,7,16,,2,61,9.21659,2.39654,3.84579,1.009,0.24713,0.06426,0.18287009745836258,0.238945,1.18464,0.297814,0.733795,0.463046,,3.56568,0.809044,0.85056,587.9299926757812,,,,"25385"
"Joe Ross","MIL",5,6,5,4.4256,37,13,0,1,97,419,97,51,48,15,32,,5,88,8.11782,2.92688,2.77354,1.379,0.209977,0.0757072,0.1342700496315956,0.253248,1.31796,0.293042,0.716123,0.416833,,4.5695,0.795574,0.929951,720.4299926757812,,,,"12972"
"Matt Strahm","PHI",4,3,0,3.54188,68,0,2,11,68,280,57,29,27,9,21,,3,80,10.5688,2.76906,3.81675,1.216,0.284771,0.0746109,0.21016041934490204,0.222557,1.14613,0.28615,0.756998,0.363746,,3.73178,0.792698,0.902325,481.5,,,,"13799"
"Luis Medina","OAK",7,10,10,4.60013,24,24,0,0,136,602,130,75,69,17,72,,7,121,8.04682,4.74929,1.69432,1.115,0.201707,0.119049,0.08265811204910278,0.249493,1.48832,0.295425,0.71266,0.449111,,4.82446,0.777229,0.952673,999,,,,"21649"
"A.J. Puk","MIA",3,3,0,3.5237,63,0,2,14,63,263,54,27,25,7,21,,3,71,10.2112,3.04793,3.35021,1.007,0.271391,0.0810072,0.19038379192352295,0.227564,1.20111,0.295094,0.743624,0.426989,,3.61245,0.756335,0.774607,375.8599853515625,,,,"19343"
