Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Clarke Schmidt","NYY",8.43679,7.62493,7.68124,4.38063,27.151,27.151,0.00671964,0,142.469,606.178,139.856,75.3747,69.3447,20.6197,45.0112,2.34863,8.15181,128.473,8.11586,2.84344,2.85424,1.30259,0.211939,0.0742541,0.13768504559993744,0.252897,1.2976,0.295195,0.701876,,,4.4525,1.80727,1.69176,352.6300048828125,2.43103,-0.970178,0.976763,"19899"
"Kutter Crawford","BOS",7.56587,7.9646,7.17392,4.49972,32.1957,24.6365,0,0.277776,134.567,566.411,129.55,73.1296,67.2793,21.2704,41.3715,1.61286,5.24526,132.296,8.84811,2.76698,3.19776,1.42259,0.233569,0.0730415,0.16052743792533875,0.249233,1.27016,0.295661,0.692857,,,4.38291,1.79808,1.70593,260.3800048828125,2.34448,0.873882,0.962209,"20531"
"Kyle Harrison","SFG",6.18702,6.19929,7.72904,4.07864,25.5437,25.5437,0,0,134.23,571.562,114.375,66.1203,60.8307,18.402,58.7601,0.665472,9.15916,149.032,9.99247,3.93981,2.53629,1.23383,0.260746,0.102806,0.1579396352171898,0.227096,1.28984,0.285457,0.726152,,,4.33467,1.79806,2.07637,273.5799865722656,3.07123,0.000168429,0.676132,"27758"
"Nick Lodolo","CIN",5.80455,5.83961,7.46625,4.15011,26.2927,20.4235,0,0.235917,112.127,478.189,103.338,56.2003,51.7043,17.2357,37.7117,1.52602,11.9715,132.525,10.6372,3.02697,3.51415,1.38344,0.277138,0.0788634,0.19827482849359512,0.24116,1.25795,0.308893,0.725707,,,4.21881,1.7794,1.91896,240.3800048828125,6.77432,-0.748734,0.414166,"26378"
"Taijuan Walker","PHI",9.8514,8.86741,9.71848,4.59584,27.5011,27.5011,0,0,158.199,677.557,154.89,87.8091,80.7844,22.2235,56.7996,0.964737,7.08918,124.135,7.06204,3.23134,2.18548,1.2643,0.183209,0.0838299,0.09937912225723267,0.2524,1.33812,0.283894,0.686027,,,4.72346,1.77594,1.55561,422.0799865722656,5.52259,0.274332,1.60307,"11836"
"Graham Ashcraft","CIN",7.48332,8.63328,10.3538,4.74756,24.5874,24.5874,0,0,143.26,623.208,150.096,82.1421,75.5707,19.8847,49.0586,0.841554,8.5987,110.289,6.92866,3.082,2.24811,1.24921,0.17697,0.0787195,0.09825027734041214,0.265398,1.39016,0.299077,0.683021,,,4.72715,1.7697,1.53214,403.25,2.4515,0.238188,1.5655,"27552"
"Bryce Miller","SEA",8.44557,7.67825,8.88868,4.158,25.4827,25.4827,0,0,140.904,582.786,132.431,70.7585,65.0979,20.6165,35.0659,0.899848,6.66631,128.206,8.18891,2.23976,3.65615,1.31684,0.219988,0.0601693,0.15981866419315338,0.244765,1.18873,0.285074,0.697798,,,4.2259,1.75869,1.63098,179.19000244140625,4.04702,1.20509,0.698717,"29837"
"Steven Matz","STL",7.25842,6.78947,6.27088,4.04825,27.8001,19.9477,0,0.753993,116.338,489.922,113.709,56.88,52.3296,15.2116,34.5125,0.675186,4.31973,109.717,8.48773,2.66991,3.17904,1.17678,0.223947,0.0704448,0.15350184589624405,0.252076,1.27405,0.301988,0.719648,,,4.07003,1.75747,1.72446,356.69000244140625,2.98559,-0.964006,0.33889,"13361"
"Gavin Williams","CLE",7.83382,8.04965,9.13311,3.96217,26.495,26.495,0,0,143.88,605.13,124.239,68.8498,63.3418,18.4578,56.7706,1.62162,6.86944,146.619,9.17135,3.55113,2.58266,1.15458,0.242294,0.0938155,0.14847803860902786,0.229439,1.25806,0.281024,0.722825,,,4.21163,1.75467,2.19545,166.9600067138672,3.57022,0.634119,0.576845,"30122"
"Keaton Winn","SFG",6.54365,7.70902,7.37087,4.18508,28.0793,20.8886,0.0159241,0.751203,123.756,524.002,121.459,62.552,57.5478,14.6968,36.0655,0.923906,7.58391,107.161,7.79312,2.62281,2.97129,1.0688,0.204505,0.0688269,0.13567767292261124,0.252855,1.27286,0.297808,0.693489,,,4.12518,1.74957,1.64878,409.7900085449219,2.02601,1.12094,0.33846,"23499"
"MacKenzie Gore","WSN",7.57687,8.77955,8.96199,4.2893,26.0888,26.0888,0,0,139.815,596.787,128.839,72.4283,66.634,21.4479,57.6418,0.626764,4.84412,148.166,9.53758,3.71046,2.57046,1.38062,0.248272,0.0965868,0.15168559551239014,0.241136,1.33377,0.294475,0.728986,,,4.47057,1.74717,1.95368,287.7099914550781,2.23321,-0.635628,1.07685,"22201"
"Reese Olson","DET",6.84019,8.33726,8.49151,4.30768,24.2872,24.2872,0,0.00373013,132.202,559.39,122.097,68.7781,63.2759,16.9843,49.2766,1.67185,4.63183,126.753,8.62904,3.35464,2.57227,1.15625,0.226591,0.0880899,0.13850103318691254,0.241545,1.2963,0.29057,0.695112,,,4.23094,1.73173,1.58549,287.75,3.76305,-3.01337,0.696953,"24968"
"Alex Cobb","SFG",4.86713,4.6203,6.34297,3.83679,16.1736,16.1736,0,0,90.9411,384.172,91.26,42.1403,38.7691,9.03702,25.9179,0.310736,3.26467,81.0717,8.02327,2.56496,3.12803,0.89435,0.21103,0.0674642,0.14356553554534912,0.257078,1.2885,0.310415,0.717883,,,3.72661,1.71102,1.7024,473.7699890136719,2.1559,0.103858,0.395649,"6562"
"Jameson Taillon","CHC",8.25684,8.49411,8.75304,4.52161,26.1067,26.1067,0.132292,0,146.112,613.527,145.799,79.7901,73.4069,23.7673,38.505,0.578753,5.4007,126.329,7.78142,2.37177,3.28085,1.46399,0.205906,0.06276,0.14314593374729156,0.255957,1.26139,0.29088,0.692008,,,4.54196,1.64652,1.45569,314.1000061035156,1.77398,-0.40499,1.09169,"11674"
