"","name","team","points","IDFANGRAPHS","ESPNID","position","replacement_pr","adj_points","FANTPROSNAME","ESPN"
"50","Mike Trout","LAA",6.94306708508535,"10155",30836,"CF",-0.104121754941005,7.04718884002635,"Mike Trout",67
"51","Gunnar Henderson","BAL",6.85789464952464,"26289",42507,"3B",3.03297428222753,3.82492036729711,"Gunnar Henderson",40
"52","Gunnar Henderson","BAL",6.85789464952464,"26289",42507,"SS",2.70406583783264,4.153828811692,"Gunnar Henderson",40
"53","Randy Arozarena","TBR",6.85564238533585,"19290",36488,"LF",1.01938213796651,5.83626024736934,"Randy Arozarena",68
"54","Spencer Torkelson","DET",6.6419777868371,"27465",4424286,"1B",4.0712619963038,2.57071579053329,"Spencer Torkelson",138
"55","Nolan Arenado","STL",6.49696785004173,"9777",31261,"3B",3.03297428222753,3.4639935678142,"Nolan Arenado",60
"56","Dansby Swanson","CHC",6.39981620619358,"18314",34895,"SS",2.70406583783264,3.69575036836094,"Dansby Swanson",117
"57","Anthony Santander","BAL",6.19160829091585,"14551",36084,"RF",1.01938213796651,5.17222615294934,"Anthony Santander",97
"58","Anthony Santander","BAL",6.19160829091585,"14551",36084,"DH",4.96976368634212,1.22184460457373,"Anthony Santander",97
"59","Gleyber Torres","NYY",6.11795835938329,"16997",33804,"2B",1.59559610679458,4.52236225258871,"Gleyber Torres",89
"60","Nick Castellanos","PHI",6.08942826903982,"11737",31187,"RF",1.01938213796651,5.07004613107331,"Nick Castellanos",106
"61","Nathaniel Lowe","TEX",5.94038095722771,"19566",40538,"1B",4.0712619963038,1.86911896092391,"Nathaniel Lowe",265
"62","Ketel Marte","ARI",5.8759198476227,"13613",32512,"2B",1.59559610679458,4.28032374082812,"Ketel Marte",48
"63","Royce Lewis","MIN",5.66584539997079,"20437",40635,"3B",3.03297428222753,2.63287111774326,"Royce Lewis",95
"64","Nolan Jones","COL",5.66151875253758,"20529",37340,"LF",1.01938213796651,4.64213661457107,"Nolan Jones",102
"65","Nolan Jones","COL",5.66151875253758,"20529",37340,"RF",1.01938213796651,4.64213661457107,"Nolan Jones",102
"66","Willy Adames","MIL",5.64932025862834,"15986",33675,"SS",2.70406583783264,2.9452544207957,"Willy Adames",173
"67","Xander Bogaerts","SDP",5.57387534362247,"12161",31606,"SS",2.70406583783264,2.86980950578983,"Xander Bogaerts",84
"68","Cody Bellinger","",5.55492698334884,"15998",33912,"1B",4.0712619963038,1.48366498704504,"Cody Bellinger",70
"69","Cody Bellinger","",5.55492698334884,"15998",33912,"CF",-0.104121754941005,5.65904873828984,"Cody Bellinger",70
"70","Triston Casas","BOS",5.46500259837062,"22514",41180,"1B",4.0712619963038,1.39374060206682,"Triston Casas",110
"71","Jake Burger","MIA",5.41543083223491,"22275",39882,"3B",3.03297428222753,2.38245655000738,"Jake Burger",210
"72","Jake Burger","MIA",5.41543083223491,"22275",39882,"DH",4.96976368634212,0.445667145892787,"Jake Burger",210
"73","Brandon Nimmo","NYM",5.33808769620617,"12927",32159,"CF",-0.104121754941005,5.44220945114717,"Brandon Nimmo",93
"74","Josh Jung","TEX",5.30097205734835,"26299",42437,"3B",3.03297428222753,2.26799777512082,"Josh Jung",189
"75","Yandy Díaz","TBR",5.09033958458869,"16578",33481,"1B",4.0712619963038,1.01907758828488,"Yandy Diaz",62
"76","William Contreras","MIL",4.96976368634212,"20503",39895,"C",-0.568436073401782,5.5381997597439,"William Contreras",65
"77","William Contreras","MIL",4.96976368634212,"20503",39895,"DH",4.96976368634212,0,"William Contreras",65
"78","Marcell Ozuna","ATL",4.96108969408951,"10324",31668,"DH",4.96976368634212,-0.00867399225261156,"Marcell Ozuna",104
"79","Christian Yelich","MIL",4.94185945572127,"11477",31283,"LF",1.01938213796651,3.92247731775476,"Christian Yelich",81
"80","Christian Yelich","MIL",4.94185945572127,"11477",31283,"DH",4.96976368634212,-0.027904230620849,"Christian Yelich",81
"81","Ian Happ","CHC",4.84590843009562,"17919",34945,"LF",1.01938213796651,3.8265262921291,"Ian Happ",114
"82","Seiya Suzuki","CHC",4.82450169641975,"30116",4142424,"RF",1.01938213796651,3.80511955845324,"Seiya Suzuki",126
"83","Teoscar Hernández","LAD",4.66747148917997,"13066",33377,"RF",1.01938213796651,3.64808935121345,"Teoscar Hernandez",153
"84","Teoscar Hernández","LAD",4.66747148917997,"13066",33377,"DH",4.96976368634212,-0.302292197162155,"Teoscar Hernandez",153
"85","Adley Rutschman","BAL",4.39621761123452,"26288",42178,"C",-0.568436073401782,4.9646536846363,"Adley Rutschman",29
"86","Adley Rutschman","BAL",4.39621761123452,"26288",42178,"DH",4.96976368634212,-0.573546075107599,"Adley Rutschman",29
"87","Josh Naylor","CLE",4.37476926452598,"18839",35066,"1B",4.0712619963038,0.303507268222173,"Josh Naylor",135
"88","Josh Naylor","CLE",4.37476926452598,"18839",35066,"DH",4.96976368634212,-0.594994421816144,"Josh Naylor",135
"89","Matt McLain","CIN",4.26455228788688,"29695",4422899,"2B",1.59559610679458,2.6689561810923,"Matt McLain",129
"90","Matt McLain","CIN",4.26455228788688,"29695",4422899,"SS",2.70406583783264,1.56048645005424,"Matt McLain",129
"91","Andrew Vaughn","CHW",4.17872827636931,"26197",42394,"1B",4.0712619963038,0.10746628006551,"Andrew Vaughn",275
"92","Jorge Soler","SFG",4.14676292548038,"14221",32558,"RF",1.01938213796651,3.12738078751386,"Jorge Soler",144
"93","Jorge Soler","SFG",4.14676292548038,"14221",32558,"DH",4.96976368634212,-0.823000760861746,"Jorge Soler",144
"94","Luis Arraez","MIA",4.08090672805243,"18568",39572,"2B",1.59559610679458,2.48531062125785,"Luis Arraez",59
"95","Rhys Hoskins","MIL",4.0712619963038,"16472",35291,"1B",4.0712619963038,0,"Rhys Hoskins",208
"96","Masataka Yoshida","BOS",3.92112815300947,"31837",4872598,"LF",1.01938213796651,2.90174601504296,"Masataka Yoshida",108
"97","Masataka Yoshida","BOS",3.92112815300947,"31837",4872598,"DH",4.96976368634212,-1.04863553333265,"Masataka Yoshida",108
"98","George Springer","TOR",3.9036879541623,"12856",32078,"RF",1.01938213796651,2.88430581619579,"George Springer",76
"99","George Springer","TOR",3.9036879541623,"12856",32078,"DH",4.96976368634212,-1.06607573217982,"George Springer",76
"100","Max Muncy","LAD",3.81944044343178,"13301",33303,"3B",3.03297428222753,0.786466161204256,"Max Muncy",130
"101","Vinnie Pasquantino","KCR",3.74312015569759,"27676",4109109,"1B",4.0712619963038,-0.328141840606216,"Vinnie Pasquantino",158
"102","Riley Greene","DET",3.72418270355353,"25976",42179,"CF",-0.104121754941005,3.82830445849453,"Riley Greene",195
"103","Alec Bohm","PHI",3.6563032782744,"21618",41169,"1B",4.0712619963038,-0.414958718029399,"Alec Bohm",151
"104","Alec Bohm","PHI",3.6563032782744,"21618",41169,"3B",3.03297428222753,0.623328996046879,"Alec Bohm",151
"105","Lane Thomas","WSN",3.6301246323828,"16939",36409,"RF",1.01938213796651,2.61074249441629,"Lane Thomas",147
"106","Ryan McMahon","COL",3.6072488903393,"15112",33247,"2B",1.59559610679458,2.01165278354471,"Ryan McMahon",278
"107","Ryan McMahon","COL",3.6072488903393,"15112",33247,"3B",3.03297428222753,0.57427460811177,"Ryan McMahon",278
"108","Ezequiel Tovar","COL",3.59518858209359,"24064",4905919,"SS",2.70406583783264,0.891122744260946,"Ezequiel Tovar",241
"109","Oneil Cruz","PIT",3.49912172587755,"21711",39712,"SS",2.70406583783264,0.795055888044905,"Oneil Cruz",141
"110","Nico Hoerner","CHC",3.33821838584385,"21479",41219,"2B",1.59559610679458,1.74262227904927,"Nico Hoerner",61
"111","Nico Hoerner","CHC",3.33821838584385,"21479",41219,"SS",2.70406583783264,0.634152548011211,"Nico Hoerner",61
"112","Jazz Chisholm Jr.","MIA",3.26730321443326,"20454",41433,"CF",-0.104121754941005,3.37142496937426,"Jazz Chisholm Jr.",157
"113","Josh Bell","MIA",3.23597889359344,"13145",32517,"1B",4.0712619963038,-0.835283102710366,"Josh Bell",196
"114","Josh Bell","MIA",3.23597889359344,"13145",32517,"DH",4.96976368634212,-1.73378479274868,"Josh Bell",196
"115","Spencer Steer","CIN",3.21351692840457,"26323",4722857,"1B",4.0712619963038,-0.857745067899231,"Spencer Steer",112
"116","Spencer Steer","CIN",3.21351692840457,"26323",4722857,"3B",3.03297428222753,0.180542646177047,"Spencer Steer",112
"117","Spencer Steer","CIN",3.21351692840457,"26323",4722857,"LF",1.01938213796651,2.19413479043806,"Spencer Steer",112
"118","Carlos Correa","MIN",3.20631023661819,"14162",32653,"SS",2.70406583783264,0.50224439878555,"Carlos Correa",181
"119","Eugenio Suárez","ARI",3.03297428222753,"12552",32367,"3B",3.03297428222753,0,"Eugenio Suarez",261
"120","Nolan Gorman","STL",2.96756328169534,"22263",41174,"2B",1.59559610679458,1.37196717490076,"Nolan Gorman",223
"121","Nolan Gorman","STL",2.96756328169534,"22263",41174,"DH",4.96976368634212,-2.00220040464678,"Nolan Gorman",223
"122","Salvador Perez","KCR",2.92298870069095,"7304",31127,"C",-0.568436073401782,3.49142477409273,"Salvador Perez",155
"123","Salvador Perez","KCR",2.92298870069095,"7304",31127,"1B",4.0712619963038,-1.14827329561286,"Salvador Perez",155
"124","Salvador Perez","KCR",2.92298870069095,"7304",31127,"DH",4.96976368634212,-2.04677498565117,"Salvador Perez",155
"125","José Abreu","HOU",2.84827374268047,"15676",33095,"1B",4.0712619963038,-1.22298825362333,"Jose Abreu",282
