"","Name","Team","PlayerId","AB","AVG","OPS","R","HR","RBI","RC","wAVG","wOPS","pr"
"45","Royce Lewis","MIN","20437",504.597,0.270593,0.824888,0.843213925226118,1.15119972058469,1.07916121267056,0.870713575768872,0.814649515981069,0.906907449739473,5.66584539997079
"49","Nolan Jones","COL","20529",502.643,0.269522,0.841626,0.987288882894333,0.798196447246186,0.928912207517277,1.18269741395684,0.77619827216967,0.988225528753274,5.66151875253758
"46","Willy Adames","MIL","15986",548.413,0.241413,0.764676,0.816044480403783,1.18765799528199,1.31922272442673,0.716921047537196,0.665236743915879,0.944237267062759,5.64932025862834
"55","Xander Bogaerts","SDP","12161",564.391,0.279018,0.784596,1.02902309288106,0.0737310117595264,0.557967547911685,1.1193947962025,1.56902439440577,1.22473450046193,5.57387534362247
"52","Cody Bellinger","","15998",539.524,0.258681,0.769662,1.13036356093832,0.757523874321362,1.21982687850569,0.628456056505012,0.923624564692043,0.895132048386415,5.55492698334884
"50","Triston Casas","BOS","22514",494.78,0.255848,0.838067,0.74239961581513,1.22053214718766,0.964935092246476,1.19304876777377,0.456036871344844,0.888050104002746,5.46500259837062
"47","Jake Burger","MIA","22275",525.97,0.250661,0.790084,0.420361614480891,1.62258407528638,1.1131866199053,0.715189077950706,0.64527866041201,0.898830784199622,5.41543083223491
"56","Brandon Nimmo","NYM","12927",548.112,0.267609,0.802342,1.31454221498613,0.160432648814253,0.191393437353808,1.3033857476651,1.18001305399131,1.18832059339557,5.33808769620617
"53","Josh Jung","TEX","26299",538.735,0.258601,0.773684,0.630090763670199,1.0765633173963,1.13083954066833,0.634983636460539,0.91471692008939,0.913777879063587,5.30097205734835
"59","Yandy Díaz","TBR","16578",512.516,0.294275,0.83672,1.03714096913783,-0.091007350106419,0.374905279986112,1.38256055492824,1.32922955512825,1.05751057551468,5.09033958458869
"57","William Contreras","MIL","20503",517.195,0.272154,0.808442,0.771604311664803,0.599494255116677,0.713713884289051,0.988912347385637,0.966580502654956,0.929458385230998,4.96976368634212
"54","Marcell Ozuna","ATL","10324",489.365,0.255161,0.809289,0.492306581904665,1.57386363689902,1.19363203831477,0.641872588757517,0.393999600513478,0.665415247700054,4.96108969408951
"62","Christian Yelich","MIL","11477",541.804,0.262139,0.782204,1.606039886984,-0.00258585925790578,0.326533317869494,1.00212405037218,1.01239002711602,0.997358032637474,4.94185945572127
"61","Ian Happ","CHC","17919",547.759,0.250624,0.772287,0.900703984785274,0.342500835167212,0.836339653664215,0.936905209430233,0.841355919639831,0.988102827408853,4.84590843009562
"60","Seiya Suzuki","CHC","30116",511.356,0.271032,0.816673,0.723781694485503,0.5388136121023,0.76716774783745,0.982752572666448,0.888643470391341,0.92334259893671,4.82450169641975
"58","Teoscar Hernández","LAD","13066",513.068,0.260798,0.782658,0.39281056009093,1.10534132896868,1.22362834564615,0.498133408658884,0.71615631072345,0.731401535091877,4.66747148917997
"68","Adley Rutschman","BAL","26288",516.039,0.271077,0.81042,0.823451175193613,0.118617882911875,0.444503997243317,1.14393925739711,0.935216704559143,0.930488593929462,4.39621761123452
"65","Josh Naylor","CLE","18839",508.5,0.278911,0.799866,0.0416719382436431,0.442344255791257,1.37346192100714,0.718894607426481,1.00512133149918,0.793275210558276,4.37476926452598
"67","Matt McLain","CIN","29695",512.287,0.258137,0.793768,0.941825306678538,0.517912793478568,0.62886377191743,0.724114331274703,0.659694710616951,0.792141373920688,4.26455228788688
"69","Andrew Vaughn","CHW","26197",543.638,0.260768,0.759299,0.310937961945737,0.55863788102305,0.80721973247001,0.633443642990811,1.0028565845954,0.865632473344304,4.17872827636931
"63","Jorge Soler","SFG","14221",484.918,0.241642,0.801029,0.424969839108131,1.48475945599496,0.874428305716747,0.671224257271016,0.116883705243718,0.574497362145803,4.14676292548038
"80","Luis Arraez","MIA","18568",560.326,0.31748,0.795012,0.648014849422324,-1.29890530690971,-0.00488291245821112,1.17555690832375,2.30474130545945,1.25638188421483,4.08090672805243
"64","Rhys Hoskins","MIL","16472",491.789,0.238805,0.794612,0.575919550956758,1.16146632872775,0.916836289445339,0.688031861173938,0.126437039385965,0.60257092661405,4.0712619963038
"73","Masataka Yoshida","BOS","31837",516.331,0.290452,0.803785,0.418014137443677,-0.229107671151038,0.619724316486925,0.921584859843645,1.29855436571213,0.89235814467413,3.92112815300947
"70","George Springer","TOR","12856",519.114,0.257714,0.768842,0.967202342925661,0.520617296390935,0.437879883842877,0.560475622221298,0.715285615386841,0.702227193394688,3.9036879541623
"66","Max Muncy","LAD","13301",456.98,0.223158,0.798933,0.836449028345477,1.38214588918398,1.17676445058376,0.559363084952808,-0.430760907322028,0.295478897687793,3.81944044343178
"71","Vinnie Pasquantino","KCR","27676",492.401,0.274007,0.822147,0.253638707170393,0.337065572032649,0.669843360058815,0.95577751556728,0.756306332036368,0.770488668832083,3.74312015569759
"76","Riley Greene","DET","25976",528.53,0.276036,0.785698,0.784214773285896,-0.0862679056823189,0.175140458082624,0.804122144542246,1.15167567648827,0.895297556836814,3.72418270355353
"78","Alec Bohm","PHI","21618",543.585,0.273464,0.744887,0.454440505262513,-0.184233928653604,0.868726105006058,0.494839843549249,1.25104500873331,0.771485744376883,3.6563032782744
"75","Lane Thomas","WSN","16939",547.487,0.249632,0.737972,0.820970713004045,0.431368700282815,0.436115729930388,0.361368092056328,0.819328903351886,0.760972493757343,3.6301246323828
"72","Ryan McMahon","COL","15112",527.214,0.245444,0.755917,0.636543434540964,0.571136360501564,0.620936460949378,0.52601594987078,0.557403167784465,0.695213516692145,3.6072488903393
"81","Ezequiel Tovar","COL","24064",570.743,0.263158,0.722688,0.839877732490965,-0.203546180032693,0.487725768099284,0.302555146515878,1.30670588794697,0.861870227073187,3.59518858209359
"74","Oneil Cruz","PIT","21711",505.856,0.246908,0.766763,0.922912505228473,0.715446535320696,0.558456958351924,0.339334449230921,0.39518983536118,0.567781442384352,3.49912172587755
"94","Nico Hoerner","CHC","21479",578.07,0.281461,0.731889,1.13253179711801,-1.15067754146412,0.0279815676857266,0.582165858005168,1.75744530106054,0.988771403438527,3.33821838584385
"77","Jazz Chisholm Jr.","MIA","20454",491.006,0.247367,0.768851,0.807504520837367,0.924520364832585,0.646732943805216,0.173455560874013,0.271187697836176,0.4439021262479,3.26730321443326
"82","Josh Bell","MIA","13145",519.069,0.254738,0.765904,0.203156386944003,0.37152829118296,0.66533623135336,0.653174195456871,0.659203546939525,0.68358024171672,3.23597889359344
"85","Spencer Steer","CIN","26323",508.321,0.255742,0.775416,0.407658641449465,0.301053671602437,0.69220827901391,0.590693977772925,0.578934326224954,0.642968032340882,3.21351692840457
"83","Carlos Correa","MIN","14162",508.153,0.259734,0.778927,0.358471480967744,0.374324694679728,0.499238295083038,0.661050470270823,0.65048365937274,0.662741636244117,3.20631023661819
"84","Eugenio Suárez","ARI","12552",515.83,0.232032,0.737588,0.269463940300576,0.698274254692655,0.996041109296997,0.382487477360696,0.207420631096244,0.479286869480358,3.03297428222753
"79","Nolan Gorman","STL","22263",467.992,0.239615,0.782633,0.344172686108065,1.33517156190024,0.778116883733023,0.265320959949384,-0.0646812910765415,0.309462481081171,2.96756328169534
"86","Salvador Perez","KCR","7304",503.776,0.255539,0.745304,-0.155030447978072,0.915172762533529,1.09312648267459,0.116893527310681,0.533364676090156,0.419461700060067,2.92298870069095
"89","José Abreu","HOU","15676",521.939,0.255737,0.7362,0.235217372587725,0.0463708949179081,0.988870677265592,0.348979152912311,0.704337223740093,0.524498421256846,2.84827374268047
"95","Andrés Giménez","CLE","19950",533.034,0.264158,0.749413,0.679509202677753,-0.175674045649413,0.215311949915708,0.433691902379712,0.968328437398078,0.706363550677959,2.8275309973998
"88","Taylor Ward","LAA","17548",471.933,0.265927,0.802205,0.596832911655286,0.333586478480332,0.364570752550373,0.593844272289395,0.41680450277985,0.45677352719768,2.76241244495292
"87","Christopher Morel","CHC","21897",479.047,0.241961,0.773327,0.451156350195672,1.03158454565955,0.659577122451946,0.184604360756446,0.0712690022977568,0.359606181372507,2.75779756273388
"93","Elly De La Cruz","CIN","26668",512.935,0.248853,0.74867,0.86483268542844,0.330606273814762,0.368468963615066,0.124315512803527,0.494123112978301,0.521719289192545,2.70406583783264
"98","CJ Abrams","WSN","25768",562.881,0.253144,0.706895,1.12881399481523,-0.279784279120639,0.0199404403362228,0.11651559215924,1.02903754436852,0.687654165197825,2.7021774577564
"90","Will Smith","LAD","19197",442.248,0.262125,0.822301,0.375730640958098,0.481887764393443,0.751768391427148,0.616605777308922,0.0717578394478129,0.278316804821288,2.57606721835671
"101","Ke'Bryan Hayes","PIT","18577",535.129,0.264918,0.747469,0.440812418127752,-0.212014162452483,0.262409168560076,0.357972784640214,1.00292542615252,0.712697031321525,2.5648026663496
"91","Kerry Carpenter","DET","25961",484.755,0.257644,0.776404,0.14039895895898,0.661842237305183,0.615154588771673,0.32155130346435,0.3949853028897,0.430215621336664,2.56414801272655
"96","Eloy Jiménez","CHW","17484",477.116,0.273185,0.791021,-0.21758550725299,0.626394869036291,0.595242412836844,0.395985729958927,0.59125469031073,0.442686449306837,2.43397864419664
"92","Isaac Paredes","TBR","20036",468.401,0.241759,0.781873,0.12862110003089,0.810196037837952,0.772699223975962,0.432794419505856,-0.0249621790703637,0.309033403404278,2.42838200568458
"99","Bryan De La Cruz","MIA","19600",517.873,0.265579,0.754021,-0.0533025883900399,0.267759402739508,0.406734031058847,0.331005890802584,0.85053179529214,0.599051974854435,2.40178050635747
"102","Jeimer Candelario","CIN","13621",487.025,0.251057,0.768746,0.326867270412545,0.292309987429444,0.566321670310179,0.364220582671455,0.300460424635024,0.406695642876472,2.25687557833512
"97","Matt Chapman","","16505",478.698,0.234487,0.769942,0.308619394724252,0.773252002908818,0.456966891012187,0.353782220558987,-0.0606975094802628,0.337005821905204,2.16892882162918
"100","Brandon Drury","LAA","11615",484.461,0.251352,0.756796,0.0724782378847155,0.710641447622024,0.69023925561481,0.0873783688209335,0.282414589446168,0.313912098856537,2.15706399824519
"105","Ty France","SEA","17982",539.966,0.260073,0.726732,0.338413850814802,-0.396091033007347,0.205512359472788,0.417752541282025,0.954829294064256,0.622048916163091,2.14246592878961
"107","Jeremy Peña","HOU","21636",547.758,0.260581,0.712932,0.613774063672618,-0.353632963014163,0.0711293578937501,0.153051512473129,1.03787965764551,0.599375854210692,2.12157748288154
"110","J.P. Crawford","SEA","15491",537.611,0.254704,0.734016,0.908671530000251,-0.670466792063483,-0.243106289653947,0.564240078896948,0.828748209965401,0.648406120545212,2.03649285769038
"106","Lourdes Gurriel Jr.","ARI","19238",497.571,0.277117,0.769651,0.0217241653904703,-0.179507612884418,0.463847091270892,0.342118378428561,0.863114636448725,0.509009647007675,2.0203063056619
"104","Zack Gelof","OAK","29766",527.715,0.243838,0.730107,0.480812039170721,0.227559461391602,0.0227061784054789,0.199475500339017,0.531294674488655,0.536895950038556,1.99874380383403
"103","Ryan Mountcastle","BAL","18373",472.076,0.263337,0.774029,0.00341268810757346,0.50939229643912,0.539557748212008,0.227666039997983,0.374116333364597,0.299114879359944,1.95325998548123
"118","Jung Hoo Lee","SFG","sa3012640",520.72,0.286371,0.7781,0.352492931074939,-1.02217558002743,-0.140147990993493,0.69362637096298,1.26791556372602,0.774628182504956,1.92633947724798
"111","Cedric Mullins","BAL","17929",510.339,0.247686,0.733541,0.459268444489295,0.105121625659867,0.221076749636194,0.0796840620938335,0.449383188791312,0.406170290313095,1.7207043609836
"109","J.T. Realmuto","PHI","11739",473.967,0.256691,0.767864,0.280056496783768,0.282148408525695,0.418741659301913,0.159025500403172,0.278552487890624,0.281679135756237,1.70020368866141
"113","Josh Lowe","TBR","19953",495.545,0.256913,0.749997,0.314794531364017,-0.0617567069571262,0.423140662444989,0.120350992303775,0.482107034774338,0.37392098845881,1.6525575023888
"123","Bryson Stott","PHI","26294",535.446,0.265998,0.722322,0.497556604441094,-0.661657464615917,-0.00784213837593362,0.186206263401178,1.0267896168984,0.554543225045762,1.59559610679458
"108","Daulton Varsho","TOR","19918",497.506,0.233139,0.72752,0.315997179698352,0.663076330867137,0.341039215685407,-0.0691426903579421,0.0740566323359699,0.25780727832653,1.58283394655545
"112","MJ Melendez","KCR","22197",484.816,0.241602,0.762999,0.363970127919445,0.329608496041267,0.0805249001825188,0.299503656565436,0.115296744184688,0.353079888520313,1.54198381341367
"120","Evan Carter","TEX","27790",482.346,0.254138,0.77198,0.483627855222749,-0.239216735435129,0.178395606592119,0.41232985905099,0.311681992265102,0.382340470999082,1.52915904869491
"116","Jordan Walker","STL","27475",485.237,0.268156,0.773106,0.0758549043618897,-0.00393811071408954,0.0994468735987255,0.338006793480322,0.583265081393959,0.415556468750532,1.50819201087134
"117","Anthony Volpe","NYY","27647",514.071,0.233251,0.720419,0.412047151477163,0.235699227438533,0.159968734435224,0.0301370378035213,0.215294453188191,0.358249602785439,1.41139620712807
"125","Jake Cronenworth","SDP","18036",517.419,0.245937,0.728713,0.352573878558981,-0.410847641131137,0.231775489492575,0.282506283356485,0.479963851267825,0.438396329416159,1.37436819096089
"124","Austin Hays","BAL","19363",507.516,0.255696,0.729095,0.202387385845605,-0.092543402731404,0.216222480967314,0.0610934883055457,0.570674583063719,0.354433970871993,1.31226850632277
"114","J.D. Martinez","","6184",437.78,0.256356,0.792844,-0.16211913479488,0.630346594165527,0.69182699413605,0.121838823701788,-0.061451647035276,0.0802080548082682,1.30064968498148
"119","Jorge Polanco","SEA","13152",472.568,0.244781,0.75466,0.0811627465297776,0.428362238307416,0.370056702136305,0.130828337213302,0.0628000607460116,0.194232111314404,1.26744219624722
"115","Tyler O'Neill","BOS","15711",450.562,0.250787,0.779443,0.202086723762022,0.595437500748126,0.223188043512108,0.12162254056017,-0.0337929606340949,0.12918190436261,1.23772375231094
"129","Ha-Seong Kim","SDP","27506",526.959,0.246037,0.712339,0.570108677995182,-0.408379454007229,-0.127645261491116,0.124449920243468,0.566408118266444,0.418351928365983,1.14329392937273
"131","Thairo Estrada","SFG","16426",521.229,0.260914,0.717612,0.377979824621832,-0.377067612036375,-0.147369640396551,0.00270860292724522,0.795029748416173,0.402411359782035,1.05369228331436
"126","Chas McCormick","HOU","19599",456.468,0.25292,0.763411,0.175894430711335,0.314641829438846,0.316369515005932,0.0610874795412815,0.0546641678715289,0.0967247153975907,1.01938213796651
"144","Steven Kwan","CLE","24610",544.966,0.27692,0.725244,0.864780647760128,-1.68211105087881,-0.596477699963524,0.40166681465855,1.33252089805266,0.65579790997928,0.976177519608291
"121","Cal Raleigh","SEA","21534",454.112,0.225914,0.751554,-0.156863330295305,1.13007571482741,0.492562964310945,-0.119327993848721,-0.408725289758189,0.0108442621646979,0.948566327400841
"122","Jack Suwinski","PIT","22244",443.488,0.226893,0.774025,0.0812899497189863,0.822379429598519,0.355778437083294,0.13313798302131,-0.479566671048782,0.0345305349475407,0.947549663320868
"128","Max Kepler","MIN","12144",454.964,0.245962,0.765407,0.199236215931119,0.313893496108725,0.177246061139465,0.11627739533159,-0.0731150685313695,0.0938545181593138,0.827392618138843
"127","Brent Rooker","OAK","19627",457.946,0.228493,0.750995,-0.229166779434121,0.906993610521855,0.255585876492097,-0.0072417784850631,-0.334955698759031,0.0422345109319867,0.633449741267723
"132","Jonathan India","CIN","21523",456.828,0.254046,0.766256,0.417193098676967,-0.143626999003352,-0.0390107544362533,0.206854194782027,0.0764808401981862,0.115549585396926,0.633439965614501
"139","Joey Meneses","WSN","14366",527.572,0.261356,0.705529,-0.324933435018785,-0.500805184604636,0.152559288002772,0.0171923493258819,0.863068686235949,0.38061736876749,0.587699072708673
"136","TJ Friedl","CIN","19522",479.577,0.255232,0.748309,0.470913318265031,-0.34786948350674,-0.177906575539818,0.108579986820218,0.305229994525658,0.221056962280985,0.580004202845334
"130","Christian Encarnacion-Strand","CIN","30011",408.057,0.265992,0.816269,-0.329223651673003,0.676073699232397,0.437367710126348,0.0262628372409651,-0.194333393686551,-0.0872601740772679,0.528887027162888
"135","Zach Neto","LAA","31347",471.79,0.248306,0.744332,0.085637986004663,-0.00538226275467391,0.0592127827558443,0.0661593544417608,0.115865097625274,0.128954706984945,0.450447665057814
"133","Yainer Diaz","HOU","23003",423.527,0.273027,0.790213,-0.410755113992592,0.491602969030102,0.362806598637885,-0.117611226553876,0.0613096267540283,-0.0682229846859582,0.319129869189589
"137","James Outman","LAD","24770",454.598,0.23283,0.740633,0.445570973796783,0.134805514421336,0.117532296611268,-0.060038743844678,-0.291476656950756,-0.044146583886682,0.302246800147271
"134","Sean Murphy","ATL","19352",409.155,0.252525,0.810506,-0.0149566088067825,0.368311770728931,0.222038498059454,0.206452883112983,-0.382362207365792,-0.104736319465494,0.294748016263298
"143","Luis Rengifo","LAA","19858",482.314,0.256244,0.735215,0.0211575330021774,-0.0653933443684162,-0.126586769143622,-0.0584335526263694,0.347991042616137,0.170036866173851,0.288771775653758
"142","Edouard Julien","MIN","27534",455.334,0.245702,0.770306,0.512901934630172,-0.166746560307617,-0.441254918940832,0.327298097511709,-0.0741017238382706,0.123910656825346,0.282007485880506
"140","Lars Nootbaar","STL","21454",435.844,0.253464,0.785274,0.394562494924121,-0.037311151506505,-0.206520013836566,0.231239771524471,-0.124755722505022,0.0224090210597582,0.279624399660258
"148","Brendan Rodgers","COL","17907",466.707,0.275658,0.764665,-0.125582909676273,-0.474981120388002,-0.0791253380786112,0.142044463842329,0.530377527303878,0.197177383982209,0.189910006985529
"138","Willson Contreras","STL","11609",414.368,0.254391,0.805449,-0.0849646185766977,0.347108993042168,0.122318275451277,0.188282088485661,-0.307063801231332,-0.0792733793840401,0.186407557787036
"147","Yoán Moncada","CHW","17232",489.679,0.247777,0.725558,-0.139054883806096,-0.110516531309224,-0.00832585799709968,-0.0101886933386402,0.266593753303653,0.178239067016524,0.176746853869118
"141","Anthony Rizzo","NYY","3473",443.947,0.237707,0.752846,-0.0196110891391894,0.392744197524637,0.103754823636641,-0.0246325221344153,-0.302818236839736,-0.0736369078745075,0.0758002651734302
"156","Jeff McNeil","NYM","15362",505.547,0.279639,0.736007,0.0315303748858269,-1.20038394183555,-0.407849810985003,0.232429520584078,0.988704547825512,0.379048556381928,0.0234792468567908
"152","Alex Verdugo","NYY","17027",481.789,0.266711,0.739917,0.113090747021145,-0.587388663765132,-0.281445337745671,0.0394411984853813,0.524860935146028,0.192506906309615,0.00106578545136568
"154","Tommy Edman","STL","19470",495.06,0.260999,0.720454,0.495504007524318,-0.714500300646395,-0.438136350089079,-0.122186956785091,0.550508047658729,0.19470784750498,-0.0341037048325367
"157","Vaughn Grissom","BOS","26031",476.797,0.27985,0.754411,0.0445744837428577,-1.05314082550854,-0.16989959310475,0.172878031314886,0.70262653955984,0.230969931596599,-0.071991432399108
"155","Jarren Duran","BOS","24617",475.465,0.261532,0.747683,0.395713105590145,-0.596526207585558,-0.435529954953854,-0.0238376336522872,0.37534996394386,0.180708971716689,-0.104121754941005
"151","Justin Turner","TOR","5235",454.38,0.257811,0.743167,-0.139771847236181,-0.287674600724196,0.278030466914207,-0.0467335716520048,0.115716435394744,-0.0323107843354737,-0.112743901638905
"146","Brandon Lowe","TBR","18882",417.205,0.236663,0.774844,-0.0469193010770249,0.527286653087453,0.201039375681769,-0.0848154928763498,-0.547575755887261,-0.204614805165527,-0.15559932623694
