"","name","team","points","IDFANGRAPHS","ESPNID","position","replacement_pr","adj_points","FANTPROSNAME","ESPN"
"132","Lourdes Gurriel Jr.","ARI",3.25430051127226,"19238",36040,"LF",1.90197291160567,1.35232759966659,"Lourdes Gurriel Jr.",148
"133","Jurickson Profar","ATL",3.23474356434387,"10815",31117,"LF",1.90197291160567,1.3327706527382,"Jurickson Profar",NA
"134","CJ Abrams","WSN",3.20317264990543,"25768",42402,"SS",3.15844985743133,0.0447227924741065,"CJ Abrams",125
"135","Michael Busch","CHC",3.19707452335892,"26319",42415,"1B",4.12223334524929,-0.92515882189037,"Michael Busch",397
"136","Xander Bogaerts","SDP",3.15844985743133,"12161",31606,"2B",1.32544732467959,1.83300253275174,"Xander Bogaerts",84
"137","Xander Bogaerts","SDP",3.15844985743133,"12161",31606,"SS",3.15844985743133,0,"Xander Bogaerts",84
"138","George Springer","TOR",3.05469289058153,"12856",32078,"RF",1.7782557432166,1.27643714736493,"George Springer",76
"139","George Springer","TOR",3.05469289058153,"12856",32078,"DH",7.2427022094734,-4.18800931889188,"George Springer",76
"140","Nathaniel Lowe","WSN",2.98452931891485,"19566",40538,"1B",4.12223334524929,-1.13770402633444,"Nathaniel Lowe",265
"141","Willson Contreras","STL",2.9735290391415,"11609",32532,"C",-0.547577297398599,3.5211063365401,"Willson Contreras",154
"142","Willson Contreras","STL",2.9735290391415,"11609",32532,"DH",7.2427022094734,-4.2691731703319,"Willson Contreras",154
"143","Heliot Ramos","SFG",2.9521858960527,"22515",39642,"LF",1.90197291160567,1.05021298444703,"Heliot Ramos",NA
"144","Heliot Ramos","SFG",2.9521858960527,"22515",39642,"CF",0.414351510471444,2.53783438558126,"Heliot Ramos",NA
"145","JJ Bleday","ATH",2.94802576322649,"26368",42410,"CF",0.414351510471444,2.53367425275504,"JJ Bleday",NA
"146","Mike Trout","LAA",2.89751374919337,"10155",30836,"CF",0.414351510471444,2.48316223872192,"Mike Trout",67
"147","Luis García Jr.","WSN",2.86409838593247,"20391",40459,"2B",1.32544732467959,1.53865106125289,"Luis Garcia",NA
"148","Luis García Jr.","WSN",2.86409838593247,"20391",40459,"2B",1.32544732467959,1.53865106125289,"Luis Garcia",NA
"149","Matt McLain","CIN",2.84976487978051,"29695",4422899,"2B",1.32544732467959,1.52431755510092,"Matt McLain",129
"150","Matt McLain","CIN",2.84976487978051,"29695",4422899,"SS",3.15844985743133,-0.308684977650818,"Matt McLain",129
"151","Masyn Winn","STL",2.80120986915299,"27479",4683365,"SS",3.15844985743133,-0.357239988278337,"Masyn Winn",NA
"152","Colton Cowser","BAL",2.78374015561822,"29591",4416990,"LF",1.90197291160567,0.881767244012555,"Colton Cowser",376
"153","Colton Cowser","BAL",2.78374015561822,"29591",4416990,"CF",0.414351510471444,2.36938864514678,"Colton Cowser",376
"154","Colton Cowser","BAL",2.78374015561822,"29591",4416990,"RF",1.7782557432166,1.00548441240163,"Colton Cowser",376
"155","Royce Lewis","MIN",2.28897934754643,"20437",40635,"3B",3.76118164652273,-1.4722022989763,"Royce Lewis",95
"156","Royce Lewis","MIN",2.28897934754643,"20437",40635,"DH",7.2427022094734,-4.95372286192697,"Royce Lewis",95
"157","Max Muncy","LAD",2.24649799734094,"13301",33303,"3B",3.76118164652273,-1.51468364918179,"Max Muncy",130
"158","Jake Cronenworth","SDP",2.0767921190327,"18036",36364,"1B",4.12223334524929,-2.04544122621659,"Jake Cronenworth",165
"159","Jake Cronenworth","SDP",2.0767921190327,"18036",36364,"2B",1.32544732467959,0.751344794353115,"Jake Cronenworth",165
"160","Rhys Hoskins","MIL",2.05178434515936,"16472",35291,"1B",4.12223334524929,-2.07044900008993,"Rhys Hoskins",208
"161","Rhys Hoskins","MIL",2.05178434515936,"16472",35291,"DH",7.2427022094734,-5.19091786431404,"Rhys Hoskins",208
"162","Will Smith","LAD",1.96586418443443,"19197",38309,"C",-0.547577297398599,2.51344148183303,"Will Smith",44
"163","Will Smith","LAD",1.96586418443443,"19197",38309,"C",-0.547577297398599,2.51344148183303,"Will Smith",281
"164","Carlos Correa","MIN",1.95307164322903,"14162",32653,"SS",3.15844985743133,-1.2053782142023,"Carlos Correa",181
"165","Brendan Donovan","STL",1.9311851478712,"24679",41773,"2B",1.32544732467959,0.60573782319161,"Brendan Donovan",366
"166","Brendan Donovan","STL",1.9311851478712,"24679",41773,"LF",1.90197291160567,0.0292122362655285,"Brendan Donovan",366
"167","Anthony Volpe","NYY",1.92344906960866,"27647",42547,"SS",3.15844985743133,-1.23500078782267,"Anthony Volpe",185
"168","Matt Wallner","MIN",1.90197291160567,"26466",42427,"LF",1.90197291160567,0,"Matt Wallner",NA
"169","Matt Wallner","MIN",1.90197291160567,"26466",42427,"RF",1.7782557432166,0.12371716838907,"Matt Wallner",NA
"170","Michael Toglia","COL",1.79898279663122,"25845",42412,"1B",4.12223334524929,-2.32325054861807,"Michael Toglia",NA
"171","Lane Thomas","CLE",1.7782557432166,"16939",36409,"CF",0.414351510471444,1.36390423274515,"Lane Thomas",147
"172","Lane Thomas","CLE",1.7782557432166,"16939",36409,"RF",1.7782557432166,0,"Lane Thomas",147
"173","Christian Yelich","MIL",1.7598858080193,"11477",31283,"LF",1.90197291160567,-0.14208710358637,"Christian Yelich",81
"174","Christian Yelich","MIL",1.7598858080193,"11477",31283,"DH",7.2427022094734,-5.48281640145411,"Christian Yelich",81
"175","Josh Bell","WSN",1.6176785968908,"13145",32517,"1B",4.12223334524929,-2.50455474835849,"Josh Bell",196
"176","Josh Bell","WSN",1.6176785968908,"13145",32517,"DH",7.2427022094734,-5.6250236125826,"Josh Bell",196
"177","Kerry Carpenter","DET",1.55443751687971,"25961",42714,"RF",1.7782557432166,-0.223818226336884,"Kerry Carpenter",255
"178","Kerry Carpenter","DET",1.55443751687971,"25961",42714,"DH",7.2427022094734,-5.68826469259369,"Kerry Carpenter",255
"179","Jonathan India","KCR",1.53734884505932,"21523",41171,"2B",1.32544732467959,0.21190152037973,"Jonathan India",269
"180","Dylan Crews","WSN",1.43526998971095,"33541",4719511,"RF",1.7782557432166,-0.342985753505653,"Dylan Crews",359
"181","Bryson Stott","PHI",1.4089373911829,"26294",42417,"2B",1.32544732467959,0.083490066503312,"Bryson Stott",121
