"","Name","Team","PlayerId","IP","SO","QS","wERA","wWHIP","ERA","WHIP","SVHD","pr","rank","pos"
"2","Tarik Skubal","DET","22267",1.71013126404804,2.45147879871766,1.90242756646593,0.543366970193905,0.929010341988924,2.05706758257049,2.63378624027712,-0.753627412948396,11.4736413513137,1,"SP"
"1","Zack Wheeler","PHI","10310",1.88661620009403,2.26403689162602,2.32401188894785,1.07130472185531,1.31752515921715,1.23314219959656,1.84961999465796,-0.753627412948396,11.1926296430465,2,"SP"
"3","Logan Gilbert","SEA","22250",1.93956168090782,2.14419359259771,1.99658120606172,1.22433524041992,1.21991690780005,1.00959055392573,2.30411178012745,-0.753627412948396,11.084663548892,3,"SP"
"4","Paul Skenes","PIT","33677",1.47455538959379,2.50544735762031,1.80423299813213,0.308364448964025,0.881261058713114,2.22697660870074,2.1243300541511,-0.753627412948396,10.5715405029268,4,"SP"
"5","Logan Webb","SFG","17995",1.989040493335,1.40773422471013,2.06421865612899,1.29040557211071,1.77841854032207,0.956905110967687,0.686971796656442,-0.753627412948396,9.42006698128264,5,"SP"
"7","Dylan Cease","SDP","18525",1.67483427683884,2.480140976295,1.61848497380798,1.12884161915509,1.44578741252903,0.766549163797671,0.797124485548556,-0.753627412948396,9.15813549502377,6,"SP"
"6","Corbin Burnes","ARI","19361",1.77687588590727,1.78546816721706,1.96375347069478,1.25300176550674,1.53460566971748,0.683315532035196,0.822647669560142,-0.753627412948396,9.06604074769027,7,"SP"
"9","Pablo López","MIN","17085",1.76044297732135,2.06622879200239,1.82820917531103,1.43462491289496,1.48748222841038,0.27810399027401,0.926867337607458,-0.753627412948396,9.02833200087319,8,"SP"
"8","Framber Valdez","HOU","17295",1.74664383627592,1.72899425357829,1.93687167332807,1.0112395825705,1.55144454500667,1.13426789516622,0.672419104018255,-0.753627412948396,9.02825347699553,9,"SP"
"10","George Kirby","SEA","25436",1.6381641287752,1.44669364010196,1.79266824493429,1.08726060758914,1.08792910791511,0.790987714841217,1.89495722941538,-0.753627412948396,8.9850332606239,10,"SP"
"11","Cole Ragans","KCR","21846",1.5804238403877,2.25132623869877,1.70386402528692,1.00120667436398,1.43685162025239,0.874995234053405,0.519951662685878,-0.753627412948396,8.61499188278065,11,"SP"
"13","Luis Castillo","SEA","15689",1.66225072081209,1.75381795188105,1.66316610013976,1.25766204360213,1.37474424402648,0.470863061629975,0.996832206060273,-0.753627412948396,8.42570891520335,12,"SP"
